"RCode","Orig","Dest","DepFix","Route String","DCNTR","ACNTR","TCNTRs","CoordReq","Play","NavEqp","Length","File","Action","Mods"
"ACKCLT29","KACK","KCLT","LFV","KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 JHW FOXEE Q145 HVQ LNDIZ PARQR4 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","","3","952","1","Modified","Route String Length"
"ACKCLT29","KACK","KCLT","LFV","KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 JHW FOXEE Q145 HVQ LNDIZ PARQR5 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","","3","944","2","Modified","Route String Length"
"ACKCLTPJ","KACK","KCLT","LFV","KACK LFV CELTS NELIE Q75 GVE AIROW CHSLY6 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","N","","3","734","1","Modified","Route String Length"
"ACKCLTPJ","KACK","KCLT","LFV","KACK LFV CELTS NELIE Q75 GVE AIROW CHSLY7 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","N","","3","729","2","Modified","Route String Length"
"ACKCLTT7","KACK","KCLT","MVY","KACK MVY JAWZZ Q220 RIFLE HEADI Q97 SAWED GUILD Q409 OKNEE MLLET3 KCLT","ZBW","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","ZBW VIA HTO ESCAPE","3","745","1","Modified","Route String Length"
"ACKCLTT7","KACK","KCLT","MVY","KACK MVY JAWZZ Q220 RIFLE HEADI Q97 SAWED GUILD Q409 OKNEE MLLET4 KCLT","ZBW","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","ZBW VIA HTO ESCAPE","3","732","2","Modified","Route String Length"
"ACKDCA29","KACK","KDCA","LFV","KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","938","1","Modified","Length"
"ACKDCA29","KACK","KDCA","LFV","KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","905","2","Modified","Length"
"ACKFLLB7","KACK","KFLL","LFV","KACK LFV CELTS NELIE Q75 ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA Q75 2","3","1307","1","Modified","Length"
"ACKFLLB7","KACK","KFLL","LFV","KACK LFV CELTS NELIE Q75 ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA Q75 2","3","1355","2","Modified","Length"
"ACKFLLN4","KACK","KFLL","LFV","KACK LFV CELTS CTR HNK J49 PSB Q71 GEFFS HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","3","1418","1","Modified","Length"
"ACKFLLN4","KACK","KFLL","LFV","KACK LFV CELTS CTR HNK J49 PSB Q71 GEFFS HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","3","1466","2","Modified","Length"
"ACKHPNEX","KACK","KHPN","MVY","KACK MVY V146 PVD HFD T303 MAD EEGOR ALIXX RYMES KHPN","ZBW","ZNY","ZBW","Y","SERBOS 1","1","190","1","Modified","Route String NavEqp Length"
"ACKHPNEX","KACK","KHPN","MVY","KACK MVY V146 PVD HFD T303 MAD EEGOR EEGOR1 KHPN","ZBW","ZNY","ZBW","Y","SERBOS 1","3","187","2","Modified","Route String NavEqp Length"
"ACKIAD29","KACK","KIAD","LFV","KACK LFV CELTS MHT CAM Q822 GONZZ Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","921","1","Modified","Length"
"ACKIAD29","KACK","KIAD","LFV","KACK LFV CELTS MHT CAM Q822 GONZZ Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","888","2","Modified","Length"
"ACKMIAB7","KACK","KMIA","LFV","KACK LFV CELTS NELIE Q75 TEEEM BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA Q75 2","3","1413","1","Modified","Length"
"ACKMIAB7","KACK","KMIA","LFV","KACK LFV CELTS NELIE Q75 TEEEM BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA Q75 2","3","1435","2","Modified","Length"
"ACKMIAY5","KACK","KMIA","LFV","KACK LFV CELTS MANCH SYR J59 PSB Q71 GEFFS HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","3","1594","1","Modified","Length"
"ACKMIAY5","KACK","KMIA","LFV","KACK LFV CELTS MANCH SYR J59 PSB Q71 GEFFS HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","3","1616","2","Modified","Length"
"ACKMSPA8","KACK","KMSP","LFV","KACK LFV CELTS BAF Q480 AIR J34 VIO KAMMA KKILR4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","1","1210","1","Modified","Length"
"ACKMSPA8","KACK","KMSP","LFV","KACK LFV CELTS BAF Q480 AIR J34 VIO KAMMA KKILR4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","1","1221","2","Modified","Length"
"ACKMSPN4","KACK","KMSP","LFV","KACK LFV CELTS CTR HNK J49 PSB J60 DJB J34 VIO KAMMA KKILR4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","2","1146","1","Modified","Length"
"ACKMSPN4","KACK","KMSP","LFV","KACK LFV CELTS CTR HNK J49 PSB J60 DJB J34 VIO KAMMA KKILR4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","2","1157","2","Modified","Length"
"ACKMSPPJ","KACK","KMSP","LFV","KACK LFV CELTS MANCH HANAA Q816 KELTI Q812 ZOHAN CEWDA MUSCL4 KMSP","ZBW","ZMP","CZY ZBW ZMP ZOB","N","","3","1090","1","Modified","Length"
"ACKMSPPJ","KACK","KMSP","LFV","KACK LFV CELTS MANCH HANAA Q816 KELTI Q812 ZOHAN CEWDA MUSCL4 KMSP","ZBW","ZMP","CZY ZBW ZMP ZOB","N","","3","1095","2","Modified","Length"
"ACKMSPYZ","KACK","KMSP","LFV","KACK LFV CELTS MANCH CAM Q822 GONZZ FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZOB","Y","LAKE ERIE WEST","3","1122","1","Modified","Length"
"ACKMSPYZ","KACK","KMSP","LFV","KACK LFV CELTS MANCH CAM Q822 GONZZ FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZOB","Y","LAKE ERIE WEST","3","1129","2","Modified","Length"
"ACKMSYPJ","KACK","KMSY","LFV","KACK LFV CELTS BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH1 KMSY","ZBW","ZHU","ZBW ZDC ZHU ZME ZNY ZTL","N","","3","1308","1","Modified","Route String Length"
"ACKMSYPJ","KACK","KMSY","LFV","KACK LFV CELTS BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH2 KMSY","ZBW","ZHU","ZBW ZDC ZHU ZME ZNY ZTL","N","","3","1300","2","Modified","Route String Length"
"ACKSRQPJ","KACK","KSRQ","LFV","KACK LFV CELTS NELIE Q75 SLOJO Q103 PUPYY KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","NE TO FLORIDA VIA Q75 2","3","1198","1","Modified","Length"
"ACKSRQPJ","KACK","KSRQ","LFV","KACK LFV CELTS NELIE Q75 SLOJO Q103 PUPYY KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","NE TO FLORIDA VIA Q75 2","3","1205","2","Modified","Length"
"ACYCLT00","KACY","KCLT","LEEAH","KACY LEEAH ATR TRPOD CRPLR COUPN BEETN JIMAR DEEEZ Q409 OKNEE MLLET3 KCLT","ZDC","ZTL","ZDC ZJX ZTL","N","","2","510","1","Modified","Route String Length"
"ACYCLT00","KACY","KCLT","LEEAH","KACY LEEAH ATR TRPOD CRPLR COUPN BEETN JIMAR DEEEZ Q409 OKNEE MLLET4 KCLT","ZDC","ZTL","ZDC ZJX ZTL","N","","2","497","2","Modified","Route String Length"
"ACYMSP00","KACY","KMSP","LEEAH","KACY LEEAH T358 OBWON T356 DROSA LINSE Q178 DJB J34 VIO KAMMA KKILR4 KMSP","ZDC","ZMP","ZAU ZDC ZMP ZOB","N","","2","920","1","Modified","Length"
"ACYMSP00","KACY","KMSP","LEEAH","KACY LEEAH T358 OBWON T356 DROSA LINSE Q178 DJB J34 VIO KAMMA KKILR4 KMSP","ZDC","ZMP","ZAU ZDC ZMP ZOB","N","","2","931","2","Modified","Length"
"ACYMSY00","KACY","KMSY","LEEAH","KACY LEEAH T358 OBWON T356 DROSA MAULS Q40 NIOLA MERDN TRSSH1 KMSY","ZDC","ZHU","ZDC ZHU ZME ZTL","N","","3","996","1","Modified","Route String Length"
"ACYMSY00","KACY","KMSY","LEEAH","KACY LEEAH T358 OBWON T356 DROSA MAULS Q40 NIOLA MERDN TRSSH2 KMSY","ZDC","ZHU","ZDC ZHU ZME ZTL","N","","3","988","2","Modified","Route String Length"
"ACYPGD00","KACY","KPGD","LEEAH","KACY LEEAH ATR TRPOD Q409 PUPYY KYYUU LUBBR4 KPGD","ZDC","ZMA","ZDC ZJX ZMA","N","","3","875","1","Modified","Length"
"ACYPGD00","KACY","KPGD","LEEAH","KACY LEEAH ATR TRPOD Q409 PUPYY KYYUU LUBBR4 KPGD","ZDC","ZMA","ZDC ZJX ZMA","N","","3","876","2","Modified","Length"
"ALBBWI29","KALB","KBWI","PAYGE","KALB PAYGE Q822 GONZZ Q29 SPYDY AIR KEMAN ANTHM5 KBWI","ZBW","ZDC","ZBW ZDC ZNY ZOB","Y","DC NORTH","2","718","1","Modified","Length"
"ALBBWI29","KALB","KBWI","PAYGE","KALB PAYGE Q822 GONZZ Q29 SPYDY AIR KEMAN ANTHM5 KBWI","ZBW","ZDC","ZBW ZDC ZNY ZOB","Y","DC NORTH","2","685","2","Modified","Length"
"ALBBWIT7","KALB","KBWI","NELIE","KALB NELIE ORCHA Q167 ZIZZI KNUKK ATR LAFLN MIIDY3 KBWI","ZBW","ZDC","ZBW ZDC ZNY","Y","DC NORTH 2","3","415","1","Modified","Route String Length"
"ALBBWIT7","KALB","KBWI","NELIE","KALB NELIE ORCHA Q167 ZIZZI KNUKK ATR LAFLN MIIDY4 KBWI","ZBW","ZDC","ZBW ZDC ZNY","Y","DC NORTH 2","3","395","2","Modified","Route String Length"
