"RCode","Orig","Dest","DepFix","Route String","DCNTR","ACNTR","TCNTRs","CoordReq","Play","NavEqp","Length","File","Action","Mods"
"BOSSFO1S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE Q917 SSM APUNY OGSIQ SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA ZOB","Y","CAN SSM WEST 1","2","2530","1","Modified","Route String"
"BOSSFO1S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE Q917 SSM APUNY OGSIQ STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA ZOB","Y","CAN SSM WEST 1","2","2530","2","Modified","Route String"
"BOSSFO1Y","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON BURWA OVORA GABOV HML OGSIQ SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZW CZY ZBW ZLC ZMP ZOA","N","CAN OVORA WEST 1","3","2517","1","Modified","Route String"
"BOSSFO1Y","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON BURWA OVORA GABOV HML OGSIQ STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZW CZY ZBW ZLC ZMP ZOA","N","CAN OVORA WEST 1","3","2517","2","Modified","Route String"
"BOSSFO2C","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY POLTY UBTIX BONAB CHICA AGLIN WILTN SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZW CZY ZBW ZLC ZMP ZOA","N","CAN CHICA WEST 2","3","2522","1","Modified","Route String Length"
"BOSSFO2C","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY POLTY UBTIX BONAB CHICA AGLIN WILTN STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZW CZY ZBW ZLC ZMP ZOA","N","CAN CHICA WEST 2","3","2520","2","Modified","Route String Length"
"BOSSFO2R","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY LETAK ROTMA COLDD EXHOS SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZY ZBW ZLC ZMP ZOA","Y","CAN ROTMA WEST 2","2","2483","1","Modified","Route String Length"
"BOSSFO2R","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY LETAK ROTMA COLDD EXHOS STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZY ZBW ZLC ZMP ZOA","Y","CAN ROTMA WEST 2","2","2482","2","Modified","Route String Length"
"BOSSFO2S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON SSM APUNY OGSIQ SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN SSM WEST 2","2","2482","1","Modified","Route String"
"BOSSFO2S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON SSM APUNY OGSIQ STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN SSM WEST 2","2","2482","2","Modified","Route String"
"BOSSFO2Y","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY POLTY OVORA GABOV HML OGSIQ SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZW CZY ZBW ZLC ZMP ZOA","N","CAN OVORA WEST 2","3","2520","1","Modified","Route String"
"BOSSFO2Y","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY POLTY OVORA GABOV HML OGSIQ STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZW CZY ZBW ZLC ZMP ZOA","N","CAN OVORA WEST 2","3","2520","2","Modified","Route String"
"BOSSFO3C","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND PBERG BOSAM OLASI PEKVO CANSO CHICA AGLIN WILTN SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZW CZY ZBW ZLC ZMP ZOA","N","CAN CHICA WEST 3","3","2526","1","Modified","Route String Length"
"BOSSFO3C","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND PBERG BOSAM OLASI PEKVO CANSO CHICA AGLIN WILTN STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZW CZY ZBW ZLC ZMP ZOA","N","CAN CHICA WEST 3","3","2524","2","Modified","Route String Length"
"BOSSFO3S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON BURWA SSM APUNY OGSIQ SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN SSM WEST 3","2","2496","1","Modified","Route String"
"BOSSFO3S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON BURWA SSM APUNY OGSIQ STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN SSM WEST 3","2","2496","2","Modified","Route String"
"BOSSFO4S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY POLTY SSM APUNY OGSIQ SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZY ZBW ZLC ZMP ZOA","Y","CAN SSM WEST 4","2","2506","1","Modified","Route String"
"BOSSFO4S","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND BUGSY POLTY SSM APUNY OGSIQ STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZU CZY ZBW ZLC ZMP ZOA","Y","CAN SSM WEST 4","2","2506","2","Modified","Route String"
"BOSSFO5K","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE KENPA CESNA EXHOS SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA ZOB","Y","CAN KENPA WEST 5","2","2496","1","Modified","Route String Length"
"BOSSFO5K","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE KENPA CESNA EXHOS STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA ZOB","Y","CAN KENPA WEST 5","2","2494","2","Modified","Route String Length"
"BOSSFO6K","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON KENPA CESNA EXHOS SWTHN IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN KENPA WEST 6","2","2466","1","Modified","Route String Length"
"BOSSFO6K","KBOS","KSFO","HYLND","KBOS HYLND7 HYLND NOVON KENPA CESNA EXHOS STORZ IDA BAM LLC LEGGS BDEGA4 KSFO","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN KENPA WEST 6","2","2464","2","Modified","Route String Length"
"BOSSJC5K","KBOS","KSJC","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE KENPA CESNA EXHOS SWTHN IDA BAM J32 FMG CHBLI BRIXX4 KSJC","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA ZOB","Y","CAN KENPA WEST 5","2","2526","1","Modified","Route String Length"
"BOSSJC5K","KBOS","KSJC","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE KENPA CESNA EXHOS STORZ IDA BAM J32 FMG CHBLI BRIXX4 KSJC","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA ZOB","Y","CAN KENPA WEST 5","2","2524","2","Modified","Route String Length"
"BOSSJC6K","KBOS","KSJC","HYLND","KBOS HYLND7 HYLND NOVON KENPA CESNA EXHOS SWTHN IDA BAM J32 FMG CHBLI BRIXX4 KSJC","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN KENPA WEST 6","2","2496","1","Modified","Route String Length"
"BOSSJC6K","KBOS","KSJC","HYLND","KBOS HYLND7 HYLND NOVON KENPA CESNA EXHOS STORZ IDA BAM J32 FMG CHBLI BRIXX4 KSJC","ZBW","ZOA","CZY ZBW ZLC ZMP ZOA","Y","CAN KENPA WEST 6","2","2494","2","Modified","Route String Length"
"BOSSLC1D","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY POLTY UBTIX ULAMO STNRD COLDD EXHOS SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZU CZW CZY ZBW ZLC ZMP","Y","CAN STNRD WEST 1","2","2017","1","Modified","Route String Length"
"BOSSLC1D","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY POLTY UBTIX ULAMO STNRD COLDD EXHOS STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZU CZW CZY ZBW ZLC ZMP","Y","CAN STNRD WEST 1","2","2014","2","Modified","Route String Length"
"BOSSLC1R","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON KAPUX ROTMA COLDD EXHOS SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP","Y","CAN ROTMA WEST 1","2","1975","1","Modified","Route String Length"
"BOSSLC1R","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON KAPUX ROTMA COLDD EXHOS STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP","Y","CAN ROTMA WEST 1","2","1972","2","Modified","Route String Length"
"BOSSLC1S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE Q917 SSM APUNY OGSIQ SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP ZOB","Y","CAN SSM WEST 1","2","2037","1","Modified","Route String"
"BOSSLC1S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE Q917 SSM APUNY OGSIQ STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP ZOB","Y","CAN SSM WEST 1","2","2037","2","Modified","Route String"
"BOSSLC1Y","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON BURWA OVORA GABOV HML OGSIQ SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZW CZY ZBW ZLC ZMP","Y","CAN OVORA WEST 1","2","2024","1","Modified","Route String"
"BOSSLC1Y","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON BURWA OVORA GABOV HML OGSIQ STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZW CZY ZBW ZLC ZMP","Y","CAN OVORA WEST 1","2","2024","2","Modified","Route String"
"BOSSLC2R","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY LETAK ROTMA COLDD EXHOS SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZU CZY ZBW ZLC ZMP","Y","CAN ROTMA WEST 2","2","1990","1","Modified","Route String Length"
"BOSSLC2R","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY LETAK ROTMA COLDD EXHOS STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZU CZY ZBW ZLC ZMP","Y","CAN ROTMA WEST 2","2","1987","2","Modified","Route String Length"
"BOSSLC2S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON SSM APUNY OGSIQ SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP","Y","CAN SSM WEST 2","2","1989","1","Modified","Route String"
"BOSSLC2S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON SSM APUNY OGSIQ STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP","Y","CAN SSM WEST 2","2","1989","2","Modified","Route String"
"BOSSLC2Y","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY POLTY OVORA GABOV HML OGSIQ SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZU CZW CZY ZBW ZLC ZMP","Y","CAN OVORA WEST 2","2","2027","1","Modified","Route String"
"BOSSLC2Y","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY POLTY OVORA GABOV HML OGSIQ STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZU CZW CZY ZBW ZLC ZMP","Y","CAN OVORA WEST 2","2","2027","2","Modified","Route String"
"BOSSLC3S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON BURWA SSM APUNY OGSIQ SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP","Y","CAN SSM WEST 3","2","2003","1","Modified","Route String"
"BOSSLC3S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND NOVON BURWA SSM APUNY OGSIQ STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP","Y","CAN SSM WEST 3","2","2003","2","Modified","Route String"
"BOSSLC4S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY POLTY SSM APUNY OGSIQ SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZU CZY ZBW ZLC ZMP","Y","CAN SSM WEST 4","2","2013","1","Modified","Route String Length"
"BOSSLC4S","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND BUGSY POLTY SSM APUNY OGSIQ STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZU CZY ZBW ZLC ZMP","Y","CAN SSM WEST 4","2","2012","2","Modified","Route String Length"
"BOSSLC5K","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE KENPA CESNA EXHOS SWTHN JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP ZOB","Y","CAN KENPA WEST 5","2","2002","1","Modified","Route String Length"
"BOSSLC5K","KBOS","KSLC","HYLND","KBOS HYLND7 HYLND HANAA Q816 GOATR WOZEE KENPA CESNA EXHOS STORZ JAC CARTR1 KSLC","ZBW","ZLC","CZY ZBW ZLC ZMP ZOB","Y","CAN KENPA WEST 5","2","1999","2","Modified","Route String Length"
"BOSSRQ42","KBOS","KSRQ","BLZZR","KBOS BLZZR6 BLZZR BAF Q448 PTW J48 MOL FLASK GOWBE BURGG KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA J48 2","3","1186","1","Modified","Length"
"BOSSRQ42","KBOS","KSRQ","BLZZR","KBOS BLZZR6 BLZZR BAF Q448 PTW J48 MOL FLASK GOWBE BURGG KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA J48 2","3","1193","2","Modified","Length"
"BOSSRQ82","KBOS","KSRQ","BLZZR","KBOS BLZZR6 BLZZR BAF Q480 AIR HVQ Q147 BURGG IRQ KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","NE TO FLORIDA VIA Q480 2","3","1289","1","Modified","Length"
"BOSSRQ82","KBOS","KSRQ","BLZZR","KBOS BLZZR6 BLZZR BAF Q480 AIR HVQ Q147 BURGG IRQ KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","NE TO FLORIDA VIA Q480 2","3","1296","2","Modified","Length"
"BOSSRQF9","KBOS","KSRQ","HYLND","KBOS HYLND7 HYLND CAM Q822 GONZZ Q29 WWSHR APE Q149 BURGG KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZID ZJX ZMA ZOB ZTL","Y","ZBW TO FLORIDA VIA Q29 1","3","1385","1","Modified","Length"
"BOSSRQF9","KBOS","KSRQ","HYLND","KBOS HYLND7 HYLND CAM Q822 GONZZ Q29 WWSHR APE Q149 BURGG KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZID ZJX ZMA ZOB ZTL","Y","ZBW TO FLORIDA VIA Q29 1","3","1392","2","Modified","Length"
"BOSSRQPJ","KBOS","KSRQ","PATSS","KBOS PATSS7 PATSS NELIE Q75 SLOJO Q103 PUPYY KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","NE TO FLORIDA VIA Q75 2","3","1144","1","Modified","Length"
"BOSSRQPJ","KBOS","KSRQ","PATSS","KBOS PATSS7 PATSS NELIE Q75 SLOJO Q103 PUPYY KYYUU LUBBR4 KSRQ","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","NE TO FLORIDA VIA Q75 2","3","1151","2","Modified","Length"
"BTVBWI29","KBTV","KBWI","GONZZ","KBTV GONZZ Q29 SPYDY AIR KEMAN ANTHM5 KBWI","ZBW","ZDC","ZBW ZDC ZNY ZOB","Y","DC NORTH","3","760","1","Modified","Length"
"BTVBWI29","KBTV","KBWI","GONZZ","KBTV GONZZ Q29 SPYDY AIR KEMAN ANTHM5 KBWI","ZBW","ZDC","ZBW ZDC ZNY ZOB","Y","DC NORTH","3","727","2","Modified","Length"
"BTVCLT29","KBTV","KCLT","GONZZ","KBTV GONZZ Q29 JHW FOXEE Q145 HVQ LNDIZ PARQR4 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","","1","763","1","Modified","Route String Length"
"BTVCLT29","KBTV","KCLT","GONZZ","KBTV GONZZ Q29 JHW FOXEE Q145 HVQ LNDIZ PARQR5 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","","1","755","2","Modified","Route String Length"
"BTVCLTA4","KBTV","KCLT","ALB","KBTV DENYU ALB ACOVE DBABE Q448 PTW J48 CSN GVE AIROW CHSLY6 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","Y","","3","706","1","Modified","Route String Length"
"BTVCLTA4","KBTV","KCLT","ALB","KBTV DENYU ALB ACOVE DBABE Q448 PTW J48 CSN GVE AIROW CHSLY7 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","Y","","3","700","2","Modified","Route String Length"
"BTVCLTN4","KBTV","KCLT","ALB","KBTV DENYU ALB HNK J49 PSB HACKS HVQ LNDIZ PARQR4 KCLT","ZBW","ZTL","ZBW ZID ZNY ZOB ZTL","Y","NE TO ATL CLT","2","769","1","Modified","Route String Length"
"BTVCLTN4","KBTV","KCLT","ALB","KBTV DENYU ALB HNK J49 PSB HACKS HVQ LNDIZ PARQR5 KCLT","ZBW","ZTL","ZBW ZID ZNY ZOB ZTL","Y","NE TO ATL CLT","2","761","2","Modified","Route String Length"
"BTVCLTPJ","KBTV","KCLT","ALB","KBTV DENYU ALB BIZEX Q75 GVE AIROW CHSLY6 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","N","","3","714","1","Modified","Route String Length"
"BTVCLTPJ","KBTV","KCLT","ALB","KBTV DENYU ALB BIZEX Q75 GVE AIROW CHSLY7 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","N","","3","708","2","Modified","Route String Length"
"BTVCLTT7","KBTV","KCLT","BRATS","KBTV MPV BRATS ORCHA HEADI Q97 SAWED GUILD Q409 OKNEE MLLET3 KCLT","ZBW","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","ZBW VIA HTO ESCAPE","3","866","1","Modified","Route String Length"
"BTVCLTT7","KBTV","KCLT","BRATS","KBTV MPV BRATS ORCHA HEADI Q97 SAWED GUILD Q409 OKNEE MLLET4 KCLT","ZBW","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","ZBW VIA HTO ESCAPE","3","853","2","Modified","Route String Length"
"BTVDCA29","KBTV","KDCA","GONZZ","KBTV GONZZ Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","749","1","Modified","Length"
"BTVDCA29","KBTV","KDCA","GONZZ","KBTV GONZZ Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","716","2","Modified","Length"
"BTVIAD29","KBTV","KIAD","GONZZ","KBTV GONZZ Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZBW","ZDC","ZBW ZDC ZOB","N","DC NORTH","2","733","1","Modified","Length"
"BTVIAD29","KBTV","KIAD","GONZZ","KBTV GONZZ Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZBW","ZDC","ZBW ZDC ZOB","N","DC NORTH","2","700","2","Modified","Length"
"BTVMSPPJ","KBTV","KMSP","GOATR","KBTV GOATR Q816 KELTI Q812 ZOHAN CEWDA MUSCL4 KMSP","ZBW","ZMP","CZY ZBW ZMP ZOB","N","","3","894","1","Modified","Length"
"BTVMSPPJ","KBTV","KMSP","GOATR","KBTV GOATR Q816 KELTI Q812 ZOHAN CEWDA MUSCL4 KMSP","ZBW","ZMP","CZY ZBW ZMP ZOB","N","","3","900","2","Modified","Length"
"BTVMSPYZ","KBTV","KMSP","GONZZ","KBTV GONZZ FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZOB","Y","LAKE ERIE WEST","3","933","1","Modified","Length"
"BTVMSPYZ","KBTV","KMSP","GONZZ","KBTV GONZZ FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZBW","ZMP","ZAU ZBW ZMP ZOB","Y","LAKE ERIE WEST","3","941","2","Modified","Length"
"BUFBWIS2","KBUF","KBWI","JHW","KBUF JHW Q29 SPYDY AIR KEMAN ANTHM5 KBWI","ZOB","ZDC","ZDC ZNY ZOB","Y","DC NORTH","2","514","1","Modified","Length"
"BUFBWIS2","KBUF","KBWI","JHW","KBUF JHW Q29 SPYDY AIR KEMAN ANTHM5 KBWI","ZOB","ZDC","ZDC ZNY ZOB","Y","DC NORTH","2","481","2","Modified","Length"
"BUFCLTP1","KBUF","KCLT","JHW","KBUF JHW FOXEE Q145 HVQ LNDIZ PARQR4 KCLT","ZOB","ZTL","ZID ZOB ZTL","N","","3","517","1","Modified","Route String Length"
"BUFCLTP1","KBUF","KCLT","JHW","KBUF JHW FOXEE Q145 HVQ LNDIZ PARQR5 KCLT","ZOB","ZTL","ZID ZOB ZTL","N","","3","509","2","Modified","Route String Length"
"BUFCLTW1","KBUF","KCLT","JHW","KBUF JHW DJB ROD J43 FLM SKYWA FILPZ4 KCLT","ZOB","ZTL","ZID ZOB ZTL","Y","CLT NO PARQR","2","729","1","Modified","Route String Length"
"BUFCLTW1","KBUF","KCLT","JHW","KBUF JHW DJB ROD J43 FLM SKYWA FILPZ5 KCLT","ZOB","ZTL","ZID ZOB ZTL","Y","CLT NO PARQR","2","710","2","Modified","Route String Length"
"BUFDCAS2","KBUF","KDCA","JHW","KBUF JHW Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZOB","ZDC","ZDC ZOB","Y","DC NORTH","2","503","1","Modified","Length"
"BUFDCAS2","KBUF","KDCA","JHW","KBUF JHW Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZOB","ZDC","ZDC ZOB","Y","DC NORTH","2","470","2","Modified","Length"
"BUFIADS2","KBUF","KIAD","JHW","KBUF JHW Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZOB","ZDC","ZDC ZOB","Y","DC NORTH","2","486","1","Modified","Length"
"BUFIADS2","KBUF","KIAD","JHW","KBUF JHW Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZOB","ZDC","ZDC ZOB","Y","DC NORTH","2","453","2","Modified","Length"
"BUFMSPN1","KBUF","KMSP","WOZEE","KBUF WOZEE NOSIK SAW COLDD BAINY4 KMSP","ZOB","ZMP","CZY ZMP ZOB","Y","","2","748","1","Modified","Length"
"BUFMSPN1","KBUF","KMSP","WOZEE","KBUF WOZEE NOSIK SAW COLDD BAINY4 KMSP","ZOB","ZMP","CZY ZMP ZOB","Y","","2","775","2","Modified","Length"
"BUFMSPN2","KBUF","KMSP","DAVVK","KBUF DAVVK FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZOB","ZMP","ZAU ZMP ZOB","N","LAKE ERIE WEST","3","671","1","Modified","Length"
"BUFMSPN2","KBUF","KMSP","DAVVK","KBUF DAVVK FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZOB","ZMP","ZAU ZMP ZOB","N","LAKE ERIE WEST","3","678","2","Modified","Length"
"BUFMSPN3","KBUF","KMSP","DAVVK","KBUF DAVVK FARGN Q438 TWIGS HUBBY IWD COLDD BAINY4 KMSP","ZOB","ZMP","ZMP ZOB","Y","","3","792","1","Modified","Length"
"BUFMSPN3","KBUF","KMSP","DAVVK","KBUF DAVVK FARGN Q438 TWIGS HUBBY IWD COLDD BAINY4 KMSP","ZOB","ZMP","ZMP ZOB","Y","","3","819","2","Modified","Length"
"BUFMSPP1","KBUF","KMSP","WOZEE","KBUF WOZEE NOSIK SHEAY MUSCL4 KMSP","ZOB","ZMP","CZY ZMP ZOB","N","","2","639","1","Modified","Length"
"BUFMSPP1","KBUF","KMSP","WOZEE","KBUF WOZEE NOSIK SHEAY MUSCL4 KMSP","ZOB","ZMP","CZY ZMP ZOB","N","","2","645","2","Modified","Length"
"BUFMSPW1","KBUF","KMSP","DAVVK","KBUF DAVVK FARGN Q438 RUBYY KAMMA KKILR4 KMSP","ZOB","ZMP","ZAU ZMP ZOB","Y","","3","679","1","Modified","Length"
"BUFMSPW1","KBUF","KMSP","DAVVK","KBUF DAVVK FARGN Q438 RUBYY KAMMA KKILR4 KMSP","ZOB","ZMP","ZAU ZMP ZOB","Y","","3","691","2","Modified","Length"
"BUFMSPW2","KBUF","KMSP","JHW","KBUF JHW DJB CPONE JOT J60 IOW MNOSO BLUEM5 KMSP","ZOB","ZMP","ZAU ZMP ZOB","Y","","2","838","1","Modified","Length"
"BUFMSPW2","KBUF","KMSP","JHW","KBUF JHW DJB CPONE JOT J60 IOW MNOSO BLUEM5 KMSP","ZOB","ZMP","ZAU ZMP ZOB","Y","","2","848","2","Modified","Length"
"BUFORDP1","KBUF","KORD","WOZEE","KBUF WOZEE Q818 FNT KAYYS WYNDE3 KORD","ZOB","ZAU","CZY ZAU ZOB","N","","2","450","1","Modified","DepFix Route String TCNTRs NavEqp Length"
"BUFORDP1","KBUF","KORD","DAVVK","KBUF DAVVK FARGN CHAAP Q436 KAYYS WYNDE3 KORD","ZOB","ZAU","ZAU ZOB","N","","3","526","2","Modified","DepFix Route String TCNTRs NavEqp Length"
"BUFORDW1","KBUF","KORD","DAVVK","KBUF DAVVK CHAAP Q436 KAYYS WYNDE3 KORD","ZOB","ZAU","ZAU ZOB","Y","","3","525","1","Modified","DepFix Route String TCNTRs NavEqp Length"
"BUFORDW1","KBUF","KORD","WOZEE","KBUF WOZEE Q818 FNT WYNDE3 KORD","ZOB","ZAU","CZY ZAU ZOB","Y","","2","450","2","Modified","DepFix Route String TCNTRs NavEqp Length"
"BURAUSME","KBUR","KAUS","PMD","KBUR PMD PDZ TRM BLH J169 TFD J50 ELP J2 FST DILLO LAIKS4 KAUS","ZLA","ZHU","ZAB ZHU ZLA","Y","MOJAVE EAST","2","1132","1","Modified","CoordReq"
"BURAUSME","KBUR","KAUS","PMD","KBUR PMD PDZ TRM BLH J169 TFD J50 ELP J2 FST DILLO LAIKS4 KAUS","ZLA","ZHU","ZAB ZHU ZLA","N","MOJAVE EAST","2","1132","2","Modified","CoordReq"
"BURAUSSE","KBUR","KAUS","PMD","KBUR PMD PDZ JLI IPL J2 GBN J50 ELP J2 FST DILLO LAIKS4 KAUS","ZLA","ZHU","ZAB ZHU ZLA","Y","SPRINGS EAST","2","1149","1","Modified","CoordReq"
