"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NAV_ID","NAV_TYPE","BEARING","DISTANCE","File","Action","Mods"
"2026/04/16","BURGE","K4","TX","US","TQA","VOR/DME","359.74","","2","Deleted",""
"2026/04/16","BVRLY","K3","MO","US","GWA","LOC","","11","1","Modified","BEARING DISTANCE"
"2026/05/14","BVRLY","K3","MO","US","GWA","LOC","318.78","13.64","2","Modified","BEARING DISTANCE"
"2026/04/16","BVRLY","K3","MO","US","SGF","VORTAC","275.66","","1","Modified","BEARING"
"2026/05/14","BVRLY","K3","MO","US","SGF","VORTAC","284.24","","2","Modified","BEARING"
"2026/04/16","BYRNS","K5","IL","US","STL","VORTAC","27.93","10","2","Deleted",""
"2026/04/16","BYRNS","K5","IL","US","TOY","VORTAC","302.77","26.88","2","Deleted",""
"2026/04/16","CADAY","K5","OH","US","ROD","VORTAC","68.89","15.39","2","Deleted",""
"2026/04/16","CAGYA","K4","LA","US","MLU","VORTAC","94.47","13.48","2","Deleted",""
"2026/04/16","CAKRO","K4","TX","US","ABI","VORTAC","104.97","9.3","2","Deleted",""
"2026/04/16","CAKRO","K4","TX","US","TQA","VOR/DME","19.35","","2","Deleted",""
"2026/04/16","CALEY","K6","VA","US","ORF","LOC","226.79","12.63","1","Modified","BEARING DISTANCE"
"2026/05/14","CALEY","K6","VA","US","ORF","LOC","226.78","12.62","2","Modified","BEARING DISTANCE"
"2026/04/16","CAMIN","K4","TX","US","FUZ","VORTAC","264.57","13.18","1","Modified","DISTANCE"
"2026/05/14","CAMIN","K4","TX","US","FUZ","VORTAC","264.57","","2","Modified","DISTANCE"
"2026/04/16","CANUE","K7","FL","US","NPA","TACAN","360","33","1","Modified","BEARING"
"2026/05/14","CANUE","K7","FL","US","NPA","TACAN","4","33","2","Modified","BEARING"
"2026/04/16","CASTY","K5","OH","US","FBC","VORTAC","51","10","2","Deleted",""
"2026/04/16","CASUP","K4","OK","US","PER","VORTAC","188.98","16","2","Deleted",""
"2026/04/16","CAVOK","K5","MI","US","MOP","VOR/DME","178.38","13","2","Deleted",""
"2026/04/16","CEGUL","K3","MN","US","MML","VOR/DME","310","3","2","Deleted",""
"2026/04/16","CEMET","K4","TX","US","ACT","VORTAC","185.1","6.11","1","Modified","BEARING"
"2026/05/14","CEMET","K4","TX","US","ACT","VORTAC","185.09","6.11","2","Modified","BEARING"
"2026/04/16","CEMET","K4","TX","US","ROB","NDB","283.95","","2","Deleted",""
"2026/04/16","CEPED","K4","LA","US","MLU","VORTAC","26","11","2","Deleted",""
"2026/04/16","CHEVY","K4","TX","US","TYR","VOR/DME","211.86","4.98","2","Deleted",""
"2026/04/16","CHEZE","K5","OH","US","ACO","VOR/DME","146.01","10","2","Deleted",""
"2026/04/16","CHEZE","K5","OH","US","BSV","VOR/DME","54","","2","Deleted",""
"2026/04/16","CHMLY","K5","IN","US","MIE","VOR/DME","360","","2","Deleted",""
"2026/04/16","CHOWE","K5","OH","US","DQN","VOR/DME","25","6","2","Deleted",""
"2026/04/16","CIBAY","K3","MN","US","AEL","VOR/DME","353","11","2","Deleted",""
"2026/04/16","CIKPI","K2","CA","US","SGD","VORTAC","129.61","","2","Deleted",""
