"EFF_DATE","ORIGIN_ID","ORIGIN_CITY","ORIGIN_STATE_CODE","ORIGIN_COUNTRY_CODE","DSTN_ID","DSTN_CITY","DSTN_STATE_CODE","DSTN_COUNTRY_CODE","PFR_TYPE_CODE","ROUTE_NO","SPECIAL_AREA_DESCRIP","ALT_DESCRIP","AIRCRAFT","HOURS","ROUTE_DIR_DESCRIP","DESIGNATOR","NAR_TYPE","INLAND_FAC_FIX","COASTAL_FIX","DESTINATION","ROUTE_STRING","File","Action","Mods"
"2026/03/19","AJO","CORONA","CA","US","HHR","HAWTHORNE","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO HHR","JMPQ30","","","","ONTP3","","","","","PDZ POWUP","1","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","HHR","HAWTHORNE","CA","US","TEC","1","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO HHR","JMPQ30","","","","ONTQ3","","","","","PDZ POWUP","2","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","LAX","LOS ANGELES","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO LAX","JMPQ40","","","","ONTP4","","","","","PDZ V388 DOWDD","1","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR ROUTE_STRING"
"2026/05/14","AJO","CORONA","CA","US","LAX","LOS ANGELES","CA","US","TEC","1","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO LAX","JMPQ40","","","","ONTQ4","","","","","PDZ V388 DOWDD FUELR","2","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR ROUTE_STRING"
"2026/03/19","AJO","CORONA","CA","US","LAX","LOS ANGELES","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO LAX (LAXE)","PQ40","","","","ONTP5","","","","","PDZ V388 SLI V8 TANDY","1","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","LAX","LOS ANGELES","CA","US","TEC","2","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO LAX (LAXE)","PQ40","","","","ONTQ5","","","","","PDZ V388 SLI V8 TANDY","2","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","LAX","LOS ANGELES","CA","US","TEC","3","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO LAX (LAXE)","JM80","","","","ONTP6","","","","","PDZ V16 PRADO V363 DANAH V23 SLI V8 TANDY","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","LAX","LOS ANGELES","CA","US","TEC","3","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO LAX (LAXE)","JM80","","","","ONTQ6","","","","","PDZ V16 PRADO V363 DANAH V23 SLI V8 TANDY","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","LGB","LONG BEACH","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","","ONTP9","","","","","PDZ V388 SLI","1","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","LGB","LONG BEACH","CA","US","TEC","1","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","","ONTQ9","","","","","PDZ V388 SLI","2","Modified","SPECIAL_AREA_DESCRIP DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","MYF","SAN DIEGO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO MYF NRS NZY SAN","JM110PQ90","","","","ONTP12","","","","","PDZ V186 HAILE V66 MZB","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","MYF","SAN DIEGO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO MYF NRS NZY SAN","JM110PQ90","","","","ONTQ12","","","","","PDZ V186 HAILE V66 MZB","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","NFG","OCEANSIDE","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTP11","","","","","PDZ V186 ROBNN V458 OCN","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","NFG","OCEANSIDE","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTQ11","","","","","PDZ V186 ROBNN V458 OCN","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","NKX","SAN DIEGO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTP11","","","","","PDZ V186 ROBNN V458 OCN","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","NKX","SAN DIEGO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTQ11","","","","","PDZ V186 ROBNN V458 OCN","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","NRS","IMPERIAL BEACH","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO MYF NRS NZY SAN","JM110PQ90","","","","ONTP12","","","","","PDZ V186 HAILE V66 MZB","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","NRS","IMPERIAL BEACH","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO MYF NRS NZY SAN","JM110PQ90","","","","ONTQ12","","","","","PDZ V186 HAILE V66 MZB","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","NTD","OXNARD","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","PQ60","","","","ONTP14","","","","","PDZ V186 FIM","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","NTD","OXNARD","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","PQ60","","","","ONTQ14","","","","","PDZ V186 FIM","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","NTD","OXNARD","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","JM80","","","","ONTP15","","","","","PDZ V197 POM V264 ITSME V186 FIM","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","NTD","OXNARD","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","JM80","","","","ONTQ15","","","","","PDZ V197 POM V264 ITSME V186 FIM","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","NZY","SAN DIEGO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO MYF NRS NZY SAN","JM110PQ90","","","","ONTP12","","","","","PDZ V186 HAILE V66 MZB","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","NZY","SAN DIEGO","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO MYF NRS NZY SAN","JM110PQ90","","","","ONTQ12","","","","","PDZ V186 HAILE V66 MZB","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","OKB","OCEANSIDE","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTP11","","","","","PDZ V186 ROBNN V458 OCN","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","OKB","OCEANSIDE","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB","JM110PQ70","","","","ONTQ11","","","","","PDZ V186 ROBNN V458 OCN","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","OXR","OXNARD","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","PQ60","","","","ONTP14","","","","","PDZ V186 FIM","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","OXR","OXNARD","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","PQ60","","","","ONTQ14","","","","","PDZ V186 FIM","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","OXR","OXNARD","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","JM80","","","","ONTP15","","","","","PDZ V197 POM V264 ITSME V186 FIM","1","Modified","DESIGNATOR"
"2026/05/14","AJO","CORONA","CA","US","OXR","OXNARD","CA","US","TEC","2","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD","JM80","","","","ONTQ15","","","","","PDZ V197 POM V264 ITSME V186 FIM","2","Modified","DESIGNATOR"
"2026/03/19","AJO","CORONA","CA","US","RNM","RAMONA","CA","US","TEC","1","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO RNM","JM110PQ70","","","","ONTP13","","","","","PDZ V186 ROBNN V208 JLI","1","Modified","ALT_DESCRIP DESIGNATOR"
