"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","MIL_OPS_OPER_CODE","MIL_OPS_CALL","MIL_OPS_HRS","AMCP_HRS","PMSV_HRS","REMARK","File","Action","Mods"
"2026/04/16","02057.","A","CA","NTD","OXNARD","US","N","MUGU OPERATIONS","0700-2300 CLSD HOL.","","","","1","Modified","MIL_OPS_CALL"
"2026/05/14","02057.","A","CA","NTD","OXNARD","US","N","HOLLYWOOD OPS","0700-2300 CLSD HOL.","","","","2","Modified","MIL_OPS_CALL"
