"EFF_DATE","COUNTRY_CODE","LOC_ID","REGION_CODE","STATE","CITY","LID_GROUP","FAC_TYPE","FAC_NAME","RESP_ARTCC_ID","ARTCC_COMPUTER_ID","FSS_ID","File","Action","Mods"
"2026/04/16","US","HI46","AWP","HI","PUHI","LANDING FACILITY","A","HI 23 AIRSTRIP","ZHN","ZHN","HNL","2","Deleted",""
"2026/04/16","US","I23","AGL","OH","WASHINGTON COURT HOUSE","WEATHER SENSOR","AWOS-3","","","","","2","Deleted",""
"2026/04/16","US","II26","AGL","IN","REMINGTON","LANDING FACILITY","A","ASHBY","ZAU","ZCG","HUF","2","Deleted",""
"2026/04/16","US","IN49","AGL","IN","SHELBYVILLE","LANDING FACILITY","A","PHERIGO","ZID","ZCI","HUF","2","Deleted",""
"2026/04/16","US","JVY","AGL","IN","JEFFERSONVILLE","WEATHER SENSOR","AWOS-3","","","","","2","Deleted",""
"2026/04/16","US","ME12","ANE","ME","LIVERMORE","LANDING FACILITY","C","BRETTUNS POND","ZBW","ZCB","BGR","2","Deleted",""
"2026/04/16","US","ME30","ANE","ME","GREENVILLE","LANDING FACILITY","C","GREENVILLE FORESTRY","ZBW","ZCB","BGR","2","Deleted",""
"2026/04/16","US","MIE","AGL","IN","MUNCIE","NAVIGATION AID","VOR/DME","MUNCIE","ZID","ZCI","HUF","2","Deleted",""
"2026/04/16","US","MO36","ACE","MO","HUME","LANDING FACILITY","U","CHAPPY FLD","ZKC","ZCK","COU","1","Modified","FAC_NAME"
"2026/05/14","US","MO36","ACE","MO","HUME","LANDING FACILITY","U","11","ZKC","ZCK","COU","2","Modified","FAC_NAME"
"2026/04/16","US","MQI","ASO","NC","MANTEO","NAVIGATION AID","NDB","MANTEO","ZDC","ZCW","RDU","2","Deleted",""
"2026/04/16","US","NC00","ASO","NC","SANFORD","LANDING FACILITY","A","MORETZ RIVERSIDE LANDING","ZDC","ZCW","RDU","2","Deleted",""
"2026/04/16","US","ONP","ANM","OR","NEWPORT","WEATHER SENSOR","AWOS-3","","","","","2","Deleted",""
"2026/04/16","US","PYX","ASW","TX","PERRYTON","NAVIGATION AID","NDB","PERRYTON","ZKC","ZCK","FTW","2","Deleted",""
"2026/04/16","US","RDD","AWP","CA","REDDING","INSTRUMENT LANDING SYSTEM","LD","REDDING RGNL(RDD) ILS RWY 34","ZOA","ZCO","","1","Modified","FAC_NAME"
"2026/05/14","US","RDD","AWP","CA","REDDING","INSTRUMENT LANDING SYSTEM","LD","REDDING RGNL(RDD) ILS RWY 35","ZOA","ZCO","","2","Modified","FAC_NAME"
"2026/04/16","US","RGS","ASO","NC","CHARLOTTE","INSTRUMENT LANDING SYSTEM","LD","CHARLOTTE/DOUGLAS INTL(CLT) ILS RWY 18R","ZTL","ZCT","","1","Modified","FAC_NAME"
"2026/05/14","US","RGS","ASO","NC","CHARLOTTE","INSTRUMENT LANDING SYSTEM","LD","CHARLOTTE/DOUGLAS INTL(CLT) ILS RWY 19R","ZTL","ZCT","","2","Modified","FAC_NAME"
"2026/04/16","US","S92","ANM","ID","FISH LAKE","LANDING FACILITY","A","FISH LAKE /USFS/","ZSE","ZCS","BOI","1","Modified","FAC_NAME"
"2026/05/14","US","S92","ANM","ID","FISH LAKE","LANDING FACILITY","A","FISH LAKE USFS","ZSE","ZCS","BOI","2","Modified","FAC_NAME"
"2026/04/16","US","SC49","ASO","SC","BAMBERG","LANDING FACILITY","H","BAMBERG COUNTY MEML HOSPITAL","ZJX","ZCJ","AND","1","Modified","FAC_NAME"
"2026/05/14","US","SC49","ASO","SC","BAMBERG","LANDING FACILITY","H","BAMBERG COUNTY SHERIFFS OFFICE","ZJX","ZCJ","AND","2","Modified","FAC_NAME"
