"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","ALTITUDE","BRG","AIR_GND_CODE","CHK_DESC","ARPT_ID","STATE_CHK_CODE","File","Action","Mods"
"2026/04/16","GLR","VOR/DME","MI","GAYLORD","US","","77","G","0.6 NM SE CORNER OF RAMP.","GLR","MI","2","Deleted",""
"2026/04/16","MIE","VOR/DME","IN","MUNCIE","US","","331","G","0.6 NM TO TWY A4 NEAR AER 14","MIE","IN","2","Deleted",""
