"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","SPEED_RANGE","ALTITUDE","File","Action","Mods"
"2026/04/16","ELYSE INT*IN*K5","1","IN","US","230","27/50","2","Deleted",""
"2026/04/16","EMPOR INT*PA*K6","1","PA","US","200","39/60","2","Deleted",""
"2026/04/16","ENTUR INT*TX*K4","1","TX","US","200/230","31/60","2","Deleted",""
"2026/04/16","ESONE WP*KY*K5","1","KY","US","200","38/140","2","Deleted",""
"2026/04/16","ETHER INT*CA*K2","3","CA","US","200","60/80","2","Deleted",""
"2026/04/16","EUREK INT*KS*K3","1","KS","US","200","31/60","2","Deleted",""
"2026/04/16","EWABE LOM*HI","1","HI","US","200","49/60","2","Deleted",""
"2026/04/16","FAMEX WP*VA*K6","1","VA","US","200/230","20/60","2","Deleted",""
"2026/04/16","FARGO VOR/DME*ND","3","ND","US","200","28/60","2","Deleted",""
"2026/04/16","FARGO VOR/DME*ND","4","ND","US","200","27/60","2","Deleted",""
"2026/04/16","FARGO VOR/DME*ND","5","ND","US","310","28/60","2","Deleted",""
"2026/04/16","FARGO VOR/DME*ND","6","ND","US","200","27/60","2","Deleted",""
"2026/04/16","FARMINGTON VORTAC*MO","1","MO","US","200","30/60","2","Deleted",""
"2026/04/16","FARMINGTON VORTAC*MO","2","MO","US","200","30/60","2","Deleted",""
"2026/04/16","FEKIB WP*TN*K7","1","TN","US","100","25/100","2","Deleted",""
"2026/04/16","FENLU WP*OH*K5","1","OH","US","200","30/60","2","Deleted",""
"2026/04/16","FENLU WP*OH*K5","1","OH","US","230","60/80","2","Deleted",""
"2026/04/16","FIDAR WP*VA*K6","1","VA","US","200","20/60","2","Deleted",""
"2026/04/16","FILKO INT*MI*K5","1","MI","US","200","26/60","2","Deleted",""
"2026/04/16","FISIX WP*IL*K5","1","IL","US","200","25/60","2","Deleted",""
"2026/04/16","FLAG CITY VORTAC*OH","4","OH","US","200","25/60","2","Deleted",""
"2026/04/16","FLAG CITY VORTAC*OH","5","OH","US","200","25/60","2","Deleted",""
"2026/04/16","FOOTE INT*IN*K5","1","IN","US","200","28/60","2","Deleted",""
"2026/04/16","FRANKSTON VOR/DME*TX","1","TX","US","200","25/100","2","Deleted",""
"2026/04/16","FRANKSTON VOR/DME*TX","2","TX","US","200","25/100","2","Deleted",""
"2026/04/16","FRNZY WP*UT*K2","2","UT","US","265","150/300","2","Deleted",""
"2026/04/16","GALLUP VORTAC*NM","2","NM","US","230","98/140","2","Deleted",""
"2026/04/16","GALLUP VORTAC*NM","4","NM","US","265","180/390","2","Deleted",""
"2026/04/16","GARYS LOM*TX","1","TX","US","200/230","32/140","2","Deleted",""
"2026/04/16","GARYS LOM*TX","2","TX","US","200/230","32/140","2","Deleted",""
"2026/04/16","GENESEO VOR/DME*NY","5","NY","US","200","40/60","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","2","MI","US","200","24/100","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","3","MI","US","265","180/450","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","4","MI","US","230","60/100","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","5","MI","US","200","25/60","2","Deleted",""
"2026/04/16","GOODALL NDB*KY","1","KY","US","200/310","31/60","2","Deleted",""
"2026/04/16","HARCUM VORTAC*VA","4","","","265","140/210","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","HARCUM VORTAC*VA","4","VA","US","265","140/210","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","HARTZ INT*MI*K5","1","MI","US","170/175","26/100","2","Deleted",""
"2026/04/16","HARTZ INT*MI*K5","1","MI","US","200/230","26/100","2","Deleted",""
"2026/04/16","HAUWK INT*LA*K4","1","LA","US","200","21/60","2","Deleted",""
"2026/04/16","HAZKU INT*IN*K5","1","IN","US","200","26/60","2","Deleted",""
"2026/04/16","HICNY INT*LA*K4","1","LA","US","200","20/100","2","Deleted",""
"2026/04/16","HICNY INT*LA*K4","1","LA","US","310","20/100","2","Deleted",""
"2026/04/16","HOGSI WP*CA*K2","1","CA","US","175","29/29","2","Deleted",""
"2026/04/16","HORBL WP*CA*K2","1","CA","US","175","45/45","2","Deleted",""
"2026/04/16","HOUSR INT*OH*K5","1","OH","US","200","30/60","2","Deleted",""
"2026/04/16","HUDDS INT*MN*K3","1","MN","US","200","30/60","2","Deleted",""
"2026/04/16","ILOPE WP*FL*K7","1","FL","US","200","20/80","2","Deleted",""
"2026/04/16","IMMES INT*WI*K5","1","WI","US","200","27/140","2","Deleted",""
"2026/04/16","IMMES INT*WI*K5","1","WI","US","310","27/140","2","Deleted",""
"2026/04/16","INDOO INT*TX*K4","1","TX","US","200","22/60","2","Deleted",""
"2026/04/16","ITMOR WP*CA*K2","2","CA","US","200","50/175","2","Deleted",""
"2026/04/16","ITMOR WP*CA*K2","2","CA","US","310","50/175","2","Deleted",""
"2026/04/16","IZANO INT*AR*K4","1","AR","US","200","30/60","2","Deleted",""
"2026/04/16","JAMESTOWN VOR/DME*NY","1","NY","US","200","37/60","2","Deleted",""
"2026/04/16","JAMMN WP*UT*K2","2","UT","US","265","170/280","2","Deleted",""
"2026/04/16","JAVTA WP*KY*K5","1","KY","US","100","21/100","2","Deleted",""
"2026/04/16","JIMMY INT*VA*K6","1","VA","US","230","20/100","2","Deleted",""
"2026/04/16","JIMMY WP*VA*K6","2","VA","US","230","20/100","2","Deleted",""
"2026/04/16","JOGPU WP*MO*K3","1","MO","US","200","30/60","2","Deleted",""
"2026/04/16","JOLIET VOR/DME*IL","6","","","200","26/60","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","JOLIET VOR/DME*IL","6","IL","US","200","26/60","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","JOTED INT*AZ*K2","1","AZ","US","200","52/120","2","Deleted",""
"2026/04/16","JUBDI WP*IL*K5","1","IL","US","200","24/60","2","Deleted",""
"2026/04/16","KATTO INT*MN*K3","1","MN","US","230","27/80","2","Deleted",""
"2026/04/16","KEGLY INT*WV*K6","1","WV","US","200","60/100","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","1","MO","US","200","30/60","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","1","MO","US","310","30/60","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","2","MO","US","265","180/450","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","3","MO","US","265","310/450","2","Deleted",""
"2026/04/16","LAANG NDB*KY","2","KY","US","200","25/60","2","Deleted",""
"2026/04/16","LAFAYETTE VORTAC*LA","1","LA","US","200","20/60","2","Deleted",""
"2026/04/16","LANIC WP*NM*K2","1","NM","US","230/310","80/140","2","Deleted",""
"2026/04/16","LAZLO INT*UT*K2","1","UT","US","200/230","160/450","2","Deleted",""
"2026/04/16","LETNE WP*TN*K7","1","TN","US","100","25/100","2","Deleted",""
"2026/04/16","LISSI INT*WI*K5","1","WI","US","230","26/100","2","Deleted",""
"2026/04/16","LIVINGSTON VOR/DME*TN","1","TN","US","200","33/140","2","Deleted",""
"2026/04/16","LONDON VOR/DME*KY","2","KY","US","200","35/140","2","Deleted",""
"2026/04/16","LONDON VOR/DME*KY","2","KY","US","310","35/140","2","Deleted",""
"2026/04/16","LONDON VOR/DME*KY","3","KY","US","200","37/140","2","Deleted",""
"2026/04/16","LONDON VOR/DME*KY","4","KY","US","200","33/60","2","Deleted",""
"2026/04/16","MACHE INT*PR*TJ","1","PR","US","200/230","180/450","2","Deleted",""
"2026/04/16","MANNING NDB*SC","1","SC","US","200","19/100","2","Deleted",""
"2026/04/16","MANNING NDB*SC","1","SC","US","310","19/100","2","Deleted",""
"2026/04/16","MAYFY INT*TX*K4","1","TX","US","170/175","105/140","2","Deleted",""
"2026/04/16","MAYFY INT*TX*K4","1","TX","US","200/230","105/140","2","Deleted",""
