"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST","File","Action","Mods"
"2026/05/14","KIRKSVILLE VORTAC*MO","2","MO","US","","","IRK","VORTAC","SW","247","RNAV","67","L","10","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","KIRKSVILLE VORTAC*MO","3","MO","US","","","IRK","VORTAC","SW","247","RNAV","67","L","10","2","Deleted",""
"2026/04/16","LAANG NDB*KY","2","KY","US","","","LK","NDB","S","168","BRG","348","R","","2","Deleted",""
"2026/04/16","LAFAYETTE VORTAC*LA","1","LA","US","","","LFT","VORTAC","NE","61","RAD","241","L","","2","Deleted",""
"2026/04/16","LAZLO INT*UT*K2","1","UT","US","LAZLO","K2","DTA","VORTAC","S","358","RAD","358","R","10","1","Modified","LEG_LENGTH_DIST"
"2026/05/14","LAZLO INT*UT*K2","1","UT","US","LAZLO","K2","DTA","VORTAC","S","358","RAD","358","R","","2","Modified","LEG_LENGTH_DIST"
"2026/04/16","LISSI INT*WI*K5","1","WI","US","LISSI","K5","BAE","VOR/DME","N","360","RAD","180","R","4","2","Deleted",""
"2026/04/16","LIVINGSTON VOR/DME*TN","1","TN","US","","","LVT","VOR/DME","NW","325","RAD","145","R","","2","Deleted",""
"2026/04/16","LONDON VOR/DME*KY","2","KY","US","","","LOZ","VOR/DME","SW","205","RAD","25","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","LONDON VOR/DME*KY","2","KY","US","","","LOZ","VOR/DME","E","89","RAD","269","R","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
