"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","ROUTE_PT_SEQ","ROUTE_PT_ID","NEXT_ROUTE_PT_ID","SEGMENT_TEXT","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","NAV_ID","NAVAID_BEARING","NAVAID_DIST","File","Action","Mods"
"2026/05/14","IR","056","ZMA","70","G","H","(1) 01 AGL B 30 MSL TO","26","37","48","N","26.63","80","54","30","W","-80.90833333","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","056","ZMA","80","H","I","(1) 01 AGL B 30 MSL TO","26","42","0","N","26.7","80","48","0","W","-80.8","LBV","102","33","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","056","ZMA","80","H","I","(1) 01 AGL B 30 MSL TO","26","42","0","N","26.7","80","48","0","W","-80.8","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","056","ZMA","90","I","J","(1) 01 AGL B 30 MSL TO","27","1","30","N","27.025","80","46","0","W","-80.76666666","LBV","69","36","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","056","ZMA","90","I","J","(1) 01 AGL B 30 MSL TO","27","1","30","N","27.025","80","46","0","W","-80.76666666","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","714","ZDC","10","A","B","(1) CROSS AT 20 MSL TO (2) OR 30 MSL AS ASSIGNED","37","20","51","N","37.3475","75","59","51.6","W","-75.99766666","CCV","206","0","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","714","ZDC","10","A","B","(1) CROSS AT 20 MSL TO (2) OR 30 MSL AS ASSIGNED","37","20","51","N","37.3475","75","59","51.6","W","-75.99766666","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","IR","760","ZDC","10","A","B","(1) 20 MSL B 30 MSL TO","37","20","51","N","37.3475","75","59","51.6","W","-75.99766666","CCV","206","0","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","IR","760","ZDC","10","A","B","(1) 20 MSL B 30 MSL TO","37","20","51","N","37.3475","75","59","51.6","W","-75.99766666","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","VR","1087","ZMA","30","C","D","(1) 05 AGL B 15 AGL TO","26","43","0","N","26.71666666","80","48","0","W","-80.8","LBV","101","32","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","VR","1087","ZMA","30","C","D","(1) 05 AGL B 15 AGL TO","26","43","0","N","26.71666666","80","48","0","W","-80.8","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","VR","1087","ZMA","40","D","E","(1) 10 AGL B 15 AGL TO","27","4","0","N","27.06666666","80","53","0","W","-80.88333333","LBV","61","31","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","VR","1087","ZMA","40","D","E","(1) 10 AGL B 15 AGL TO","27","4","0","N","27.06666666","80","53","0","W","-80.88333333","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","VR","1087","ZMA","50","E","","(1) 10 AGL B 15 AGL TO (2) COORDINATE WITH AVON (3) PARK RANGE CONTROL ON 292.2 MHZ (4) PRIOR TO ENTERING R-2901.","27","20","0","N","27.33333333","81","2","0","W","-81.03333333","LBV","31","36","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","VR","1087","ZMA","50","E","","(1) 10 AGL B 15 AGL TO (2) COORDINATE WITH AVON (3) PARK RANGE CONTROL ON 292.2 MHZ (4) PRIOR TO ENTERING R-2901.","27","20","0","N","27.33333333","81","2","0","W","-81.03333333","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/03/19","VR","1088","ZMA","30","C","D","(1) 05 AGL B 15 AGL TO","26","47","0","N","26.78333333","81","18","0","W","-81.3","LBV","118","6","1","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
"2026/05/14","VR","1088","ZMA","30","C","D","(1) 05 AGL B 15 AGL TO","26","47","0","N","26.78333333","81","18","0","W","-81.3","","","","2","Modified","NAV_ID NAVAID_BEARING NAVAID_DIST"
