"EFF_DATE","FSS_ID","NAME","UPDATE_DATE","FSS_FAC_TYPE","VOICE_CALL","CITY","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","OPR_HOURS","FAC_STATUS","ALTERNATE_FSS","WEA_RADAR_FLAG","PHONE_NO","TOLL_FREE_NO","File","Action","Mods"
"2026/04/16","BNA","NASHVILLE","2023/04/17","RADIO","NASHVILLE","NASHVILLE","TN","US","36","7","28.1","N","36.12447222","86","40","41.5","W","-86.67819444","24","A","","N","","1-800-WX-BRIEF","1","Modified","UPDATE_DATE"
"2026/05/14","BNA","NASHVILLE","2026/03/26","RADIO","NASHVILLE","NASHVILLE","TN","US","36","7","28.1","N","36.12447222","86","40","41.5","W","-86.67819444","24","A","","N","","1-800-WX-BRIEF","2","Modified","UPDATE_DATE"
