"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","G_S_TYPE_CODE","G_S_ANGLE","G_S_FREQ","File","Action","Mods"
"2026/04/16","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","OPERATIONAL IFR","1972/11/23","40","30","13.8691","N","40.50385252","122","17","36.3952","W","-122.29344311","T","491.6","GS","3","330.5","2","Deleted",""
"2026/04/16","03992.","A","GA","SAV","SAVANNAH","US","01","TPV","LS","OPERATIONAL IFR","2010/02/04","32","7","10.0137","N","32.11944825","81","12","4.6974","W","-81.20130483","T","26.3","GS","3","331.1","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL LAT_LONG_SOURCE_CODE"
"2026/05/14","03992.","A","GA","SAV","SAVANNAH","US","01","TPV","LS","OPERATIONAL IFR","2010/02/04","32","7","10.01","N","32.11944722","81","12","4.7","W","-81.20130555","F","26.3","GS","3","331.1","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL LAT_LONG_SOURCE_CODE"
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","18R","RGS","LD","OPERATIONAL IFR","2010/01/04","35","13","20.0928","N","35.222248","80","58","6.7275","W","-80.96853541","T","734","GS","3","334.25","2","Deleted",""
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","36L","XUU","LD","OPERATIONAL IFR","2010/01/04","35","12","12.9813","N","35.20360591","80","58","0.943","W","-80.96692861","T","732.3","GS","3","334.25","2","Deleted",""
"2026/05/14","02089.","A","CA","RDD","REDDING","US","35","RDD","LD","OPERATIONAL IFR","1972/11/23","40","30","13.8691","N","40.50385252","122","17","36.3952","W","-122.29344311","T","491.6","GS","3","330.5","2","Added",""
"2026/05/14","16608.","A","NC","CLT","CHARLOTTE","US","01L","XUU","LD","OPERATIONAL IFR","2010/01/04","35","12","12.9813","N","35.20360591","80","58","0.943","W","-80.96692861","T","732.3","GS","3","334.25","2","Added",""
"2026/05/14","16608.","A","NC","CLT","CHARLOTTE","US","19R","RGS","LD","OPERATIONAL IFR","2010/01/04","35","13","20.0928","N","35.222248","80","58","6.7275","W","-80.96853541","T","734","GS","3","334.25","2","Added",""
