"EFF_DATE","SITE_NO","SITE_TYPE_CODE","FACILITY_TYPE","STATE_CODE","FACILITY_ID","CITY","COUNTRY_CODE","ICAO_ID","FACILITY_NAME","REGION_CODE","TWR_OPERATOR_CODE","TWR_CALL","TWR_HRS","PRIMARY_APCH_RADIO_CALL","APCH_P_PROVIDER","APCH_P_PROV_TYPE_CD","SECONDARY_APCH_RADIO_CALL","APCH_S_PROVIDER","APCH_S_PROV_TYPE_CD","PRIMARY_DEP_RADIO_CALL","DEP_P_PROVIDER","DEP_P_PROV_TYPE_CD","SECONDARY_DEP_RADIO_CALL","DEP_S_PROVIDER","DEP_S_PROV_TYPE_CD","CTL_FAC_APCH_DEP_CALLS","APCH_DEP_OPER_CODE","CTL_PRVDING_HRS","SECONDARY_CTL_PRVDING_HRS","File","Action","Mods"
"2026/04/16","17620.","A","NON-ATCT","OH","1G0","BOWLING GREEN","US","","WOOD COUNTY","AGL","","","","TOLEDO","TOL","A","","","","TOLEDO","TOL","A","","","","","","","","1","Modified","FACILITY_NAME"
"2026/05/14","17620.","A","NON-ATCT","OH","1G0","BOWLING GREEN","US","","WOOD COUNTY RGNL","AGL","","","","TOLEDO","TOL","A","","","","TOLEDO","TOL","A","","","","","","","","2","Modified","FACILITY_NAME"
"2026/04/16","04177.","A","NON-ATCT","ID","COE","COEUR D'ALENE","US","KCOE","COEUR D'ALENE/PAPPY BOYINGTON FLD","ANM","","","","SPOKANE","GEG","A","","","","SPOKANE","GEG","A","","","","","","","","1","Modified","FACILITY_NAME"
"2026/05/14","04177.","A","NON-ATCT","ID","COE","COEUR D'ALENE","US","KCOE","COEUR D'ALENE","ANM","","","","SPOKANE","GEG","A","","","","SPOKANE","GEG","A","","","","","","","","2","Modified","FACILITY_NAME"
"2026/04/16","50182.","A","NON-ATCT","AK","KEK","EKWOK","US","PKEK","EKWOK","AAL","","","","","","","","","","","","","","","","","","","","1","Modified","ICAO_ID"
"2026/05/14","50182.","A","NON-ATCT","AK","KEK","EKWOK","US","PAAV","EKWOK","AAL","","","","","","","","","","","","","","","","","","","","2","Modified","ICAO_ID"
"2026/05/14","20622.11","H","NON-ATCT","PA","4PN4","JERSEY SHORE","US","","GEISINGER JERSEY SHORE HOSPITAL","AEA","","","","NEW YORK ARTCC","ZNY","C","","","","NEW YORK ARTCC","ZNY","C","","","","","","","","2","Added",""
"2026/05/14","22754.21","A","NON-ATCT","SD","8V3","PARKSTON","US","","PARKSTON MUNI","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","","","2","Added",""
