"EFF_DATE","PJA_ID","NAV_ID","NAV_TYPE","RADIAL","DISTANCE","NAVAID_NAME","STATE_CODE","CITY","LATITUDE","LAT_DECIMAL","LONGITUDE","LONG_DECIMAL","ARPT_ID","SITE_NO","SITE_TYPE_CODE","DROP_ZONE_NAME","MAX_ALTITUDE","MAX_ALTITUDE_TYPE_CODE","PJA_RADIUS","CHART_REQUEST_FLAG","PUBLISH_CRITERIA","DESCRIPTION","TIME_OF_USE","FSS_ID","FSS_NAME","PJA_USE","VOLUME","PJA_USER","REMARK","File","Action","Mods"
"2026/03/19","PIN007","MIE","VOR/DME","360","10","MUNCIE","IN","MUNCIE","40-24-13.8598N","40.40384994","085-24-19.6358W","-85.40545438","","","","HORIZON FIELD","13000","MSL","","N","Y","PARACHUTE JUMPING 8 MILES NE OF MUNCIE.","0600-1900","HUF","TERRE HAUTE","","","","","1","Modified","NAV_ID RADIAL DISTANCE NAVAID_NAME"
"2026/05/14","PIN007","MZZ","VOR/DME","116.07","13.64","MARION","IN","MUNCIE","40-24-13.8598N","40.40384994","085-24-19.6358W","-85.40545438","","","","HORIZON FIELD","13000","MSL","","N","Y","PARACHUTE JUMPING 8 MILES NE OF MUNCIE.","0600-1900","HUF","TERRE HAUTE","","","","","2","Modified","NAV_ID RADIAL DISTANCE NAVAID_NAME"
