"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC","File","Action","Mods"
"2026/04/16","FISIX WP*IL*K5","1","IL","US","IAP","2","Deleted",""
"2026/04/16","FLAG CITY VORTAC*OH","4","OH","US","IAP","2","Deleted",""
"2026/04/16","FLAG CITY VORTAC*OH","5","OH","US","IAP","2","Deleted",""
"2026/04/16","FOGEM INT*UT*K2","2","UT","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","FOOTE INT*IN*K5","1","IN","US","IAP","2","Deleted",""
"2026/04/16","FRANKSTON VOR/DME*TX","1","TX","US","IAP","2","Deleted",""
"2026/04/16","FRANKSTON VOR/DME*TX","2","TX","US","IAP","2","Deleted",""
"2026/04/16","FRNZY WP*UT*K2","2","UT","US","STAR","2","Deleted",""
"2026/04/16","GALIO INT*LA*K4","1","LA","US","IAP","2","Deleted",""
"2026/04/16","GALLUP VORTAC*NM","2","NM","US","IAP","2","Deleted",""
"2026/04/16","GALLUP VORTAC*NM","3","NM","US","ENROUTE HIGH","2","Deleted",""
"2026/04/16","GALLUP VORTAC*NM","4","NM","US","STAR","2","Deleted",""
"2026/04/16","GARYS LOM*TX","2","TX","US","IAP","2","Deleted",""
"2026/04/16","GENESEO VOR/DME*NY","5","NY","US","IAP","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","2","MI","US","IAP","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","3","MI","US","ENROUTE HIGH","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","4","MI","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","5","MI","US","IAP","2","Deleted",""
"2026/04/16","GOODALL NDB*KY","1","KY","US","IAP","2","Deleted",""
"2026/04/16","HARCUM VORTAC*VA","4","","","MILITARY STAR","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","HARCUM VORTAC*VA","4","VA","US","MILITARY STAR","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","HARCUM VORTAC*VA","4","","","STAR","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","HARCUM VORTAC*VA","4","VA","US","STAR","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","HARTZ INT*MI*K5","1","MI","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","HAUWK INT*LA*K4","1","LA","US","IAP","2","Deleted",""
"2026/04/16","HAZKU INT*IN*K5","1","IN","US","IAP","2","Deleted",""
"2026/04/16","HICNY INT*LA*K4","1","LA","US","IAP","2","Deleted",""
"2026/04/16","HOBART VORTAC*OK","3","OK","US","IAP","2","Deleted",""
"2026/04/16","HOGSI WP*CA*K2","1","CA","US","IAP","2","Deleted",""
"2026/04/16","HORBL WP*CA*K2","1","CA","US","SPECIAL IAP","2","Deleted",""
"2026/04/16","HOUSR INT*OH*K5","1","OH","US","IAP","2","Deleted",""
