"Orig","Route String","Dest","Hours1","Type","Area","Altitude","Aircraft","Direction","Seq","DCNTR","ACNTR","File","Action","Mods"
"AJO","AJO PDZ V186 PGY TIJ TIJ","TIJ","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO TIJ","JM110PQ90","","","1","ZLA","","2","Modified","Altitude"
"AJO","AJO PDZ V388 SLI TOA","TOA","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","1","Modified","Area"
"AJO","AJO PDZ V388 SLI TOA","TOA","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","2","Modified","Area"
"ALB","ALB PWL BIZEX Q75 GVE AIROW CHSLY6 CLT","CLT","1100-0300","H","FROM ALB,SCH,GFL,5B2","","","","1","ZBW","ZTL","1","Modified","Route String"
"ALB","ALB PWL BIZEX Q75 GVE AIROW CHSLY7 CLT","CLT","1100-0300","H","FROM ALB,SCH,GFL,5B2","","","","1","ZBW","ZTL","2","Modified","Route String"
"ALLEX","ALLEX KAYCC KYLOH NELIE Q75 GVE AIROW CHSLY6 CLT","CLT","","NAR","","","","WESTBOUND","1","ZBW","ZTL","1","Modified","Route String"
"ALLEX","ALLEX KAYCC KYLOH NELIE Q75 GVE AIROW CHSLY7 CLT","CLT","","NAR","","","","WESTBOUND","1","ZBW","ZTL","2","Modified","Route String"
"ALLEX","ALLEX KAYCC KYLOH BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH1 MSY","MSY","","NAR","","","","WESTBOUND","1","ZBW","ZHU","1","Modified","Route String"
"ALLEX","ALLEX KAYCC KYLOH BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH2 MSY","MSY","","NAR","","","","WESTBOUND","1","ZBW","ZHU","2","Modified","Route String"
"ATL","ATL JACCC2 KELLN Q58 PEETT THHMP RAVNN8 BWI","BWI","","H","","","","","2","ZTL","ZDC","1","Modified","Route String Area Aircraft"
"ATL","ATL JACCC2 KELLN Q58 PEETT THHMP RAVNN9 BWI","BWI","","H","TO BWI, MTN","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","2","ZTL","ZDC","2","Modified","Route String Area Aircraft"
"ATL","ATL PHIIL3 PHIIL CNTLR JONZE5 CLT","CLT","","H","","","","","3","ZTL","ZTL","1","Modified","Route String"
"ATL","ATL PHIIL3 PHIIL CNTLR JONZE6 CLT","CLT","","H","","","","","3","ZTL","ZTL","2","Modified","Route String"
"AUS","AUS ILEXY4 ZENZI IAH GUSTI Q22 CATLN Q56 KELLN Q58 PEETT THHMP RAVNN8 BWI","BWI","","H","","","","","1","ZHU","ZDC","1","Modified","Route String Area Aircraft"
"AUS","AUS ILEXY4 ZENZI IAH GUSTI Q22 CATLN Q56 KELLN Q58 PEETT THHMP RAVNN9 BWI","BWI","","H","TO BWI, MTN","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","1","ZHU","ZDC","2","Modified","Route String Area Aircraft"
"AUS","AUS ILEXY4 ZENZI LFK SUTTN J29 CARIN MEMFS Q34 SITTR CJAAE RAVNN8 BWI","BWI","","H","","","PART 121 & 129 ONLY","","2","ZHU","ZDC","1","Modified","Route String Area Aircraft"
"AUS","AUS ILEXY4 ZENZI LFK SUTTN J29 CARIN MEMFS Q34 SITTR CJAAE RAVNN9 BWI","BWI","","H","TO BWI, MTN","","PT 121&129 JETS ONLY:RNAV 1-DME/DME/IRU OR GPS RQD","","2","ZHU","ZDC","2","Modified","Route String Area Aircraft"
"AUS","AUS ILEXY4 ILEXY KIDDZ5 HOU","HOU","","H","","","TURBOJETS","","1","ZHU","ZHU","1","Modified","Area Aircraft"
