navId,navType,groupSize,sourceRowIds,distinctNameCount,nameList,distinctCityCount,cityList,distinctStateCount,stateList,distinctCountryCount,countryList,distinctFreqCount,freqList,distinctChanCount,chanList,latLonList,navStatusList,nasUseFlagList,publicUseFlagList,appearsInAwySegCount,appearsInDpRteCount,appearsInStarRteCount,appearsInPfrSegCount,preliminaryPattern,nameConflict,cityConflict,stateConflict,countryConflict,freqConflict,coordConflict,referencedInAnyRouteData
MF,NDB,2,958|959,2,MANNS|MISSI,2,MANSFIELD|MC ALLEN,2,OH|TX,1,US,2,330|372,0,,"26.25383638,-98.31049347|40.7663278,-82.44515097",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
MW,NDB,3,1038|1039|1040,3,JONNY|ONIDA|PELLY,3,MARION|MIDDLETOWN|MOSES LAKE,3,IL|OH|WA,1,US,3,223|382|408,0,,"37.8390833,-88.97081872|39.57818522,-84.32353113|47.11571113,-119.27450944",OPERATIONAL IFR|OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
OS,NDB,2,1138|1139,2,FULER|POBER,2,COLUMBUS|OSHKOSH,2,OH|WI,1,US,2,395|515,0,,"40.07361616,-83.19806075|43.87386111,-88.5575988",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
PI,NDB,2,1183|1184,2,CAPOK|TUNGG,2,PEORIA|ST PETERSBURG-CLEARWATER,2,FL|IL,1,US,2,356|360,0,,"27.99524052,-82.70383333|40.60561797,-89.59324977",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
PK,NDB,3,1192|1193|1194,3,HERBB|SPIDA|VERSI,3,OLATHE|PARK RAPIDS|PARKERSBURG,3,KS|MN|WV,1,US,3,269|388|420,0,,"38.75322008,-94.73684675|39.25401155,-81.48494233|46.83403825,-94.97556263",OPERATIONAL IFR|OPERATIONAL RESTRICTED,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
RU,NDB,2,1302|1303,2,GARYS|ROVDY,2,AUSTIN|SALISBURY,2,NC|TX,1,US,2,272|275,0,,"29.95864113,-97.94900233|35.73312258,-80.48956538",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
SB,NDB,2,1327|1328,2,MISHA|PETIS,2,SAN BERNARDINO|SOUTH BEND,2,CA|IN,1,US,2,341|397,0,,"34.05647197,-117.36611413|41.70563941,-86.21898433",OPERATIONAL IFR,Y,Y,0,0,1,0,same_id_type_different_freq,true,true,true,false,true,true,true
SJ,NDB,2,1363|1364,2,PATTY|WOOLE,2,SAN ANGELO|SAN JUAN,2,PR|TX,1,US,2,330|356,0,,"18.40890894,-66.08955838|31.27973591,-100.57623113",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
SL,NDB,2,1375|1376,2,FLORY|TURNO,2,SALEM|SALINA,2,KS|OR,1,US,2,266|344,0,,"38.68153733,-97.64502038|44.84743352,-122.95101861",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
SP,NDB,2,1394|1395,2,HUSKK|SNORE,2,SPENCER|SPRINGFIELD,2,IA|IL,1,US,2,382|394,0,,"39.77314855,-89.75986636|43.23400458,-95.32789319",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
ST,NDB,3,1413|1414|1415,3,HUSSK|PESTE|TARIO,3,CHRISTIANSTED|ST CLOUD|ST JOSEPH,3,MN|MO|VI,1,US,3,241|260|342,0,,"17.69196633,-64.88474597|39.67580302,-94.90692536|45.47894472,-93.96868405",OPERATIONAL IFR,N|Y,N|Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
SW,NDB,3,1433|1434|1435,3,GABEH|NEELY|ROADD,3,NEWBURGH|STILLWATER|WARROAD,3,MN|NY|OK,1,US,3,255|335|360,0,,"36.23618505,-97.08725838|41.48580136,-74.22802225|48.86275194,-95.24187733",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
TO,NDB,2,1482|1483,2,BILOY|TOPHR,2,TOLEDO|TOPEKA,2,KS|OH,1,US,2,219|521,0,,"39.12036558,-95.68708363|41.55343788,-83.92116747",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
TU,NDB,2,1503|1504,2,OILLR|VERON,2,TULSA|TUPELO,2,MS|OK,1,US,2,338|420,0,,"34.18035302,-88.76867844|36.09742525,-95.88876552",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
TX,NDB,2,1515|1516,2,GWNET|TECCO,2,LAWRENCEVILLE|TEXARKANA,2,AR|GA,1,US,2,234|419,0,,"33.52403497,-93.90591997|34.01991725,-83.86285747",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
UV,NDB,2,1549|1550,2,BALES|TUNNG,2,MARTINSVILLE|OXFORD,2,MS|VA,1,US,2,396|426,0,,"34.38509102,-89.62597672|36.5900943,-79.91746522",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
VV,NDB,2,1578|1579,2,CAMOR|JUNNE,2,CONNELLSVILLE|GREENSBORO,2,GA|PA,1,US,2,299|353,0,,"33.64641111,-83.02176666|39.88277055,-79.74471166",OPERATIONAL IFR,Y,Y,0,0,0,0,same_id_type_different_freq,true,true,true,false,true,true,false
