navId,navType,sourceRowId,name,city,stateCode,countryCode,regionCode,lat,lon,freq,chan,navStatus,nasUseFlag,publicUseFlag,highAltArtccId,lowAltArtccId,legacyNavIdTypeKey,currentPointKey
AEX,VORTAC,25,ALEXANDRIA,ALEXANDRIA,LA,US,ASW,31.25673163,-92.50097241,116.1,108X,OPERATIONAL RESTRICTED,Y,Y,ZHU,ZHU,POINT:NAVAID:AEX:VORTAC,POINT:NAVAID:AEX:VORTAC:US:LA:ALEXANDRIA
AG,NDB,26,BUSHE,AUGUSTA,GA,US,ASO,33.28688547,-81.94685313,233,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AG:NDB,POINT:NAVAID:AG:NDB:US:GA:AUGUSTA
AGC,VOR/DME,27,ALLEGHENY,PITTSBURGH,PA,US,AEA,40.27864386,-80.04085469,110,37X,OPERATIONAL RESTRICTED,Y,Y,ZOB,ZOB,POINT:NAVAID:AGC:VOR/DME,POINT:NAVAID:AGC:VOR/DME:US:PA:PITTSBURGH
AGJ,VORTAC,28,GOOCH SPRINGS,LAMPASAS,TX,US,ASW,31.1855045,-98.14185786,112.5,72X,OPERATIONAL IFR,Y,Y,ZHU,ZHU,POINT:NAVAID:AGJ:VORTAC,POINT:NAVAID:AGJ:VORTAC:US:TX:LAMPASAS
AGZ,NDB,29,WAGNER,WAGNER,SD,US,AGL,43.06339127,-98.29316833,392,,OPERATIONAL VFR ONLY,N,Y,ZMP,ZMP,POINT:NAVAID:AGZ:NDB,POINT:NAVAID:AGZ:NDB:US:SD:WAGNER
AHC,VOR/DME,30,AMEDEE,HERLONG,CA,US,AWP,40.26786288,-120.15196541,109,27X,OPERATIONAL RESTRICTED,N,Y,ZOA,ZOA,POINT:NAVAID:AHC:VOR/DME,POINT:NAVAID:AHC:VOR/DME:US:CA:HERLONG
AHN,VOR/DME,31,ATHENS,ATHENS,GA,US,ASO,33.94759358,-83.32475877,116.95,116Y,OPERATIONAL RESTRICTED,Y,Y,ZTL,ZTL,POINT:NAVAID:AHN:VOR/DME,POINT:NAVAID:AHN:VOR/DME:US:GA:ATHENS
AHQ,NDB,32,WAHOO,WAHOO,NE,US,ACE,41.23900138,-96.59866061,400,,OPERATIONAL IFR,Y,Y,ZMP,ZMP,POINT:NAVAID:AHQ:NDB,POINT:NAVAID:AHQ:NDB:US:NE:WAHOO
AI,NDB,33,VIDEO,ANDERSON,IN,US,AGL,40.0695273,-85.51068694,394,,OPERATIONAL IFR,Y,Y,ZID,ZID,POINT:NAVAID:AI:NDB,POINT:NAVAID:AI:NDB:US:IN:ANDERSON
AI,NDB,34,ADDMO,ARDMORE,OK,US,ASW,34.23234622,-96.93310883,400,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AI:NDB,POINT:NAVAID:AI:NDB:US:OK:ARDMORE
AIA,VOR/DME,35,ALLIANCE,ALLIANCE,NE,US,ACE,42.05563094,-102.80444361,111.8,55X,OPERATIONAL RESTRICTED,Y,Y,ZDV,ZDV,POINT:NAVAID:AIA:VOR/DME,POINT:NAVAID:AIA:VOR/DME:US:NE:ALLIANCE
AIK,NDB,36,AIKEN,AIKEN,SC,US,ASO,33.6518005,-81.67697219,347,,OPERATIONAL RESTRICTED,Y,Y,ZJX,ZTL,POINT:NAVAID:AIK:NDB,POINT:NAVAID:AIK:NDB:US:SC:AIKEN
