procedureKey,procedureType,procedurePathKey,routeName,routeNameFirstToken,routeNameLastToken,operationalStartRawPoint,operationalEndRawPoint,directionNameStatus
PROCEDURE:STAR:SARGO.SARGO5,STAR,PROC_PATH:PROCEDURE:STAR:SARGO.SARGO5:BODY:SARGO-FECTA:1:,SARGO-FECTA,SARGO,FECTA,SARGO,FECTA,matches_operational_endpoints
PROCEDURE:STAR:SARGO.SARGO5,STAR,PROC_PATH:PROCEDURE:STAR:SARGO.SARGO5:BODY:SARGO-FIBSU:1:,SARGO-FIBSU,SARGO,FIBSU,SARGO,FIBSU,matches_operational_endpoints
PROCEDURE:STAR:SARGO.SARGO5,STAR,PROC_PATH:PROCEDURE:STAR:SARGO.SARGO5:BODY:SARGO-LEWIN:1:,SARGO-LEWIN,SARGO,LEWIN,SARGO,LEWIN,matches_operational_endpoints
PROCEDURE:STAR:SARGO.SARGO5,STAR,PROC_PATH:PROCEDURE:STAR:SARGO.SARGO5:BODY:SARGO-YUMMM:1:,SARGO-YUMMM,SARGO,YUMMM,SARGO,YUMMM,matches_operational_endpoints
PROCEDURE:STAR:SASIE.SASIE8,STAR,PROC_PATH:PROCEDURE:STAR:SASIE.SASIE8:BODY:SASIE:1:,SASIE,SASIE,SASIE,SASIE,SASIE,name_not_parseable
PROCEDURE:STAR:SASIE.TRUUK3,STAR,PROC_PATH:PROCEDURE:STAR:SASIE.TRUUK3:BODY:SASIE-SANGR:1:,SASIE-SANGR,SASIE,SANGR,SASIE,TRUUK,endpoint_name_mismatch
PROCEDURE:STAR:SBONO.SBONO1,STAR,PROC_PATH:PROCEDURE:STAR:SBONO.SBONO1:BODY:SBONO:1:,SBONO,SBONO,SBONO,SBONO,SBONO,name_not_parseable
PROCEDURE:STAR:SCBBY.SCBBY2,STAR,PROC_PATH:PROCEDURE:STAR:SCBBY.SCBBY2:BODY:SCBBY-CASIE:1:,SCBBY-CASIE,SCBBY,CASIE,SCBBY,CASIE,matches_operational_endpoints
PROCEDURE:STAR:SCBBY.SCBBY2,STAR,PROC_PATH:PROCEDURE:STAR:SCBBY.SCBBY2:BODY:SCBBY-TAKOE:1:,SCBBY-TAKOE,SCBBY,TAKOE,SCBBY,TAKOE,matches_operational_endpoints
PROCEDURE:STAR:SCOGS.SCOGS3,STAR,PROC_PATH:PROCEDURE:STAR:SCOGS.SCOGS3:BODY:SCOGS-BUXTO:1:,SCOGS-BUXTO,SCOGS,BUXTO,SCOGS,BUXTO,matches_operational_endpoints
PROCEDURE:STAR:SCOGS.SCOGS3,STAR,PROC_PATH:PROCEDURE:STAR:SCOGS.SCOGS3:BODY:SCOGS-SAPPE:1:,SCOGS-SAPPE,SCOGS,SAPPE,SCOGS,SAPPE,matches_operational_endpoints
PROCEDURE:STAR:SCOLA.SCOLA1,STAR,PROC_PATH:PROCEDURE:STAR:SCOLA.SCOLA1:BODY:SCOLA-KLOCK:1:,SCOLA-KLOCK,SCOLA,KLOCK,SCOLA,KLOCK,matches_operational_endpoints
PROCEDURE:STAR:SCRLT.SCRLT2,STAR,PROC_PATH:PROCEDURE:STAR:SCRLT.SCRLT2:BODY:SCRLT-JOSIK:1:,SCRLT-JOSIK,SCRLT,JOSIK,SCRLT,JOSIK,matches_operational_endpoints
PROCEDURE:STAR:SCRLT.SCRLT2,STAR,PROC_PATH:PROCEDURE:STAR:SCRLT.SCRLT2:BODY:SCRLT-PAEON:1:,SCRLT-PAEON,SCRLT,PAEON,SCRLT,PAEON,matches_operational_endpoints
PROCEDURE:STAR:SCRLT.SCRLT2,STAR,PROC_PATH:PROCEDURE:STAR:SCRLT.SCRLT2:BODY:SCRLT-SLATS:1:,SCRLT-SLATS,SCRLT,SLATS,SCRLT,SLATS,matches_operational_endpoints
PROCEDURE:STAR:SCRLT.SCRLT2,STAR,PROC_PATH:PROCEDURE:STAR:SCRLT.SCRLT2:BODY:SCRLT-WERUP:1:,SCRLT-WERUP,SCRLT,WERUP,SCRLT,WERUP,matches_operational_endpoints
PROCEDURE:STAR:SCRLT.SCRLT2,STAR,PROC_PATH:PROCEDURE:STAR:SCRLT.SCRLT2:BODY:SCRLT-XAVYR:1:,SCRLT-XAVYR,SCRLT,XAVYR,SCRLT,XAVYR,matches_operational_endpoints
PROCEDURE:STAR:SEATO.SEATO4,STAR,PROC_PATH:PROCEDURE:STAR:SEATO.SEATO4:BODY:SEATO:1:,SEATO,SEATO,SEATO,SEATO,SEATO,name_not_parseable
PROCEDURE:STAR:SEAVU.SEAVU2,STAR,PROC_PATH:PROCEDURE:STAR:SEAVU.SEAVU2:BODY:SEAVU:1:,SEAVU,SEAVU,SEAVU,SEAVU,SEAVU,name_not_parseable
PROCEDURE:STAR:SEEVR.BRDJE5,STAR,PROC_PATH:PROCEDURE:STAR:SEEVR.BRDJE5:BODY:SEEVR-JEKIL:1:,SEEVR-JEKIL,SEEVR,JEKIL,SEEVR,JEKIL,matches_operational_endpoints
PROCEDURE:STAR:SEEVR.SEEVR4,STAR,PROC_PATH:PROCEDURE:STAR:SEEVR.SEEVR4:BODY:SEEVR-YAHBT:1:,SEEVR-YAHBT,SEEVR,YAHBT,SEEVR,YAHBT,matches_operational_endpoints
PROCEDURE:STAR:SEG.SEG6,STAR,PROC_PATH:PROCEDURE:STAR:SEG.SEG6:BODY:SEG-FDK:1:,SEG-FDK,SEG,FDK,SEG,FDK,matches_operational_endpoints
