airwayKey,airwayPathKey,fromOccurrenceKey,toOccurrenceKey,fromPointKey,toPointKey,fromPointSeq,toPointSeq,magCourse,oppositeMagCourse,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,gapFlag,signalGapFlag,dogleg,forwardEndpointResolved,reverseDirectionEvidence,reverseEvidenceStatus,sourceTable,sourceRowId
AIRWAY:A222,AIRWAY_PATH:A222:C,AWY_OCC:A222:C:30,AWY_OCC:A222:C:40,POINT:FIX:AXIDE:P,POINT:FIX:FIBSS:P,30,40,111.82,291.48,20000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,24
AIRWAY:A222,AIRWAY_PATH:A222:C,AWY_OCC:A222:C:40,AWY_OCC:A222:C:50,POINT:FIX:FIBSS:P,POINT:FIX:KRONK:P,40,50,111.46,290.29,20000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,25
AIRWAY:A222,AIRWAY_PATH:A222:C,AWY_OCC:A222:C:50,AWY_OCC:A222:C:60,POINT:FIX:KRONK:P,POINT:FIX:ADUFO:P,50,60,116.74,295.8,20000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,26
AIRWAY:A222,AIRWAY_PATH:A222:C,AWY_OCC:A222:C:60,AWY_OCC:A222:C:70,POINT:FIX:ADUFO:P,POINT:NAVAID:PNI:NDB/DME:FM::POHNPEI_ISLAND,60,70,114.35,294.4,20000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,27
AIRWAY:A222,AIRWAY_PATH:A222:C,AWY_OCC:A222:C:70,AWY_OCC:A222:C:80,POINT:NAVAID:PNI:NDB/DME:FM::POHNPEI_ISLAND,POINT:FIX:AXTEN:P,70,80,102.91,282.82,20000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,28
AIRWAY:A222,AIRWAY_PATH:A222:C,AWY_OCC:A222:C:80,AWY_OCC:A222:C:90,POINT:FIX:AXTEN:P,POINT:NAVAID:UKS:NDB/DME:FM::KOSRAE_ISLAND,80,90,102.81,281.93,20000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,29
AIRWAY:A222,AIRWAY_PATH:A222:C,AWY_OCC:A222:C:90,AWY_OCC:A222:C:100,POINT:NAVAID:UKS:NDB/DME:FM::KOSRAE_ISLAND,POINT:FIX:STEFF:P,90,100,47.3,227.28,20000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,30
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:10,AWY_OCC:A315:C:20,POINT:NAVAID:ZBV:VOR/DME:BS::BIMINI,POINT:FIX:SWIMM:K7,10,20,135.35,315.46,5000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,33
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:100,AWY_OCC:A315:C:110,POINT:FIX:KNSLY:K,POINT:FIX:JOSES:K,100,110,162.45,342.78,7000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,42
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:20,AWY_OCC:A315:C:30,POINT:FIX:SWIMM:K7,POINT:FIX:TINKY:K,20,30,135.41,315.69,8000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,34
