fromKey,toKey,magCourse,oppositeMagCourse,distanceNm,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,minObstacleClearanceAltFt,minCrossingAltFt,minReceptionAltFt,maxAuthorizedAltFt,requiredNavPerformance,gapFlag,signalGapFlag,dogleg,artcc,stateCode,countryCode,icaoRegionCode,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A315:C:20,AWY_OCC:A315:C:30,135.41,315.69,46.87,8000,,,,,,60000,,N,N,N,ZMA,,BS,K7,2026-05-14,AWY_SEG_ALT,34
AWY_OCC:A315:C:30,AWY_OCC:A315:C:40,135.69,315.81,21.77,12500,,,,,8000,60000,,N,N,N,ZMA,OA,BS,K,2026-05-14,AWY_SEG_ALT,35
AWY_OCC:A315:C:40,AWY_OCC:A315:C:50,135.82,315.97,27.38,14000,,,,,12500,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,36
AWY_OCC:A315:C:50,AWY_OCC:A315:C:60,135.97,316.11,24.26,7000,,,,,14000,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,37
AWY_OCC:A315:C:60,AWY_OCC:A315:C:70,136.1,316.31,38.18,7000,,,,,16500,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,38
AWY_OCC:A315:C:70,AWY_OCC:A315:C:80,141.32,322.13,71.09,7000,,,,,16500,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,39
AWY_OCC:A315:C:80,AWY_OCC:A315:C:90,142.12,322.84,66.29,7000,,,,,,60000,,N,N,N,ZMA,,BS,K7,2026-05-14,AWY_SEG_ALT,40
AWY_OCC:A315:C:90,AWY_OCC:A315:C:100,142.8,323.93,105.86,7000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,41
AWY_OCC:A315:C:100,AWY_OCC:A315:C:110,162.45,342.78,55.27,7000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,42
AWY_OCC:A331:C:10,AWY_OCC:A331:C:20,32.07,212.3,70.8,5500,,,,,,60000,,N,N,N,ZHN,OP,US,P,2026-05-14,AWY_SEG_ALT,44
AWY_OCC:A331:C:20,AWY_OCC:A331:C:30,32.34,213.66,412.2,5500,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,45
AWY_OCC:A331:C:30,AWY_OCC:A331:C:40,33.7,215.41,413.07,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,46
AWY_OCC:A331:C:40,AWY_OCC:A331:C:50,35.4,218.15,445.1,5500,,,,,,60000,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,47
AWY_OCC:A331:C:50,AWY_OCC:A331:C:60,38.16,222.56,446.39,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,48
AWY_OCC:A331:C:60,AWY_OCC:A331:C:70,42.57,224.75,163.1,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,49
AWY_OCC:A332:C:10,AWY_OCC:A332:C:20,34.8,216.34,458.77,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,51
AWY_OCC:A332:C:20,AWY_OCC:A332:C:30,36.28,218.35,452.34,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,52
AWY_OCC:A332:C:30,AWY_OCC:A332:C:40,38.36,221.47,440.99,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,53
AWY_OCC:A332:C:40,AWY_OCC:A332:C:50,41.42,226.3,441.07,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,54
AWY_OCC:A337:C:10,AWY_OCC:A337:C:20,352.09,172.35,58.5,6000,,,,,,60000,,N,N,N,ZUA,GU,US,PG,2026-05-14,AWY_SEG_ALT,56
AWY_OCC:A337:C:20,AWY_OCC:A337:C:30,352.33,172.8,99.84,6000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,57
AWY_OCC:A337:C:30,AWY_OCC:A337:C:40,352.79,173.29,100.57,6000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,58
AWY_OCC:A337:C:40,AWY_OCC:A337:C:50,356.79,177.25,93.93,6000,,,,,,60000,,N,N,N,ZUA,GU,US,PG,2026-05-14,AWY_SEG_ALT,59
AWY_OCC:A337:C:50,AWY_OCC:A337:C:60,341.23,162.29,226.58,6000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,60
AWY_OCC:A339:C:10,AWY_OCC:A339:C:20,13.94,195.15,338.33,15000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,62
AWY_OCC:A339:C:20,AWY_OCC:A339:C:30,15.11,196.79,370.6,15000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,63
AWY_OCC:A339:C:30,AWY_OCC:A339:C:40,16.79,198.05,234.33,15000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,64
AWY_OCC:A342:A:10,AWY_OCC:A342:A:20,73.95,256.62,250.8,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,66
AWY_OCC:A342:A:20,AWY_OCC:A342:A:30,74.94,256.28,127.48,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,67
AWY_OCC:A342:A:30,AWY_OCC:A342:A:40,75.49,257.31,173.89,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,68
AWY_OCC:A342:A:40,AWY_OCC:A342:A:50,76.49,257.83,127.84,18000,,,,,,60000,,N,N,N,ZAN,AK,US,PA,2026-05-14,AWY_SEG_ALT,69
AWY_OCC:A342:A:50,AWY_OCC:A342:A:60,77.51,260.22,252.69,18000,,,,,,60000,,N,N,N,ZAN,AK,US,PA,2026-05-14,AWY_SEG_ALT,70
AWY_OCC:A342:A:60,AWY_OCC:A342:A:70,79.93,263.07,278.43,18000,,,,,,60000,,N,N,N,ZAN,AK,US,PA,2026-05-14,AWY_SEG_ALT,71
AWY_OCC:A450:C:10,AWY_OCC:A450:C:20,44.87,225.23,295.9,18000,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,73
AWY_OCC:A450:C:20,AWY_OCC:A450:C:30,46.41,227.07,359.51,18000,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,74
AWY_OCC:A450:C:30,AWY_OCC:A450:C:40,48,228.22,100.05,8000,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,75
AWY_OCC:A450:C:40,AWY_OCC:A450:C:50,58.58,238.64,40.43,8000,,,,,,,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,76
AWY_OCC:A450:C:50,AWY_OCC:A450:C:60,58.77,238.95,100.14,8000,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,77
AWY_OCC:A450:C:60,AWY_OCC:A450:C:70,68,248.13,35,5000,,,,,,,,N,N,N,ZHN,GU,US,,2026-05-14,AWY_SEG_ALT,78
AWY_OCC:A450:C:70,AWY_OCC:A450:C:80,68.13,248.38,65,5000,,,,,,,,N,N,N,ZUA,GU,US,PG,2026-05-14,AWY_SEG_ALT,79
AWY_OCC:A450:C:80,AWY_OCC:A450:C:90,69.78,249.8,28.41,5000,,,,,,60000,,N,N,N,ZUA,GU,US,PG,2026-05-14,AWY_SEG_ALT,80
AWY_OCC:A450:C:90,AWY_OCC:A450:C:100,69.82,249.87,51.6,5000,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,81
AWY_OCC:A450:C:100,AWY_OCC:A450:C:110,71.7,251.76,81.81,18000,,,,,,60000,,N,N,N,ZUA,GU,US,PG,2026-05-14,AWY_SEG_ALT,82
AWY_OCC:A450:C:110,AWY_OCC:A450:C:120,73.27,253.65,523.28,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,83
AWY_OCC:A450:C:120,AWY_OCC:A450:C:130,73.64,254.18,522.95,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,84
AWY_OCC:A450:C:130,AWY_OCC:A450:C:140,74.33,255.08,380.24,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,85
AWY_OCC:A450:C:140,AWY_OCC:A450:C:150,75.41,256.63,379.76,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,86
AWY_OCC:A450:C:150,AWY_OCC:A450:C:160,76.96,259.09,451.08,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,87
AWY_OCC:A450:C:160,AWY_OCC:A450:C:170,79.46,262.01,452.96,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,88
AWY_OCC:A450:C:170,AWY_OCC:A450:C:180,82.73,263.09,60.68,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,89
AWY_OCC:A450:C:180,AWY_OCC:A450:C:190,82.36,262.81,81.22,5500,,,,,,60000,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,90
AWY_OCC:A509:C:10,AWY_OCC:A509:C:20,331.31,151.06,62.67,16000,,,,,16000,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,92
AWY_OCC:A509:C:20,AWY_OCC:A509:C:30,331.06,150.93,29.68,16000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,93
AWY_OCC:A509:C:30,AWY_OCC:A509:C:40,330.94,150.83,25.32,3000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,94
AWY_OCC:A509:C:40,AWY_OCC:A509:C:50,330.83,150.78,10.63,3000,,,,,,60000,,N,N,N,ZMA,FL,US,K7,2026-05-14,AWY_SEG_ALT,95
AWY_OCC:A509:C:50,AWY_OCC:A509:C:60,278.33,97.7,77.87,8000,,,,,,60000,,N,N,N,ZMA,FL,US,,2026-05-14,AWY_SEG_ALT,96
