nodeKey,NAV_ID,NAV_TYPE,NAV_STATUS,NAME,CITY,STATE_CODE,COUNTRY_CODE,REGION_CODE,LAT_DECIMAL,LONG_DECIMAL,FREQ,OPER_HOURS,NAS_USE_FLAG,PUBLIC_USE_FLAG
NAVAID:BKE:VOR/DME,BKE,VOR/DME,OPERATIONAL RESTRICTED,BAKER CITY,BAKER CITY,OR,US,ANM,44.84059947,-117.80786827,115.3,24,Y,Y
NAVAID:BLD:VORTAC,BLD,VORTAC,OPERATIONAL RESTRICTED,BOULDER CITY,BOULDER CITY,NV,US,AWP,35.99579022,-114.86357888,116.7,24,Y,Y
NAVAID:BLH:VORTAC,BLH,VORTAC,OPERATIONAL RESTRICTED,BLYTHE,BLYTHE,CA,US,AWP,33.59606463,-114.76127336,117.4,24,Y,Y
NAVAID:BMI:DME,BMI,DME,OPERATIONAL RESTRICTED,BLOOMINGTON,BLOOMINGTON/NORMAL,IL,US,AGL,40.48080469,-88.93126641,108.2,24,Y,Y
NAVAID:BNA:VORTAC,BNA,VORTAC,OPERATIONAL RESTRICTED,NASHVILLE,NASHVILLE,TN,US,ASO,36.13696036,-86.68477116,114.1,24,Y,Y
NAVAID:BOI:VORTAC,BOI,VORTAC,OPERATIONAL RESTRICTED,BOISE,BOISE,ID,US,ANM,43.55281141,-116.19212561,113.3,24,Y,Y
NAVAID:BOS:VOR/DME,BOS,VOR/DME,OPERATIONAL RESTRICTED,BOSTON,BOSTON,MA,US,ANE,42.35744991,-70.98954838,112.7,24,Y,Y
NAVAID:BQS:VOR/DME,BQS,VOR/DME,OPERATIONAL IFR,BRAYMER,BRAYMER,MO,US,ACE,39.63055555,-93.87527777,115.35,24,Y,Y
NAVAID:BRV:VORTAC,BRV,VORTAC,OPERATIONAL RESTRICTED,BROOKE,BROOKE,VA,US,AEA,38.33625733,-77.35286552,114.5,24,Y,Y
NAVAID:BSV:VOR/DME,BSV,VOR/DME,OPERATIONAL IFR,BRIGGS,BRIGGS,OH,US,AGL,40.74070638,-81.43211711,114.05,24,Y,Y
NAVAID:BTG:VORTAC,BTG,VORTAC,OPERATIONAL RESTRICTED,BATTLE GROUND,BATTLE GROUND,WA,US,ANM,45.74781102,-122.59153655,116.6,24,Y,Y
NAVAID:BTV:VOR/DME,BTV,VOR/DME,OPERATIONAL RESTRICTED,BURLINGTON,BURLINGTON,VT,US,ANE,44.39710472,-73.18263472,117.5,24,Y,Y
NAVAID:BTY:VORTAC,BTY,VORTAC,OPERATIONAL RESTRICTED,BEATTY,BEATTY,NV,US,AWP,36.80059727,-116.7476403,114.7,24,Y,Y
NAVAID:BUF:DME,BUF,DME,OPERATIONAL RESTRICTED,BUFFALO,BUFFALO,NY,US,AEA,42.9289915,-78.64634947,116.4,24,Y,Y
NAVAID:BUM:VORTAC,BUM,VORTAC,OPERATIONAL RESTRICTED,BUTLER,BUTLER,MO,US,ACE,38.27208011,-94.48826111,115.9,24,Y,Y
NAVAID:BWZ:VOR/DME,BWZ,VOR/DME,OPERATIONAL RESTRICTED,BROADWAY,SCHOOLEY'S MOUNTAIN,NJ,US,AEA,40.79843277,-74.8218325,114.2,24,Y,Y
NAVAID:BXK:VORTAC,BXK,VORTAC,OPERATIONAL RESTRICTED,BUCKEYE,BUCKEYE,AZ,US,AWP,33.45345869,-112.82459369,110.6,24,Y,Y
NAVAID:BYI:VOR/DME,BYI,VOR/DME,OPERATIONAL RESTRICTED,BURLEY,BURLEY,ID,US,ANM,42.58023936,-113.86585758,114.1,24,Y,Y
NAVAID:BYP:VORTAC,BYP,VORTAC,OPERATIONAL IFR,BONHAM,BONHAM,TX,US,ASW,33.53748611,-96.23409444,114.6,24,Y,Y
NAVAID:BZM:VOR/DME,BZM,VOR/DME,OPERATIONAL RESTRICTED,BARRETTS MOUNTAIN,HICKORY,NC,US,ASO,35.86885388,-81.24052888,113.75,24,Y,Y
NAVAID:BZN:VOR/DME,BZN,VOR/DME,OPERATIONAL RESTRICTED,BOZEMAN,BOZEMAN,MT,US,ANM,45.78389891,-111.15545488,112.4,24,Y,Y
NAVAID:CAE:VORTAC,CAE,VORTAC,OPERATIONAL RESTRICTED,COLUMBIA,COLUMBIA,SC,US,ASO,33.85724986,-81.0539028,114.7,24,Y,Y
NAVAID:CAM:VOR/DME,CAM,VOR/DME,OPERATIONAL RESTRICTED,CAMBRIDGE,CAMBRIDGE,NY,US,AEA,42.99428883,-73.34401891,115,24,Y,Y
NAVAID:CCC:VOR/DME,CCC,VOR/DME,OPERATIONAL RESTRICTED,CALVERTON,CALVERTON,NY,US,AEA,40.92961883,-72.79885825,114.55,24,Y,Y
NAVAID:CCR:VOR/DME,CCR,VOR/DME,OPERATIONAL RESTRICTED,CONCORD,CONCORD,CA,US,AWP,38.0449203,-122.0452073,117,24,Y,Y
