routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING,semanticStatus,searchProjectionStatus
ACK:BWI:TEC:2,ACK,BWI,TEC,2,8000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 ENO T358 SWANN,valid_semantic_route,projected
ACK:CON:TEC:1,ACK,CON,TEC,1,10000,,,,,FREDO BOS MANCH,valid_semantic_route,projected
ACK:DCA:H:1,ACK,DCA,H,1,,,1100-0300,,,LFV CELTS NELIE Q75 MXE CLIPR3,valid_semantic_route,projected
ACK:DCA:H:2,ACK,DCA,H,2,,TURBOJETS ONLY,,,,MVY JAWZZ Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN DEALE3,valid_semantic_route,projected
ACK:DOV:TEC:1,ACK,DOV,TEC,1,10000,,,,,ACK T216 SEY ORCHA T320 AVALO T358 ENO,valid_semantic_route,projected
ACK:DOV:TEC:2,ACK,DOV,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 ENO,valid_semantic_route,projected
ACK:DXR:TEC:2,ACK,DXR,TEC,2,10000,PROPS LESS THAN 250 KTS IAS,,,,ACK V146 PVD HFD T303 MAD EEGOR ALIXX RYMES,valid_semantic_route,projected
ACK:DXR:TEC:3,ACK,DXR,TEC,3,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK V146 BAF IGN V157 HAARP,valid_semantic_route,projected
ACK:DXR:TEC:4,ACK,DXR,TEC,4,10000,,,,,MVY SEY T634 CREAM EEGOR ALIXX RYMES,valid_semantic_route,projected
ACK:EEN:TEC:1,ACK,EEN,TEC,1,10000,,,,,ACK V146 PVD T393 KEYNN,valid_semantic_route,projected
ACK:ELM:TEC:1,ACK,ELM,TEC,1,10000,,,,,ACK V146 CTR T458 STUBN,valid_semantic_route,projected
ACK:ERI:L:2,ACK,ERI,L,2,080-100,RNAV/GNSS EQUIPPED ONLY,,,,ACK V146 CTR T458 STUBN JHW,valid_semantic_route,projected
ACK:ERI:TEC:1,ACK,ERI,TEC,1,,,,,,ACK V146 CTR T458 STUBN JHW,valid_semantic_route,projected
ACK:EWR:L:3,ACK,EWR,L,3,110-160,250KTS OR GREATER,,,,MVY V146 PUT NELIE FLOSI4,valid_semantic_route,projected
ACK:EWR:TEC:1,ACK,EWR,TEC,1,10000,SINGLE ENGINE ONLY,,,,ACK V146 PVD V167 HFD T315 SEALL V188 CMK V623 SAX,valid_semantic_route,projected
ACK:EWR:TEC:2,ACK,EWR,TEC,2,,PROPS LESS THAN 250 KTS IAS,,,,ACK V146 PVD V167 HFD V3 CMK V623 SAX,valid_semantic_route,projected
ACK:FOK:TEC:1,ACK,FOK,TEC,1,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK T216 SEY ORCHA,valid_semantic_route,projected
ACK:FOK:TEC:2,ACK,FOK,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC,valid_semantic_route,projected
ACK:FRG:H:3,ACK,FRG,H,3,AOB FL220,TURBOJETS ONLY,,,,MVY SEY PARCH4,valid_semantic_route,projected
ACK:FRG:TEC:1,ACK,FRG,TEC,1,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK T216 SEY ORCHA CCC V46 DPK,valid_semantic_route,projected
ACK:FRG:TEC:2,ACK,FRG,TEC,2,10000,,,,,ACK V146 MVY V374 GON CCC V46 DPK,valid_semantic_route,projected
ACK:GON:TEC:1,ACK,GON,TEC,1,10000,,,,,ACK,valid_semantic_route,projected
ACK:HFD:TEC:2,ACK,HFD,TEC,2,10000,,,,,ACK T216 HFD,valid_semantic_route,projected
ACK:HPN:H:3,ACK,HPN,H,3,120-FL220 INCL,"RNAV 1 - DME/DME/IRU OR GPS, 250KTS OR GREATER",,,,MVY V146 PUT NELIE VALRE1,valid_semantic_route,projected
