fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
AIRWAY_PATH:A337:C,AWY_OCC:A337:C:10,2026-05-14,AWY_SEG_ALT,56,resolved,high
AIRWAY_PATH:A337:C,AWY_OCC:A337:C:20,2026-05-14,AWY_SEG_ALT,57,resolved,high
AIRWAY_PATH:A337:C,AWY_OCC:A337:C:30,2026-05-14,AWY_SEG_ALT,58,resolved,high
AIRWAY_PATH:A337:C,AWY_OCC:A337:C:40,2026-05-14,AWY_SEG_ALT,59,resolved,high
AIRWAY_PATH:A337:C,AWY_OCC:A337:C:50,2026-05-14,AWY_SEG_ALT,60,resolved,high
AIRWAY_PATH:A337:C,AWY_OCC:A337:C:60,2026-05-14,AWY_SEG_ALT,61,resolved,high
AIRWAY_PATH:A339:C,AWY_OCC:A339:C:10,2026-05-14,AWY_SEG_ALT,62,resolved,high
AIRWAY_PATH:A339:C,AWY_OCC:A339:C:20,2026-05-14,AWY_SEG_ALT,63,resolved,high
AIRWAY_PATH:A339:C,AWY_OCC:A339:C:30,2026-05-14,AWY_SEG_ALT,64,resolved,high
AIRWAY_PATH:A339:C,AWY_OCC:A339:C:40,2026-05-14,AWY_SEG_ALT,65,resolved,high
AIRWAY_PATH:A342:A,AWY_OCC:A342:A:10,2026-05-14,AWY_SEG_ALT,66,resolved,high
AIRWAY_PATH:A342:A,AWY_OCC:A342:A:20,2026-05-14,AWY_SEG_ALT,67,resolved,high
AIRWAY_PATH:A342:A,AWY_OCC:A342:A:30,2026-05-14,AWY_SEG_ALT,68,resolved,high
AIRWAY_PATH:A342:A,AWY_OCC:A342:A:40,2026-05-14,AWY_SEG_ALT,69,resolved,high
AIRWAY_PATH:A342:A,AWY_OCC:A342:A:50,2026-05-14,AWY_SEG_ALT,70,resolved,high
AIRWAY_PATH:A342:A,AWY_OCC:A342:A:60,2026-05-14,AWY_SEG_ALT,71,resolved,high
AIRWAY_PATH:A342:A,AWY_OCC:A342:A:70,2026-05-14,AWY_SEG_ALT,72,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:10,2026-05-14,AWY_SEG_ALT,73,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:20,2026-05-14,AWY_SEG_ALT,74,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:30,2026-05-14,AWY_SEG_ALT,75,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:40,2026-05-14,AWY_SEG_ALT,76,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:50,2026-05-14,AWY_SEG_ALT,77,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:60,2026-05-14,AWY_SEG_ALT,78,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:70,2026-05-14,AWY_SEG_ALT,79,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:80,2026-05-14,AWY_SEG_ALT,80,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:90,2026-05-14,AWY_SEG_ALT,81,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:100,2026-05-14,AWY_SEG_ALT,82,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:110,2026-05-14,AWY_SEG_ALT,83,resolved,high
AIRWAY_PATH:A450:C,AWY_OCC:A450:C:120,2026-05-14,AWY_SEG_ALT,84,resolved,high
