nodeKey,FIX_ID,ICAO_REGION_CODE,STATE_CODE,COUNTRY_CODE,LAT_DECIMAL,LONG_DECIMAL,FIX_USE_CODE,ARTCC_ID_HIGH,ARTCC_ID_LOW,COMPULSORY,CHARTS
FIX:BURGG,BURGG,K7,SC,US,35.03348611,-81.92690555,WP,ZTL,ZTL,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SECTIONAL,SID"
FIX:BURGL,BURGL,K2,CA,US,35.66602222,-120.10773888,WP,ZLA,ZLA,,"CONTROLLER,ENROUTE HIGH,STAR"
FIX:BURGS,BURGS,K6,WV,US,39.69851666,-80.58638611,RP,ZOB,ZOB,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP"
FIX:BURME,BURME,K7,TN,US,35.99766388,-85.04909166,WP,ZTL,ZTL,,"CONTROLLER LOW,ENROUTE LOW,SID"
FIX:BURST,BURST,K6,NY,US,42.52233333,-77.84535833,WP,,ZOB,,"CONTROLLER LOW,ENROUTE LOW,SID"
FIX:BUSHY,BUSHY,K2,CA,US,37.39139444,-121.5589,RP,ZOA,ZOA,,"CONTROLLER LOW,ENROUTE LOW,STAR"
FIX:BUSKY,BUSKY,K6,PA,US,40.50226388,-75.50190555,RP,ZNY,ZNY,,ENROUTE LOW
FIX:BUSYY,BUSYY,K5,KY,US,38.08566944,-85.43518055,WP,ZID,ZID,,SID
FIX:BUZRD,BUZRD,K6,MA,US,41.54607777,-70.96408055,WP,ZBW,ZBW,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:BYEDN,BYEDN,K6,DE,US,39.67822222,-75.6069,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:BYJAC,BYJAC,K7,NC,US,35.95752222,-80.15078611,RP,ZTL,ZTL,,"CONTROLLER HIGH,ENROUTE HIGH"
FIX:BYRDD,BYRDD,K6,PA,US,40.09220277,-75.81869166,RP,,ZNY,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
FIX:BZNGA,BZNGA,K7,NC,US,36.41466666,-78.49696666,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
FIX:CAAGE,CAAGE,K4,TX,US,29.95687777,-95.34590277,WP,ZHU,ZHU,,"CONTROLLER HIGH,ENROUTE HIGH,SID,STAR"
FIX:CABLO,CABLO,K7,GA,US,30.77472222,-84.84,WP,ZJX,ZJX,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:CALLI,CALLI,K2,CA,US,34.65047222,-120.21740277,RP,ZLA,ZLA,,IAP
FIX:CAMJO,CAMJO,K7,FL,US,30.50888888,-82.68638888,WP,ZJX,ZJX,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
