procedureKey,procedureId,procedureType,sourceSegmentCount
PROCEDURE:STAR:SHFTY6,SHFTY6,STAR,67
PROCEDURE:STAR:SHREK2,SHREK2,STAR,1
PROCEDURE:STAR:SILCN6,SILCN6,STAR,5
PROCEDURE:STAR:SITTH3,SITTH3,STAR,14
PROCEDURE:STAR:SIZLR4,SIZLR4,STAR,1
PROCEDURE:STAR:SKILS5,SKILS5,STAR,2
PROCEDURE:STAR:SKNRD5,SKNRD5,STAR,18
PROCEDURE:STAR:SLATT6,SLATT6,STAR,2
PROCEDURE:STAR:SLMMR5,SLMMR5,STAR,3
PROCEDURE:STAR:SLOAO1,SLOAO1,STAR,6
PROCEDURE:STAR:SMUKE3,SMUKE3,STAR,4
PROCEDURE:STAR:SNDAY1,SNDAY1,STAR,3
PROCEDURE:STAR:SNDBR3,SNDBR3,STAR,2
PROCEDURE:STAR:SNFLD3,SNFLD3,STAR,39
PROCEDURE:STAR:SNKPT2,SNKPT2,STAR,14
PROCEDURE:STAR:SOCKK4,SOCKK4,STAR,5
PROCEDURE:STAR:SPIDR5,SPIDR5,STAR,4
PROCEDURE:STAR:SPISY2,SPISY2,STAR,2
PROCEDURE:STAR:SPUDS7,SPUDS7,STAR,3
PROCEDURE:STAR:STELA1,STELA1,STAR,7
PROCEDURE:STAR:STOCR5,STOCR5,STAR,9
PROCEDURE:STAR:STWRT3,STWRT3,STAR,6
PROCEDURE:STAR:SWFFT3,SWFFT3,STAR,12
PROCEDURE:STAR:SWVAY4,SWVAY4,STAR,5
PROCEDURE:STAR:TAQLE3,TAQLE3,STAR,14
PROCEDURE:STAR:TARPN3,TARPN3,STAR,23
PROCEDURE:STAR:TBARR4,TBARR4,STAR,1
PROCEDURE:STAR:TEEKY4,TEEKY4,STAR,28
PROCEDURE:STAR:TEJAS5,TEJAS5,STAR,3
PROCEDURE:STAR:TIGRR4,TIGRR4,STAR,14
PROCEDURE:STAR:TIMMO1,TIMMO1,STAR,2
PROCEDURE:STAR:TKNIQ3,TKNIQ3,STAR,5
PROCEDURE:STAR:TOPGN2,TOPGN2,STAR,1
PROCEDURE:STAR:TPGUN2,TPGUN2,STAR,9
PROCEDURE:STAR:TRAKS4,TRAKS4,STAR,5
PROCEDURE:STAR:TRESA1,TRESA1,STAR,15
PROCEDURE:STAR:TRISH4,TRISH4,STAR,15
PROCEDURE:STAR:TRSSH2,TRSSH2,STAR,12
PROCEDURE:STAR:TRTLL6,TRTLL6,STAR,29
PROCEDURE:STAR:TRUPS5,TRUPS5,STAR,7
PROCEDURE:STAR:TRUUK3,TRUUK3,STAR,2
PROCEDURE:STAR:TRYBE4,TRYBE4,STAR,23
PROCEDURE:STAR:TTHOR3,TTHOR3,STAR,31
PROCEDURE:STAR:TTORO3,TTORO3,STAR,6
PROCEDURE:STAR:TTYLR4,TTYLR4,STAR,1
PROCEDURE:STAR:TYNEE4,TYNEE4,STAR,16
PROCEDURE:STAR:UJM6,UJM6,STAR,3
PROCEDURE:STAR:UKW8,UKW8,STAR,1
PROCEDURE:STAR:VADDR1,VADDR1,STAR,18
PROCEDURE:STAR:VALRE1,VALRE1,STAR,17
PROCEDURE:STAR:VCTRZ2,VCTRZ2,STAR,3
PROCEDURE:STAR:VEECK5,VEECK5,STAR,22
PROCEDURE:STAR:VERKO-STAR,VERKO-STAR,STAR,6
PROCEDURE:STAR:VINTA3,VINTA3,STAR,3
PROCEDURE:STAR:VKTRY2,VKTRY2,STAR,2
PROCEDURE:STAR:VUUDU1,VUUDU1,STAR,43
PROCEDURE:STAR:WAPPL7,WAPPL7,STAR,27
PROCEDURE:STAR:WATSN4,WATSN4,STAR,14
PROCEDURE:STAR:WAYNZ1,WAYNZ1,STAR,1
PROCEDURE:STAR:WHINY4,WHINY4,STAR,25
PROCEDURE:STAR:WILBR1,WILBR1,STAR,2
PROCEDURE:STAR:WIPOR4,WIPOR4,STAR,5
PROCEDURE:STAR:WLDER1,WLDER1,STAR,1
PROCEDURE:STAR:WLEEE7,WLEEE7,STAR,14
PROCEDURE:STAR:WNDSR2,WNDSR2,STAR,2
PROCEDURE:STAR:WNGNT2,WNGNT2,STAR,6
PROCEDURE:STAR:WOONS2,WOONS2,STAR,15
PROCEDURE:STAR:WORXS2,WORXS2,STAR,3
PROCEDURE:STAR:WRGNZ3,WRGNZ3,STAR,5
PROCEDURE:STAR:WUTNG3,WUTNG3,STAR,2
PROCEDURE:STAR:WYNDE3,WYNDE3,STAR,16
PROCEDURE:STAR:YEAGR4,YEAGR4,STAR,10
PROCEDURE:STAR:ZEEKK3,ZEEKK3,STAR,12
PROCEDURE:STAR:ZELKA2,ZELKA2,STAR,5
PROCEDURE:STAR:ZIGGY8,ZIGGY8,STAR,3
PROCEDURE:STAR:ZONNA2,ZONNA2,STAR,3
PROCEDURE:STAR:ZZIPS1,ZZIPS1,STAR,8
