fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
AIRWAY:B892,AIRWAY_PATH:B892:C,2026-05-14,AWY_BASE,65,resolved,high
AIRWAY:B932,AIRWAY_PATH:B932:A,2026-05-14,AWY_BASE,66,resolved,high
AIRWAY:BR10L,AIRWAY_PATH:BR10L:C,2026-05-14,AWY_BASE,67,resolved,high
AIRWAY:BR1L,AIRWAY_PATH:BR1L:C,2026-05-14,AWY_BASE,68,resolved,high
AIRWAY:BR21V,AIRWAY_PATH:BR21V:C,2026-05-14,AWY_BASE,69,resolved,high
AIRWAY:BR22V,AIRWAY_PATH:BR22V:C,2026-05-14,AWY_BASE,70,resolved,high
AIRWAY:BR2L,AIRWAY_PATH:BR2L:C,2026-05-14,AWY_BASE,71,resolved,high
AIRWAY:BR49V,AIRWAY_PATH:BR49V:C,2026-05-14,AWY_BASE,72,resolved,high
AIRWAY:BR53V,AIRWAY_PATH:BR53V:C,2026-05-14,AWY_BASE,73,resolved,high
AIRWAY:BR54V,AIRWAY_PATH:BR54V:C,2026-05-14,AWY_BASE,74,resolved,high
AIRWAY:BR55V,AIRWAY_PATH:BR55V:C,2026-05-14,AWY_BASE,75,resolved,high
AIRWAY:BR57V,AIRWAY_PATH:BR57V:C,2026-05-14,AWY_BASE,76,resolved,high
AIRWAY:BR58V,AIRWAY_PATH:BR58V:C,2026-05-14,AWY_BASE,77,resolved,high
AIRWAY:BR63V,AIRWAY_PATH:BR63V:C,2026-05-14,AWY_BASE,78,resolved,high
AIRWAY:BR64V,AIRWAY_PATH:BR64V:C,2026-05-14,AWY_BASE,79,resolved,high
AIRWAY:BR65V,AIRWAY_PATH:BR65V:C,2026-05-14,AWY_BASE,80,resolved,high
AIRWAY:BR66V,AIRWAY_PATH:BR66V:C,2026-05-14,AWY_BASE,81,resolved,high
AIRWAY:BR68V,AIRWAY_PATH:BR68V:C,2026-05-14,AWY_BASE,82,resolved,high
AIRWAY:BR69V,AIRWAY_PATH:BR69V:C,2026-05-14,AWY_BASE,83,resolved,high
AIRWAY:BR70V,AIRWAY_PATH:BR70V:C,2026-05-14,AWY_BASE,84,resolved,high
AIRWAY:BR71V,AIRWAY_PATH:BR71V:C,2026-05-14,AWY_BASE,85,resolved,high
AIRWAY:BR9L,AIRWAY_PATH:BR9L:C,2026-05-14,AWY_BASE,86,resolved,high
AIRWAY:G1,AIRWAY_PATH:G1:A,2026-05-14,AWY_BASE,87,resolved,high
AIRWAY:G10,AIRWAY_PATH:G10:A,2026-05-14,AWY_BASE,88,resolved,high
AIRWAY:G12,AIRWAY_PATH:G12:A,2026-05-14,AWY_BASE,89,resolved,high
AIRWAY:G2,AIRWAY_PATH:G2:A,2026-05-14,AWY_BASE,90,resolved,high
AIRWAY:G205,AIRWAY_PATH:G205:C,2026-05-14,AWY_BASE,91,resolved,high
AIRWAY:G215,AIRWAY_PATH:G215:A,2026-05-14,AWY_BASE,92,resolved,high
AIRWAY:G223,AIRWAY_PATH:G223:C,2026-05-14,AWY_BASE,93,resolved,high
AIRWAY:G339,AIRWAY_PATH:G339:C,2026-05-14,AWY_BASE,94,resolved,high
AIRWAY:G347,AIRWAY_PATH:G347:C,2026-05-14,AWY_BASE,95,resolved,high
