routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,rejectReason
DOVEY:MSY:NAR:1,DOVEY,MSY,NAR,1,origin_airport_not_found
DOVEY:PHL:NAR:1,DOVEY,PHL,NAR,1,origin_airport_not_found
DOVEY:POB:NAR:1,DOVEY,POB,NAR,1,origin_airport_not_found
DOVEY:RDU:NAR:1,DOVEY,RDU,NAR,1,origin_airport_not_found
DOVEY:SAILE:NAR:1,DOVEY,SAILE,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
DOVEY:SDF:NAR:1,DOVEY,SDF,NAR,1,origin_airport_not_found
DOVEY:SWF:NAR:1,DOVEY,SWF,NAR,1,origin_airport_not_found
DOVEY:TEB:NAR:1,DOVEY,TEB,NAR,1,origin_airport_not_found
DOVEY:TPA:NAR:1,DOVEY,TPA,NAR,1,origin_airport_not_found
DOVEY:WRI:NAR:1,DOVEY,WRI,NAR,1,origin_airport_not_found
EBONY:ADW:NAR:1,EBONY,ADW,NAR,1,origin_airport_not_found
EBONY:ALLRY:NAR:1,EBONY,ALLRY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:ATL:NAR:1,EBONY,ATL,NAR,1,origin_airport_not_found
EBONY:AUS:NAR:1,EBONY,AUS,NAR,1,origin_airport_not_found
EBONY:BDL:NAR:1,EBONY,BDL,NAR,1,origin_airport_not_found
EBONY:BED:NAR:1,EBONY,BED,NAR,1,origin_airport_not_found
EBONY:BNA:NAR:1,EBONY,BNA,NAR,1,origin_airport_not_found
EBONY:BOS:NAR:1,EBONY,BOS,NAR,1,origin_airport_not_found
EBONY:BUDAR:NAR:1,EBONY,BUDAR,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:BWI:NAR:1,EBONY,BWI,NAR,1,origin_airport_not_found
EBONY:CHS:NAR:1,EBONY,CHS,NAR,1,origin_airport_not_found
EBONY:CLT:NAR:1,EBONY,CLT,NAR,1,origin_airport_not_found
EBONY:CVG:NAR:1,EBONY,CVG,NAR,1,origin_airport_not_found
EBONY:DFW:NAR:1,EBONY,DFW,NAR,1,origin_airport_not_found
EBONY:DOV:NAR:1,EBONY,DOV,NAR,1,origin_airport_not_found
EBONY:DTW:NAR:1,EBONY,DTW,NAR,1,origin_airport_not_found
EBONY:ELSIR:NAR:1,EBONY,ELSIR,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:ENNSO:NAR:1,EBONY,ENNSO,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:EWR:NAR:1,EBONY,EWR,NAR,1,origin_airport_not_found
EBONY:FAY:NAR:1,EBONY,FAY,NAR,1,origin_airport_not_found
EBONY:FLL:NAR:1,EBONY,FLL,NAR,1,origin_airport_not_found
EBONY:FOK:NAR:1,EBONY,FOK,NAR,1,origin_airport_not_found
