routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING
ACK:DOV:TEC:2,ACK,DOV,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 ENO
ACK:DXR:TEC:2,ACK,DXR,TEC,2,10000,PROPS LESS THAN 250 KTS IAS,,,,ACK V146 PVD HFD T303 MAD EEGOR ALIXX RYMES
ACK:DXR:TEC:3,ACK,DXR,TEC,3,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK V146 BAF IGN V157 HAARP
ACK:DXR:TEC:4,ACK,DXR,TEC,4,10000,,,,,MVY SEY T634 CREAM EEGOR ALIXX RYMES
ACK:EEN:TEC:1,ACK,EEN,TEC,1,10000,,,,,ACK V146 PVD T393 KEYNN
ACK:ELM:TEC:1,ACK,ELM,TEC,1,10000,,,,,ACK V146 CTR T458 STUBN
ACK:ERI:L:2,ACK,ERI,L,2,080-100,RNAV/GNSS EQUIPPED ONLY,,,,ACK V146 CTR T458 STUBN JHW
ACK:ERI:TEC:1,ACK,ERI,TEC,1,,,,,,ACK V146 CTR T458 STUBN JHW
ACK:EWR:L:3,ACK,EWR,L,3,110-160,250KTS OR GREATER,,,,MVY V146 PUT NELIE FLOSI4
ACK:EWR:TEC:1,ACK,EWR,TEC,1,10000,SINGLE ENGINE ONLY,,,,ACK V146 PVD V167 HFD T315 SEALL V188 CMK V623 SAX
ACK:EWR:TEC:2,ACK,EWR,TEC,2,,PROPS LESS THAN 250 KTS IAS,,,,ACK V146 PVD V167 HFD V3 CMK V623 SAX
ACK:FOK:TEC:1,ACK,FOK,TEC,1,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK T216 SEY ORCHA
ACK:FOK:TEC:2,ACK,FOK,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC
ACK:FRG:H:3,ACK,FRG,H,3,AOB FL220,TURBOJETS ONLY,,,,MVY SEY PARCH4
ACK:FRG:TEC:1,ACK,FRG,TEC,1,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK T216 SEY ORCHA CCC V46 DPK
ACK:FRG:TEC:2,ACK,FRG,TEC,2,10000,,,,,ACK V146 MVY V374 GON CCC V46 DPK
ACK:GON:TEC:1,ACK,GON,TEC,1,10000,,,,,ACK
ACK:HFD:TEC:2,ACK,HFD,TEC,2,10000,,,,,ACK T216 HFD
