edgeKey,fromNodeKey,toNodeKey,fromType,toType,directionType,sourceRouteCount,sourceRouteKeys
AIRPORT:MCO->FIX:JIPOD,AIRPORT:MCO,FIX:JIPOD,Airport,Fix,original,1,MCO:FLL:H:1
AIRPORT:MCO->FIX:LENDS,AIRPORT:MCO,FIX:LENDS,Airport,Fix,original,12,MCO:ALB:H:1|MCO:BDL:H:1|MCO:BOS:H:1|MCO:BWI:H:1|MCO:DCA:H:2|MCO:EWR:H:1|MCO:IAD:H:1|MCO:LGA:H:2|MCO:MHT:H:1|MCO:MMU:H:1|MCO:SWF:H:1|MCO:TEB:H:3
AIRPORT:MCO->FIX:PAINN,AIRPORT:MCO,FIX:PAINN,Airport,Fix,original,7,MCO:ATL:H:2|MCO:ATL:H:3|MCO:CMH:H:1|MCO:CVG:H:1|MCO:DTW:H:1|MCO:DTW:H:2|MCO:SDF:H:1
AIRPORT:MCO->FIX:REMIS,AIRPORT:MCO,FIX:REMIS,Airport,Fix,original,6,MCO:AUS:H:1|MCO:HOU:H:1|MCO:HOU:H:3|MCO:IAH:H:1|MCO:IAH:H:3|MCO:SAT:H:1
AIRPORT:MCO->FIX:VALKA,AIRPORT:MCO,FIX:VALKA,Airport,Fix,original,3,MCO:FLL:L:1|MCO:MIA:L:1|MCO:PBI:L:2
AIRPORT:MCO->FIX:VIYAP,AIRPORT:MCO,FIX:VIYAP,Airport,Fix,original,25,MCO:ACY:H:1|MCO:ALB:H:2|MCO:ALB:H:3|MCO:BDL:H:2|MCO:BDL:H:3|MCO:BED:H:2|MCO:BOS:H:2|MCO:BOS:H:3|MCO:BUF:H:1|MCO:BWI:H:2|MCO:CLE:H:1|MCO:CLT:H:2|MCO:CYYZ:H:2|MCO:DCA:H:1|MCO:EWR:H:2|MCO:FRG:H:2|MCO:IAD:H:2|MCO:JFK:H:2|MCO:LGA:H:1|MCO:PHL:H:2|MCO:PIT:H:1|MCO:RDU:H:1|MCO:RIC:H:1|MCO:SYR:H:1|MCO:TEB:H:2
AIRPORT:MCO->NAVAID:RSW:VORTAC,AIRPORT:MCO,NAVAID:RSW:VORTAC,Airport,Navaid,original,1,MCO:EYW:L:1
AIRPORT:MDT->NAVAID:HAR:VORTAC,AIRPORT:MDT,NAVAID:HAR:VORTAC,Airport,Navaid,original,1,MDT:ORD:H:1
AIRPORT:MDT->NAVAID:MRB:VORTAC,AIRPORT:MDT,NAVAID:MRB:VORTAC,Airport,Navaid,original,1,MDT:CVG:H:2
AIRPORT:MDW->FIX:ACITO,AIRPORT:MDW,FIX:ACITO,Airport,Fix,original,4,MDW:AUS:H:1|MDW:DFW:H:1|MDW:DFW:H:2|MDW:SAT:H:1
AIRPORT:MDW->FIX:BACEN,AIRPORT:MDW,FIX:BACEN,Airport,Fix,original,6,MDW:BNA:H:2|MDW:HOU:H:1|MDW:IAH:H:1|MDW:IAH:H:2|MDW:MEM:H:1|MDW:MSY:H:1
AIRPORT:MDW->FIX:CMSKY,AIRPORT:MDW,FIX:CMSKY,Airport,Fix,original,7,MDW:ATL:H:2|MDW:BHM:H:1|MDW:MEM:H:2|MDW:MIA:H:1|MDW:RSW:H:1|MDW:SRQ:H:1|MDW:TPA:H:1
AIRPORT:MDW->FIX:DENNT,AIRPORT:MDW,FIX:DENNT,Airport,Fix,original,9,MDW:BCT:H:3|MDW:CHA:H:1|MDW:EVV:H:1|MDW:FLL:H:1|MDW:HSV:H:1|MDW:JAX:H:1|MDW:MCO:H:1|MDW:ORL:H:1|MDW:PBI:H:1
AIRPORT:MDW->FIX:EARND,AIRPORT:MDW,FIX:EARND,Airport,Fix,original,13,MDW:CHS:H:3|MDW:CLT:H:1|MDW:CRW:H:1|MDW:CVG:H:1|MDW:GSO:H:1|MDW:GSP:H:1|MDW:IND:H:1|MDW:ORF:H:1|MDW:RDU:H:2|MDW:RIC:H:1|MDW:ROA:H:1|MDW:TRI:H:1|MDW:TYS:H:1
AIRPORT:MDW->FIX:LEWKE,AIRPORT:MDW,FIX:LEWKE,Airport,Fix,original,28,MDW:ABE:H:1|MDW:ALB:H:1|MDW:BDL:H:1|MDW:BOS:H:1|MDW:BUF:H:1|MDW:BWI:H:1|MDW:CLE:H:2|MDW:CMH:H:1|MDW:DAY:H:1|MDW:DCA:H:3|MDW:DCA:H:4|MDW:DTW:H:1|MDW:DTW:H:2|MDW:DTW:L:1|MDW:DTW:L:2|MDW:EWR:H:1|MDW:HPN:H:1|MDW:IAD:H:2|MDW:ISP:H:1|MDW:LGA:H:1|MDW:MHT:H:1|MDW:PHL:H:1|MDW:PIT:L:1|MDW:PVD:H:1|MDW:ROC:H:1|MDW:TEB:H:1|MDW:TOL:H:1|MDW:TTN:H:1
AIRPORT:MDW->FIX:PEKUE,AIRPORT:MDW,FIX:PEKUE,Airport,Fix,original,3,MDW:DEN:H:1|MDW:PHX:H:1|MDW:SFO:H:1
AIRPORT:MDW->FIX:PMPKN,AIRPORT:MDW,FIX:PMPKN,Airport,Fix,original,1,MDW:MSP:H:1
AIRPORT:MDW->FIX:RAYNR,AIRPORT:MDW,FIX:RAYNR,Airport,Fix,original,2,MDW:DTW:H:3|MDW:DTW:H:4
AIRPORT:MEM->FIX:ANSWA,AIRPORT:MEM,FIX:ANSWA,Airport,Fix,original,3,MEM:HOU:H:1|MEM:IAH:H:1|MEM:IAH:H:2
AIRPORT:MEM->FIX:AZONE,AIRPORT:MEM,FIX:AZONE,Airport,Fix,original,1,MEM:BOS:H:2
AIRPORT:MEM->FIX:BASBE,AIRPORT:MEM,FIX:BASBE,Airport,Fix,original,1,MEM:AUS:H:1
AIRPORT:MEM->FIX:BUMPY,AIRPORT:MEM,FIX:BUMPY,Airport,Fix,original,1,MEM:SDF:H:1
AIRPORT:MEM->FIX:DIYAB,AIRPORT:MEM,FIX:DIYAB,Airport,Fix,original,1,MEM:BWI:H:2
AIRPORT:MEM->FIX:GOETZ,AIRPORT:MEM,FIX:GOETZ,Airport,Fix,original,3,MEM:BDL:H:1|MEM:BOS:H:1|MEM:JFK:H:1
AIRPORT:MEM->FIX:HENSY,AIRPORT:MEM,FIX:HENSY,Airport,Fix,original,4,MEM:DCA:H:2|MEM:EWR:H:2|MEM:IAD:H:3|MEM:PHL:H:1
AIRPORT:MEM->FIX:HUMMS,AIRPORT:MEM,FIX:HUMMS,Airport,Fix,original,5,MEM:CLE:H:1|MEM:CVG:H:2|MEM:DTW:H:1|MEM:DTW:H:2|MEM:LGA:H:1
AIRPORT:MEM->FIX:IBUFY,AIRPORT:MEM,FIX:IBUFY,Airport,Fix,original,10,MEM:BCT:H:1|MEM:FLL:H:1|MEM:HOU:H:2|MEM:MCO:H:2|MEM:MIA:H:1|MEM:ORL:H:1|MEM:PBI:H:1|MEM:PIE:H:1|MEM:SFB:H:1|MEM:TPA:H:2
AIRPORT:MEM->NAVAID:FAM:VORTAC,AIRPORT:MEM,NAVAID:FAM:VORTAC,Airport,Navaid,original,1,MEM:MSP:H:1
AIRPORT:MEM->NAVAID:FTZ:VORTAC,AIRPORT:MEM,NAVAID:FTZ:VORTAC,Airport,Navaid,original,2,MEM:ORD:H:1|MEM:ORD:H:2
AIRPORT:MEM->NAVAID:PXV:VORTAC,AIRPORT:MEM,NAVAID:PXV:VORTAC,Airport,Navaid,original,2,MEM:IAD:H:2|MEM:PIT:H:1
AIRPORT:MEM->NAVAID:RZC:VORTAC,AIRPORT:MEM,NAVAID:RZC:VORTAC,Airport,Navaid,original,1,MEM:DEN:H:1
AIRPORT:MEM->NAVAID:SPI:VORTAC,AIRPORT:MEM,NAVAID:SPI:VORTAC,Airport,Navaid,original,1,MEM:MDW:L:1
AIRPORT:MFE->NAVAID:CRP:VORTAC,AIRPORT:MFE,NAVAID:CRP:VORTAC,Airport,Navaid,original,13,MFE:ADS:H:1|MFE:ADS:H:2|MFE:ADS:H:3|MFE:AFW:H:1|MFE:AFW:H:2|MFE:DAL:H:1|MFE:DAL:H:2|MFE:DAL:H:3|MFE:DAL:H:4|MFE:DFW:H:1|MFE:DFW:H:2|MFE:DFW:H:3|MFE:DFW:H:4
AIRPORT:MHK->FIX:AGENT,AIRPORT:MHK,FIX:AGENT,Airport,Fix,original,2,MHK:ORD:H:1|MHK:ORD:H:2
AIRPORT:MHR->FIX:ORRCA,AIRPORT:MHR,FIX:ORRCA,Airport,Fix,original,1,MHR:SFO:TEC:3
AIRPORT:MHR->FIX:THORN,AIRPORT:MHR,FIX:THORN,Airport,Fix,original,5,MHR:HWD:TEC:4|MHR:OAK:TEC:2|MHR:OAK:TEC:4|MHR:SFO:TEC:4|MHR:SFO:TEC:5
AIRPORT:MHR->NAVAID:LIN:VOR/DME,AIRPORT:MHR,NAVAID:LIN:VOR/DME,Airport,Navaid,original,1,MHR:LVK:TEC:1
AIRPORT:MHR->NAVAID:MOD:VOR/DME,AIRPORT:MHR,NAVAID:MOD:VOR/DME,Airport,Navaid,original,4,MHR:CVH:TEC:1|MHR:LSN:TEC:1|MHR:NUQ:TEC:3|MHR:NUQ:TEC:4
AIRPORT:MHR->NAVAID:SAC:VORTAC,AIRPORT:MHR,NAVAID:SAC:VORTAC,Airport,Navaid,original,6,MHR:HAF:TEC:1|MHR:HWD:TEC:1|MHR:OAK:TEC:1|MHR:OAK:TEC:3|MHR:SAC:TEC:1|MHR:SFO:TEC:2
AIRPORT:MHT->FIX:CLOWW,AIRPORT:MHT,FIX:CLOWW,Airport,Fix,original,11,MHT:BDL:TEC:2|MHT:BDR:TEC:2|MHT:DXR:TEC:2|MHT:EWR:TEC:3|MHT:EWR:TEC:4|MHT:HFD:TEC:2|MHT:HPN:TEC:3|MHT:HVN:TEC:2|MHT:LGA:TEC:1|MHT:ORH:TEC:1|MHT:OXC:TEC:2
AIRPORT:MHT->FIX:HANAA,AIRPORT:MHT,FIX:HANAA,Airport,Fix,original,1,MHT:DEN:H:1
AIRPORT:MHT->FIX:KEYNN,AIRPORT:MHT,FIX:KEYNN,Airport,Fix,original,2,MHT:ELM:TEC:1|MHT:PSF:TEC:1
AIRPORT:MHT->FIX:NELIE,AIRPORT:MHT,FIX:NELIE,Airport,Fix,original,4,MHT:APF:H:1|MHT:CLT:H:1|MHT:RSW:H:1|MHT:TPA:H:2
AIRPORT:MHT->FIX:TOMIE,AIRPORT:MHT,FIX:TOMIE,Airport,Fix,original,1,MHT:BOS:TEC:1
AIRPORT:MHT->NAVAID:BAF:VORTAC,AIRPORT:MHT,NAVAID:BAF:VORTAC,Airport,Navaid,original,5,MHT:AFW:H:1|MHT:ATL:H:3|MHT:IAD:H:2|MHT:MEM:H:1|MHT:SDF:H:1
AIRPORT:MHT->NAVAID:BOS:VOR/DME,AIRPORT:MHT,NAVAID:BOS:VOR/DME,Airport,Navaid,original,4,MHT:ACK:TEC:1|MHT:HYA:TEC:1|MHT:MVY:TEC:1|MHT:PVC:TEC:1
AIRPORT:MHT->NAVAID:CAM:VOR/DME,AIRPORT:MHT,NAVAID:CAM:VOR/DME,Airport,Navaid,original,10,MHT:CVG:H:1|MHT:DET:H:1|MHT:DTW:H:1|MHT:DTW:H:2|MHT:IAD:H:3|MHT:MDW:H:1|MHT:ORD:H:2|MHT:RFD:H:1|MHT:SYR:TEC:1|MHT:YIP:H:1
AIRPORT:MHT->NAVAID:CCC:VOR/DME,AIRPORT:MHT,NAVAID:CCC:VOR/DME,Airport,Navaid,original,15,MHT:BWI:H:5|MHT:CHS:H:1|MHT:DCA:H:2|MHT:FLL:H:1|MHT:FLL:H:2|MHT:FLL:H:3|MHT:MCO:H:2|MHT:MCO:H:3|MHT:MCO:H:4|MHT:MCO:H:5|MHT:MCO:H:6|MHT:MYR:H:1|MHT:PHL:H:3|MHT:RDU:H:1|MHT:RSW:H:2
AIRPORT:MHT->NAVAID:GDM:VOR/DME,AIRPORT:MHT,NAVAID:GDM:VOR/DME,Airport,Navaid,original,34,MHT:ABE:TEC:1|MHT:ACY:TEC:1|MHT:ACY:TEC:2|MHT:AVP:TEC:1|MHT:BLM:TEC:1|MHT:BLM:TEC:2|MHT:BWI:TEC:1|MHT:BWI:TEC:2|MHT:BWI:TEC:3|MHT:DOV:TEC:1|MHT:DOV:TEC:2|MHT:FOK:TEC:1|MHT:FRG:TEC:1|MHT:GON:TEC:1|MHT:HPN:TEC:2|MHT:ISP:TEC:1|MHT:JFK:TEC:1|MHT:LNS:TEC:1|MHT:MDT:TEC:1|MHT:ORF:TEC:1|MHT:ORF:TEC:2|MHT:PHL:TEC:1|MHT:PHL:TEC:2|MHT:PIT:TEC:1|MHT:PNE:TEC:1|MHT:PNE:TEC:2|MHT:PVD:TEC:1|MHT:RIC:TEC:1|MHT:RIC:TEC:2|MHT:SWF:TEC:1|MHT:TTN:TEC:1|MHT:TTN:TEC:2|MHT:WWD:TEC:1|MHT:WWD:TEC:2
AIRPORT:MHV->NAVAID:PMD:VORTAC,AIRPORT:MHV,NAVAID:PMD:VORTAC,Airport,Navaid,original,17,MHV:BUR:TEC:1|MHV:CMA:TEC:1|MHV:FUL:TEC:1|MHV:FUL:TEC:2|MHV:HHR:TEC:1|MHV:LGB:TEC:1|MHV:LGB:TEC:2|MHV:NTD:TEC:1|MHV:OXR:TEC:1|MHV:SLI:TEC:1|MHV:SLI:TEC:2|MHV:SMO:TEC:1|MHV:SNA:TEC:1|MHV:SNA:TEC:2|MHV:TOA:TEC:1|MHV:TOA:TEC:2|MHV:VNY:TEC:1
AIRPORT:MIA->FIX:ALYRA,AIRPORT:MIA,FIX:ALYRA,Airport,Fix,original,39,MIA:ACK:H:1|MIA:ALB:H:1|MIA:BAF:H:1|MIA:BDL:H:1|MIA:BDR:H:1|MIA:BED:H:1|MIA:BOS:H:3|MIA:BOS:H:4|MIA:BVY:H:1|MIA:BWI:H:4|MIA:CEF:H:1|MIA:CYYZ:H:1|MIA:DCA:H:4|MIA:DXR:H:1|MIA:EWR:H:4|MIA:EWR:H:5|MIA:FOK:H:1|MIA:FRG:H:1|MIA:GON:H:1|MIA:HFD:H:1|MIA:HPN:H:1|MIA:HVN:H:1|MIA:IAD:H:5|MIA:ISP:H:1|MIA:JFK:H:1|MIA:JFK:H:3|MIA:JPX:H:1|MIA:LGA:H:1|MIA:LWM:H:1|MIA:MHT:H:1|MIA:MMU:H:2|MIA:ORH:H:1|MIA:PHL:H:2|MIA:POU:H:1|MIA:PVD:H:1|MIA:RDU:H:3|MIA:SWF:H:1|MIA:TEB:H:2|MIA:TEB:H:3
AIRPORT:MIA->FIX:BAGGS,AIRPORT:MIA,FIX:BAGGS,Airport,Fix,original,8,MIA:DFW:H:4|MIA:DFW:H:5|MIA:HOU:H:2|MIA:HOU:H:4|MIA:IAH:H:2|MIA:IAH:H:5|MIA:MSY:H:2|MIA:SAT:H:1
AIRPORT:MIA->FIX:BNGOS,AIRPORT:MIA,FIX:BNGOS,Airport,Fix,original,6,MIA:CTY:L:1|MIA:GNV:L:1|MIA:LAL:L:1|MIA:OCF:L:1|MIA:TLH:L:1|MIA:TPA:L:1
AIRPORT:MIA->FIX:COREA,AIRPORT:MIA,FIX:COREA,Airport,Fix,original,5,MIA:CTY:L:2|MIA:OCF:L:2|MIA:TLH:L:2|MIA:TPA:H:2|MIA:TPA:L:3
AIRPORT:MIA->FIX:DOLIE,AIRPORT:MIA,FIX:DOLIE,Airport,Fix,original,2,MIA:AUS:H:1|MIA:SRQ:L:1
AIRPORT:MIA->FIX:DUCEN,AIRPORT:MIA,FIX:DUCEN,Airport,Fix,original,21,MIA:BDL:H:2|MIA:BOS:H:2|MIA:BWI:H:3|MIA:CLE:H:1|MIA:CLT:H:1|MIA:CMH:H:1|MIA:CVG:H:3|MIA:DCA:H:3|MIA:DTW:H:1|MIA:DTW:H:2|MIA:EWR:H:1|MIA:FRG:H:2|MIA:HPN:H:2|MIA:IAD:H:2|MIA:JFK:H:2|MIA:LGA:H:2|MIA:MMU:H:1|MIA:PHL:H:1|MIA:PIT:H:1|MIA:RDU:H:4|MIA:TEB:H:1
AIRPORT:MIA->FIX:FLMGO,AIRPORT:MIA,FIX:FLMGO,Airport,Fix,original,4,MIA:DAB:H:1|MIA:FPR:L:2|MIA:MLB:L:2|MIA:VRB:L:2
AIRPORT:MIA->FIX:HURCN,AIRPORT:MIA,FIX:HURCN,Airport,Fix,original,1,MIA:GNV:L:5
AIRPORT:MIA->FIX:KPASA,AIRPORT:MIA,FIX:KPASA,Airport,Fix,original,7,MIA:BNA:H:1|MIA:GNV:H:4|MIA:IND:H:1|MIA:MDW:H:1|MIA:MSP:H:1|MIA:ORD:H:1|MIA:SDF:H:1
AIRPORT:MIA->FIX:MATLK,AIRPORT:MIA,FIX:MATLK,Airport,Fix,original,1,MIA:MCO:L:2
AIRPORT:MIA->FIX:SHANC,AIRPORT:MIA,FIX:SHANC,Airport,Fix,original,7,MIA:DAB:L:1|MIA:FPR:L:1|MIA:JAX:L:1|MIA:MCO:L:1|MIA:MLB:L:1|MIA:SFB:L:1|MIA:VRB:L:1
AIRPORT:MIA->FIX:SMELZ,AIRPORT:MIA,FIX:SMELZ,Airport,Fix,original,13,MIA:BHM:H:1|MIA:CTY:L:3|MIA:DEN:H:1|MIA:DFW:H:1|MIA:DFW:H:2|MIA:HOU:H:1|MIA:HOU:H:5|MIA:IAH:H:1|MIA:IAH:H:4|MIA:MSY:H:1|MIA:STL:H:2|MIA:TLH:H:1|MIA:TLH:L:3
AIRPORT:MIA->FIX:STYMY,AIRPORT:MIA,FIX:STYMY,Airport,Fix,original,3,MIA:ATL:H:2|MIA:ATL:H:3|MIA:JAX:H:2
AIRPORT:MIA->FIX:WAPOM,AIRPORT:MIA,FIX:WAPOM,Airport,Fix,original,4,MIA:DAB:L:2|MIA:JAX:L:2|MIA:MCO:H:1|MIA:MCO:L:3
AIRPORT:MKE->FIX:ACCRA,AIRPORT:MKE,FIX:ACCRA,Airport,Fix,original,1,MKE:BNA:H:1
AIRPORT:MKE->FIX:BULET,AIRPORT:MKE,FIX:BULET,Airport,Fix,original,1,MKE:MCI:H:1
AIRPORT:MKE->FIX:DELHI,AIRPORT:MKE,FIX:DELHI,Airport,Fix,original,7,MKE:BCT:H:1|MKE:FLL:H:2|MKE:FMY:H:1|MKE:MIA:H:2|MKE:PBI:H:1|MKE:SRQ:H:1|MKE:TPA:H:2
AIRPORT:MKE->FIX:GREAS,AIRPORT:MKE,FIX:GREAS,Airport,Fix,original,1,MKE:DEN:H:1
AIRPORT:MKE->FIX:LITTR,AIRPORT:MKE,FIX:LITTR,Airport,Fix,original,3,MKE:HOU:H:1|MKE:IAH:H:1|MKE:IAH:H:3
AIRPORT:MKE->FIX:SAMPL,AIRPORT:MKE,FIX:SAMPL,Airport,Fix,original,1,MKE:PIT:H:1
AIRPORT:MKE->FIX:SQUIB,AIRPORT:MKE,FIX:SQUIB,Airport,Fix,original,28,MKE:ALB:H:1|MKE:BDL:H:1|MKE:BED:H:1|MKE:BOS:H:1|MKE:BTV:H:1|MKE:BUF:H:1|MKE:CAK:H:1|MKE:CLE:H:1|MKE:CYYZ:H:1|MKE:DET:L:1|MKE:DTW:H:2|MKE:DTW:H:3|MKE:DTW:L:1|MKE:DTW:L:2|MKE:EWR:H:1|MKE:FNT:H:1|MKE:HPN:H:1|MKE:HYA:H:1|MKE:IAG:H:1|MKE:JFK:H:1|MKE:JXN:H:1|MKE:LAN:H:1|MKE:LGA:H:1|MKE:MMU:H:1|MKE:PVD:H:1|MKE:PWM:H:1|MKE:SYR:H:1|MKE:TEB:H:1
AIRPORT:MKE->NAVAID:IRK:VORTAC,AIRPORT:MKE,NAVAID:IRK:VORTAC,Airport,Navaid,original,1,MKE:MKC:H:1
AIRPORT:MKE->NAVAID:OBK:VOR/DME,AIRPORT:MKE,NAVAID:OBK:VOR/DME,Airport,Navaid,original,11,MKE:ADW:H:3|MKE:BWI:H:1|MKE:DCA:H:1|MKE:DCA:H:3|MKE:IAD:H:2|MKE:MCO:H:2|MKE:MDT:H:1|MKE:MFD:H:1|MKE:ORL:H:2|MKE:PHL:H:1|MKE:YNG:H:1
AIRPORT:MLB->FIX:COPIN,AIRPORT:MLB,FIX:COPIN,Airport,Fix,original,1,MLB:FLL:L:1
AIRPORT:MLB->FIX:CPTAN,AIRPORT:MLB,FIX:CPTAN,Airport,Fix,original,1,MLB:PBI:L:1
AIRPORT:MLB->FIX:GREAD,AIRPORT:MLB,FIX:GREAD,Airport,Fix,original,2,MLB:MIA:H:1|MLB:MIA:L:2
AIRPORT:MLF->NAVAID:MLF:VORTAC,AIRPORT:MLF,NAVAID:MLF:VORTAC,Airport,Navaid,original,1,MLF:SLC:SHD:1
AIRPORT:MLI->FIX:DUFEE,AIRPORT:MLI,FIX:DUFEE,Airport,Fix,original,1,MLI:CLE:H:1
AIRPORT:MLI->FIX:MIHAL,AIRPORT:MLI,FIX:MIHAL,Airport,Fix,original,2,MLI:DTW:H:1|MLI:DTW:H:2
AIRPORT:MLI->FIX:SWAYD,AIRPORT:MLI,FIX:SWAYD,Airport,Fix,original,2,MLI:DTW:L:1|MLI:DTW:L:2
AIRPORT:MMU->FIX:BAYYS,AIRPORT:MMU,FIX:BAYYS,Airport,Fix,original,1,MMU:PVC:L:1
AIRPORT:MMU->FIX:BREZY,AIRPORT:MMU,FIX:BREZY,Airport,Fix,original,34,MMU:ACK:L:1|MMU:ALB:L:1|MMU:ASH:L:1|MMU:AUG:L:1|MMU:BED:L:1|MMU:BGR:L:1|MMU:BHB:L:1|MMU:BOS:L:1|MMU:BOS:L:2|MMU:BTV:L:1|MMU:BVY:L:1|MMU:EEN:L:1|MMU:EWB:L:1|MMU:GFL:L:1|MMU:HYA:L:1|MMU:LCI:L:1|MMU:LEB:L:1|MMU:LEW:L:1|MMU:LKP:L:1|MMU:LWM:L:1|MMU:MHT:L:1|MMU:MPV:L:1|MMU:MVY:L:1|MMU:OWD:L:1|MMU:PSF:L:1|MMU:PSM:H:3|MMU:PSM:L:1|MMU:PSM:TEC:2|MMU:PVD:L:1|MMU:PWM:L:1|MMU:RKD:L:1|MMU:RUT:L:1|MMU:SLK:L:1|MMU:WVL:L:1
AIRPORT:MOB->FIX:CATLN,AIRPORT:MOB,FIX:CATLN,Airport,Fix,original,2,MOB:ATL:H:1|MOB:ATL:H:2
AIRPORT:MOB->NAVAID:SJI:VORTAC,AIRPORT:MOB,NAVAID:SJI:VORTAC,Airport,Navaid,original,6,MOB:HOU:H:1|MOB:HOU:H:2|MOB:HOU:H:3|MOB:IAH:H:1|MOB:IAH:H:2|MOB:IAH:H:3
AIRPORT:MOD->FIX:ALWYS,AIRPORT:MOD,FIX:ALWYS,Airport,Fix,original,2,MOD:SFO:TEC:1|MOD:SFO:TEC:3
AIRPORT:MOD->FIX:BORED,AIRPORT:MOD,FIX:BORED,Airport,Fix,original,4,MOD:NUQ:TEC:2|MOD:NUQ:TEC:3|MOD:SJC:TEC:1|MOD:SJC:TEC:2
AIRPORT:MOD->FIX:BUSHY,AIRPORT:MOD,FIX:BUSHY,Airport,Fix,original,2,MOD:NUQ:TEC:1|MOD:SJC:TEC:3
AIRPORT:MOD->FIX:CEDES,AIRPORT:MOD,FIX:CEDES,Airport,Fix,original,1,MOD:SFO:TEC:4
AIRPORT:MOD->FIX:DOCAL,AIRPORT:MOD,FIX:DOCAL,Airport,Fix,original,1,MOD:SQL:TEC:1
AIRPORT:MOD->FIX:REJOY,AIRPORT:MOD,FIX:REJOY,Airport,Fix,original,1,MOD:SFO:TEC:2
AIRPORT:MOD->FIX:SHARR,AIRPORT:MOD,FIX:SHARR,Airport,Fix,original,1,MOD:HWD:TEC:1
AIRPORT:MOD->FIX:SUNOL,AIRPORT:MOD,FIX:SUNOL,Airport,Fix,original,1,MOD:HAF:TEC:1
AIRPORT:MOD->FIX:TOOOL,AIRPORT:MOD,FIX:TOOOL,Airport,Fix,original,2,MOD:OAK:TEC:2|MOD:OAK:TEC:3
AIRPORT:MOD->FIX:UHHUT,AIRPORT:MOD,FIX:UHHUT,Airport,Fix,original,1,MOD:LVK:TEC:1
AIRPORT:MOD->NAVAID:LIN:VOR/DME,AIRPORT:MOD,NAVAID:LIN:VOR/DME,Airport,Navaid,original,2,MOD:AUN:TEC:1|MOD:CCR:TEC:1
AIRPORT:MOD->NAVAID:MOD:VOR/DME,AIRPORT:MOD,NAVAID:MOD:VOR/DME,Airport,Navaid,original,1,MOD:CVH:TEC:1
AIRPORT:MOD->NAVAID:SAC:VORTAC,AIRPORT:MOD,NAVAID:SAC:VORTAC,Airport,Navaid,original,1,MOD:SAC:TEC:1
AIRPORT:MRY->FIX:DOCAL,AIRPORT:MRY,FIX:DOCAL,Airport,Fix,original,1,MRY:SQL:TEC:1
AIRPORT:MRY->FIX:INSLO,AIRPORT:MRY,FIX:INSLO,Airport,Fix,original,1,MRY:DEN:H:1
AIRPORT:MRY->FIX:SANTY,AIRPORT:MRY,FIX:SANTY,Airport,Fix,original,2,MRY:SFO:TEC:1|MRY:SFO:TEC:3
AIRPORT:MRY->FIX:SHOEY,AIRPORT:MRY,FIX:SHOEY,Airport,Fix,original,2,MRY:OAK:TEC:1|MRY:SFO:TEC:2
AIRPORT:MRY->NAVAID:SJC:VOR/DME,AIRPORT:MRY,NAVAID:SJC:VOR/DME,Airport,Navaid,original,5,MRY:AUN:TEC:5|MRY:AUN:TEC:7|MRY:SAC:TEC:1|MRY:SAC:TEC:3|MRY:SJC:TEC:1
AIRPORT:MRY->NAVAID:SNS:VORTAC,AIRPORT:MRY,NAVAID:SNS:VORTAC,Airport,Navaid,original,9,MRY:AUN:TEC:1|MRY:HWD:TEC:2|MRY:HWD:TEC:3|MRY:HWD:TEC:4|MRY:HWD:TEC:5|MRY:LSN:TEC:1|MRY:LSN:TEC:2|MRY:LVK:TEC:1|MRY:SAC:TEC:2
AIRPORT:MSN->FIX:SQUIB,AIRPORT:MSN,FIX:SQUIB,Airport,Fix,original,1,MSN:CLE:H:1
AIRPORT:MSN->NAVAID:BAE:VOR/DME,AIRPORT:MSN,NAVAID:BAE:VOR/DME,Airport,Navaid,original,1,MSN:DCA:H:1
AIRPORT:MSN->NAVAID:LNR:DME,AIRPORT:MSN,NAVAID:LNR:DME,Airport,Navaid,original,1,MSN:DEN:H:1
AIRPORT:MSP->FIX:LEINY,AIRPORT:MSP,FIX:LEINY,Airport,Fix,original,2,MSP:SFO:H:1|MSP:SLC:H:1
AIRPORT:MSP->FIX:ONTIJ,AIRPORT:MSP,FIX:ONTIJ,Airport,Fix,original,2,MSP:DFW:H:1|MSP:DFW:H:2
AIRPORT:MSP->FIX:RXANN,AIRPORT:MSP,FIX:RXANN,Airport,Fix,original,3,MSP:DEN:H:1|MSP:PHX:H:1|MSP:SFO:H:2
AIRPORT:MSP->NAVAID:ALO:VOR/DME,AIRPORT:MSP,NAVAID:ALO:VOR/DME,Airport,Navaid,original,9,MSP:BCT:H:1|MSP:FLL:H:2|MSP:MEM:H:1|MSP:MEM:H:2|MSP:MEM:H:3|MSP:MEM:H:4|MSP:MIA:H:2|MSP:PBI:H:1|MSP:STL:H:1
AIRPORT:MSP->NAVAID:DLL:VORTAC,AIRPORT:MSP,NAVAID:DLL:VORTAC,Airport,Navaid,original,14,MSP:BWI:H:1|MSP:CLE:H:1|MSP:DCA:H:1|MSP:DCA:H:2|MSP:DET:H:1|MSP:DTW:H:1|MSP:DTW:H:2|MSP:IAD:H:2|MSP:JFK:H:1|MSP:LGA:H:1|MSP:MKE:H:1|MSP:MSN:H:1|MSP:PHL:H:1|MSP:TEB:SHD:1
AIRPORT:MSP->NAVAID:GRB:VORTAC,AIRPORT:MSP,NAVAID:GRB:VORTAC,Airport,Navaid,original,2,MSP:BED:H:1|MSP:BOS:H:1
