edgeKey,fromNodeKey,toNodeKey,fromType,toType,directionType,sourceRouteCount,sourceRouteKeys
AIRPORT:ACY->FIX:WNSTN,AIRPORT:ACY,FIX:WNSTN,Airport,Fix,original,1,ACY:WRI:TEC:5
AIRPORT:ACY->NAVAID:ACY:VORTAC,AIRPORT:ACY,NAVAID:ACY:VORTAC,Airport,Navaid,original,13,ACY:ABE:TEC:1|ACY:BDR:TEC:2|ACY:EWR:TEC:3|ACY:HPN:TEC:2|ACY:JFK:TEC:2|ACY:LGA:TEC:2|ACY:LGA:TEC:3|ACY:LNS:TEC:1|ACY:PHL:TEC:1|ACY:PNE:TEC:1|ACY:RDG:TEC:1|ACY:TEB:TEC:1|ACY:WRI:TEC:3
AIRPORT:ACY->NAVAID:SIE:VORTAC,AIRPORT:ACY,NAVAID:SIE:VORTAC,Airport,Navaid,original,1,ACY:WRI:TEC:4
AIRPORT:AJO->NAVAID:PDZ:VORTAC,AIRPORT:AJO,NAVAID:PDZ:VORTAC,Airport,Navaid,original,36,AJO:AVX:TEC:1|AJO:BUR:TEC:1|AJO:BUR:TEC:2|AJO:CMA:TEC:1|AJO:CMA:TEC:2|AJO:CRQ:TEC:1|AJO:FUL:TEC:1|AJO:HHR:TEC:1|AJO:LAX:TEC:1|AJO:LAX:TEC:2|AJO:LAX:TEC:3|AJO:LGB:TEC:1|AJO:MYF:TEC:1|AJO:NFG:TEC:1|AJO:NKX:TEC:1|AJO:NRS:TEC:1|AJO:NTD:TEC:1|AJO:NTD:TEC:2|AJO:NZY:TEC:1|AJO:OKB:TEC:1|AJO:OXR:TEC:1|AJO:OXR:TEC:2|AJO:RNM:TEC:1|AJO:SAN:TEC:1|AJO:SBA:TEC:1|AJO:SBA:TEC:2|AJO:SDM:TEC:1|AJO:SEE:TEC:1|AJO:SLI:TEC:1|AJO:SMO:TEC:1|AJO:SNA:TEC:1|AJO:TOA:TEC:1|AJO:VNY:TEC:1|AJO:VNY:TEC:2|AJO:WHP:TEC:1|AJO:WHP:TEC:2
AIRPORT:ALB->FIX:ACOVE,AIRPORT:ALB,FIX:ACOVE,Airport,Fix,original,2,ALB:ATL:H:1|ALB:IAD:H:1
AIRPORT:ALB->FIX:ARNII,AIRPORT:ALB,FIX:ARNII,Airport,Fix,original,2,ALB:DEN:H:1|ALB:MSP:H:1
AIRPORT:ALB->FIX:CEDOR,AIRPORT:ALB,FIX:CEDOR,Airport,Fix,original,8,ALB:IAD:H:2|ALB:PHL:L:1|ALB:PHL:L:2|ALB:PHL:L:3|ALB:PNE:L:1|ALB:PNE:L:2|ALB:TTN:L:1|ALB:TTN:L:2
AIRPORT:ALB->FIX:KEYNN,AIRPORT:ALB,FIX:KEYNN,Airport,Fix,original,1,ALB:MHT:TEC:1
AIRPORT:ALB->FIX:PAYGE,AIRPORT:ALB,FIX:PAYGE,Airport,Fix,original,6,ALB:CVG:H:1|ALB:DTW:H:1|ALB:DTW:H:2|ALB:LAS:H:1|ALB:MDW:H:1|ALB:ORD:H:2
AIRPORT:ALB->FIX:PONCT,AIRPORT:ALB,FIX:PONCT,Airport,Fix,original,1,ALB:BOS:L:2
AIRPORT:ALB->NAVAID:ALB:VORTAC,AIRPORT:ALB,NAVAID:ALB:VORTAC,Airport,Navaid,original,21,ALB:BDL:TEC:2|ALB:BDR:TEC:1|ALB:BNA:H:1|ALB:BUF:TEC:1|ALB:DFW:H:1|ALB:DFW:H:2|ALB:DXR:TEC:1|ALB:DXR:TEC:2|ALB:EWR:L:1|ALB:EWR:L:2|ALB:GON:TEC:1|ALB:JFK:L:1|ALB:LGA:L:1|ALB:LGA:L:2|ALB:MEM:H:1|ALB:MVY:TEC:1|ALB:ORH:TEC:1|ALB:RME:TEC:1|ALB:ROC:TEC:1|ALB:SDF:H:1|ALB:SWF:TEC:1
AIRPORT:ALB->NAVAID:CAM:VOR/DME,AIRPORT:ALB,NAVAID:CAM:VOR/DME,Airport,Navaid,original,1,ALB:PWM:TEC:1
AIRPORT:ALB->NAVAID:CON:VOR/DME,AIRPORT:ALB,NAVAID:CON:VOR/DME,Airport,Navaid,original,1,ALB:PSM:TEC:1
AIRPORT:ALB->NAVAID:CTR:VOR/DME,AIRPORT:ALB,NAVAID:CTR:VOR/DME,Airport,Navaid,original,4,ALB:ACK:TEC:1|ALB:HYA:TEC:1|ALB:PVC:TEC:1|ALB:PVD:TEC:1
AIRPORT:ALB->NAVAID:GDM:VOR/DME,AIRPORT:ALB,NAVAID:GDM:VOR/DME,Airport,Navaid,original,3,ALB:BED:TEC:1|ALB:BOS:TEC:1|ALB:OWD:TEC:1
AIRPORT:ALB->NAVAID:PWL:VOR/DME,AIRPORT:ALB,NAVAID:PWL:VOR/DME,Airport,Navaid,original,16,ALB:BWI:H:1|ALB:CLT:H:1|ALB:DCA:H:1|ALB:FLL:H:1|ALB:MCO:H:1|ALB:MCO:H:2|ALB:MIA:H:1|ALB:MYR:H:1|ALB:PBI:H:1|ALB:PGD:H:1|ALB:PIE:H:1|ALB:RDU:H:1|ALB:RSW:H:1|ALB:SAV:H:1|ALB:SFB:H:1|ALB:TPA:H:1
AIRPORT:ALN->FIX:LEBOY,AIRPORT:ALN,FIX:LEBOY,Airport,Fix,original,2,ALN:ORD:H:1|ALN:ORD:H:3
AIRPORT:ALN->NAVAID:SPI:VORTAC,AIRPORT:ALN,NAVAID:SPI:VORTAC,Airport,Navaid,original,1,ALN:MDW:H:1
AIRPORT:AMA->FIX:SLIDE,AIRPORT:AMA,FIX:SLIDE,Airport,Fix,original,1,AMA:AUS:H:1
