sourceName,sourcePath,sha256,sizeBytes
AWY_BASE,14_May_2026_CSV\AWY_BASE.csv,AAB1453BBC4C74DFA2E7190962275BA6DBA1710ABDF01F45F671B1257FE55ECC,185223
AWY_SEG_ALT,14_May_2026_CSV\AWY_SEG_ALT.csv,50DC532940CA42DBB97E42D7E45C2C8DC87DC120DC74F2DC14097302657C4565,3613094
