airwayId,airwayLocation,sourcePointRowCount,cleanOccurrenceCount,sourceExpectedAdjacentEdgeCount,cleanNextEdgeCount,sourceTerminalPoint,cleanTerminalPoint,pointCountMatches,edgeCountMatches,terminalPointMatches,coverageStatus
BR49V,C,9,9,8,8,ZQA,ZQA,true,true,true,exact_point_and_edge_coverage
BR53V,C,11,11,10,10,BNTTZ,BNTTZ,true,true,true,exact_point_and_edge_coverage
BR54V,C,8,8,7,7,ZQA,ZQA,true,true,true,exact_point_and_edge_coverage
BR55V,C,13,13,12,12,BRRGO,BRRGO,true,true,true,exact_point_and_edge_coverage
BR57V,C,7,7,6,6,ZQA,ZQA,true,true,true,exact_point_and_edge_coverage
BR58V,C,6,6,5,5,ANGLL,ANGLL,true,true,true,exact_point_and_edge_coverage
BR63V,C,13,13,12,12,ZQA,ZQA,true,true,true,exact_point_and_edge_coverage
BR64V,C,9,9,8,8,ZFP,ZFP,true,true,true,exact_point_and_edge_coverage
BR65V,C,9,9,8,8,ADOOR,ADOOR,true,true,true,exact_point_and_edge_coverage
BR66V,C,4,4,3,3,ZFP,ZFP,true,true,true,exact_point_and_edge_coverage
BR68V,C,4,4,3,3,ZFP,ZFP,true,true,true,exact_point_and_edge_coverage
BR69V,C,10,10,9,9,PBI,PBI,true,true,true,exact_point_and_edge_coverage
BR70V,C,7,7,6,6,ZQA,ZQA,true,true,true,exact_point_and_edge_coverage
BR71V,C,3,3,2,2,WLKER,WLKER,true,true,true,exact_point_and_edge_coverage
BR9L,C,5,5,4,4,KNSLY,KNSLY,true,true,true,gap_requires_policy
G1,A,7,7,6,6,ELF,ELF,true,true,true,exact_point_and_edge_coverage
G10,A,14,14,13,13,RWO,RWO,true,true,true,exact_point_and_edge_coverage
G12,A,9,9,8,8,PDN,PDN,true,true,true,exact_point_and_edge_coverage
G2,A,8,8,7,7,RWO,RWO,true,true,true,exact_point_and_edge_coverage
G205,C,10,10,9,9,TEGOD,TEGOD,true,true,true,exact_point_and_edge_coverage
G215,A,6,6,5,5,DUT,DUT,true,true,true,exact_point_and_edge_coverage
G223,C,4,4,3,3,RISBA,RISBA,true,true,true,exact_point_and_edge_coverage
G339,C,5,5,4,4,PAKDO,PAKDO,true,true,true,exact_point_and_edge_coverage
G347,C,4,4,3,3,DUNEY,DUNEY,true,true,true,exact_point_and_edge_coverage
G349,A,4,4,3,3,NEONN,NEONN,true,true,true,exact_point_and_edge_coverage
G437,C,12,12,11,11,MAPYL,MAPYL,true,true,true,exact_point_and_edge_coverage
G439,C,4,4,3,3,DROWN,DROWN,true,true,true,exact_point_and_edge_coverage
G444,C,3,3,2,2,GTK,GTK,true,true,true,exact_point_and_edge_coverage
G457,C,4,4,3,3,ELLMS,ELLMS,true,true,true,exact_point_and_edge_coverage
G467,C,6,6,5,5,UNZ,UNZ,true,true,true,gap_requires_policy
G469,A,7,7,6,6,PDN,PDN,true,true,true,exact_point_and_edge_coverage
G504,C,12,12,11,11,ALBBE,ALBBE,true,true,true,exact_point_and_edge_coverage
G575,C,6,6,5,5,FICKY,FICKY,true,true,true,gap_requires_policy
G583,A,4,4,3,3,ENM,ENM,true,true,true,exact_point_and_edge_coverage
G629,C,7,7,6,6,LYMIN,LYMIN,true,true,true,gap_requires_policy
G633,C,11,11,10,10,MELLA,MELLA,true,true,true,exact_point_and_edge_coverage
G648,C,3,3,2,2,MICAS,MICAS,true,true,true,exact_point_and_edge_coverage
G8,A,11,11,10,10,ELF,ELF,true,true,true,exact_point_and_edge_coverage
H201,A,7,7,6,6,NAYLD,NAYLD,true,true,true,exact_point_and_edge_coverage
H222,A,4,4,3,3,MCG,MCG,true,true,true,exact_point_and_edge_coverage
J1,C,18,18,17,17,SEA,SEA,true,true,true,gap_requires_policy
J10,C,15,15,14,14,IOW,IOW,true,true,true,gap_requires_policy
J100,C,15,15,14,14,OBK,OBK,true,true,true,gap_requires_policy
J101,C,16,16,15,15,SSM,SSM,true,true,true,gap_requires_policy
J102,C,12,12,11,11,SLN,SLN,true,true,true,exact_point_and_edge_coverage
J104,C,21,21,20,20,PUB,PUB,true,true,true,exact_point_and_edge_coverage
J106,C,10,10,9,9,LGA,LGA,true,true,true,exact_point_and_edge_coverage
J107,C,14,14,13,13,DPR,DPR,true,true,true,gap_requires_policy
J108,C,5,5,4,4,INK,INK,true,true,true,exact_point_and_edge_coverage
J11,C,15,15,14,14,TCH,TCH,true,true,true,exact_point_and_edge_coverage
J110,C,32,32,31,31,CYN,CYN,true,true,true,gap_requires_policy
J111,A,7,7,6,6,TED,TED,true,true,true,exact_point_and_edge_coverage
J112,C,8,8,7,7,IIU,IIU,true,true,true,exact_point_and_edge_coverage
J114,C,9,9,8,8,GEP,GEP,true,true,true,exact_point_and_edge_coverage
J115,A,14,14,13,13,FAI,FAI,true,true,true,gap_requires_policy
J116,C,4,4,3,3,FQF,FQF,true,true,true,exact_point_and_edge_coverage
J117,A,3,3,2,2,OTZ,OTZ,true,true,true,exact_point_and_edge_coverage
J12,C,12,12,11,11,JNC,JNC,true,true,true,exact_point_and_edge_coverage
J120,A,7,7,6,6,FYU,FYU,true,true,true,exact_point_and_edge_coverage
J122,A,3,3,2,2,OME,OME,true,true,true,exact_point_and_edge_coverage
J123,A,9,9,8,8,BRW,BRW,true,true,true,gap_requires_policy
J124,A,3,3,2,2,ORT,ORT,true,true,true,exact_point_and_edge_coverage
J125,A,3,3,2,2,TED,TED,true,true,true,exact_point_and_edge_coverage
J126,C,19,19,18,18,U.S. CANADIAN BORDER-4,U.S. CANADIAN BORDER-4,true,true,true,gap_requires_policy
J127,A,3,3,2,2,NONDA,NONDA,true,true,true,exact_point_and_edge_coverage
J128,C,17,17,16,16,OBK,OBK,true,true,true,gap_requires_policy
J129,A,3,3,2,2,OTZ,OTZ,true,true,true,exact_point_and_edge_coverage
