airwayId,airwayLocation,pointSeq,currentSegValue,currentSegType,nextRowPointSeq,nextRowSegValue,nextSegRaw,nextSegMatchesNextRow,magCourse,oppMagCourse,magCourseDistance,gapFlag,signalGapFlag,dogleg,isTerminalPoint,segmentAttributePresent,sourceRowNumber
T381,A,10,BGQ,VORTAC,20,TKA,TKA,true,340.79,160.72,44.04,N,N,Y,false,true,8127
T381,A,20,TKA,VOR/DME,30,HUMUB,HUMUB,true,320.82,140.74,8.24,N,N,Y,false,true,8128
T381,A,30,HUMUB,WP   ,40,WEGNO,WEGNO,true,333.74,153.7,10.28,N,N,Y,false,true,8129
T381,A,40,WEGNO,WP   ,50,ZALVI,ZALVI,true,5.87,185.93,8.49,N,N,Y,false,true,8130
T381,A,50,ZALVI,WP   ,60,ZEKLI,ZEKLI,true,31.1,211.28,13.3,N,N,Y,false,true,8131
T381,A,60,ZEKLI,WP   ,70,CEKED,CEKED,true,16.15,196.25,9.62,N,N,Y,false,true,8132
T381,A,70,CEKED,WP   ,80,EBIME,EBIME,true,10.31,190.43,14.88,N,N,Y,false,true,8133
T381,A,80,EBIME,WP   ,90,JOTSO,JOTSO,true,43.05,223.39,21.03,N,N,Y,false,true,8134
T381,A,90,JOTSO,WP   ,100,PAWKY,PAWKY,true,358.18,178.23,11.11,N,N,Y,false,true,8135
T381,A,100,PAWKY,WP   ,110,CUPAG,CUPAG,true,327.73,147.64,7.17,N,N,Y,false,true,8136
T381,A,110,CUPAG,WP   ,120,WIVEN,WIVEN,true,327.73,147.64,6.8,N,N,N,false,true,8137
T381,A,120,WIVEN,WP   ,130,WUKIR,WUKIR,true,8.69,189.02,8.46,N,N,Y,false,true,8138
T381,A,130,WUKIR,WP   ,140,SOYAS,SOYAS,true,8.69,189.02,18.23,N,N,N,false,true,8139
T381,A,140,SOYAS,WP   ,150,GLOWS,GLOWS,true,8.69,189.02,13.4,N,N,N,false,true,8140
T381,A,150,GLOWS,RP   ,160,PERZO,PERZO,true,358.76,178.83,14.58,N,N,Y,false,true,8141
T381,A,160,PERZO,WP   ,170,FAI,FAI,true,5.44,185.51,8.16,N,N,Y,false,true,8142
T381,A,170,FAI,VORTAC,180,CHATA,CHATA,true,16.29,197.85,30,N,N,Y,false,true,8143
T381,A,180,CHATA,RP   ,190,BURMA,BURMA,true,16.29,197.85,56.54,N,N,N,false,true,8144
T381,A,190,BURMA,RP   ,200,BIJOU,BIJOU,true,16.29,197.85,15,N,N,N,false,true,8145
T381,A,200,BIJOU,RP   ,210,FYU,FYU,true,16.29,197.85,25,N,N,N,false,true,8146
T381,A,210,FYU,VORTAC,,,,,,,,N,N,Y,true,false,8147
T382,A,10,HPB,VOR/DME,20,MEVIC,MEVIC,true,59.5,240.73,28.18,N,N,Y,false,true,8148
T382,A,20,MEVIC,WP   ,30,JOPES,JOPES,true,59.5,240.73,59.36,N,N,N,false,true,8149
T382,A,30,JOPES,WP   ,40,FELSA,FELSA,true,54.57,235.31,53.09,N,N,Y,false,true,8150
T382,A,40,FELSA,WP   ,50,YELLW,YELLW,true,63.43,244.06,9.6,N,N,Y,false,true,8151
T382,A,50,YELLW,WP   ,60,WEREL,WEREL,true,63.43,244.06,31.05,N,N,N,false,true,8152
T382,A,60,WEREL,WP   ,70,OTTAC,OTTAC,true,56.2,237.11,60.93,N,N,Y,false,true,8153
T382,A,70,OTTAC,WP   ,80,CHEFF,CHEFF,true,73.47,253.83,22,N,N,Y,false,true,8154
T382,A,80,CHEFF,WP   ,90,MCG,MCG,true,86.71,267.51,47.95,N,N,Y,false,true,8155
T382,A,90,MCG,VORTAC,,,,,,,,N,N,Y,true,false,8156
T383,C,10,GEP,VORTAC,20,SAUGR,SAUGR,true,339.47,158.57,13,N,N,Y,false,true,8157
T383,C,20,SAUGR,RP   ,30,ZAPIN,ZAPIN,true,339.47,158.57,2.5,N,N,N,false,true,8158
T383,C,30,ZAPIN,WP   ,40,PLUGS,PLUGS,true,339.47,158.57,4.5,N,N,N,false,true,8159
T383,C,40,PLUGS,WP   ,50,OLLEE,OLLEE,true,339.47,158.57,5,N,N,N,false,true,8160
T383,C,50,OLLEE,RP   ,60,GOLLF,GOLLF,true,339.47,158.57,14,N,N,N,false,true,8161
T383,C,60,GOLLF,RP   ,70,BRAEV,BRAEV,true,339.47,158.57,16.2,N,N,N,false,true,8162
T383,C,70,BRAEV,WP   ,80,YEPSU,YEPSU,true,339.47,158.57,12,N,N,N,false,true,8163
T383,C,80,YEPSU,RP   ,90,BRNRD,BRNRD,true,339.47,158.57,10.01,N,N,N,false,true,8164
T383,C,90,BRNRD,WP   ,100,HUUTA,HUUTA,true,330.86,149.4,25,N,N,Y,false,true,8165
T383,C,100,HUUTA,WP   ,110,RECOS,RECOS,true,330.86,149.4,17,N,N,N,false,true,8166
T383,C,110,RECOS,WP   ,120,BLUOX,BLUOX,true,330.86,149.4,42.36,N,N,N,false,true,8167
T383,C,120,BLUOX,RP   ,130,FATIK,FATIK,true,12.42,193.15,51.88,N,N,Y,false,true,8168
T383,C,130,FATIK,WP   ,140,IMUKE,IMUKE,true,12.42,193.15,8,N,N,N,false,true,8169
T383,C,140,IMUKE,WP   ,150,ZEBES,ZEBES,true,12.42,193.15,1.47,N,N,N,false,true,8170
T383,C,150,ZEBES,WP   ,160,BDE,BDE,true,12.42,193.15,9.53,N,N,N,false,true,8171
T383,C,160,BDE,DME,,,,,,,,N,N,Y,true,false,8172
T385,A,10,ODK,VOR/DME,20,WUMVI,WUMVI,true,328.84,148.42,78.87,N,N,Y,false,true,8173
T385,A,20,WUMVI,WP   ,30,GAMIC,GAMIC,true,285.09,104.44,47.02,N,N,Y,false,true,8174
T385,A,30,GAMIC,WP   ,40,WUXON,WUXON,true,316.75,136.54,15.32,N,N,Y,false,true,8175
T385,A,40,WUXON,WP   ,50,CUPTO,CUPTO,true,316.75,136.54,7.21,N,N,N,false,true,8176
T385,A,50,CUPTO,WP   ,60,DUMZU,DUMZU,true,316.75,136.54,3.3,N,N,N,false,true,8177
T385,A,60,DUMZU,WP   ,,,,,,,,N,N,Y,true,false,8178
T386,A,10,FAI,VORTAC,20,DEYEP,DEYEP,true,52.98,234.35,67.93,N,N,Y,false,true,8179
T386,A,20,DEYEP,RP   ,30,WUTGA,WUTGA,true,348.3,168.32,9.11,N,N,Y,false,true,8180
T386,A,30,WUTGA,WP   ,40,FIXEG,FIXEG,true,37.46,217.87,22.06,N,N,Y,false,true,8181
T386,A,40,FIXEG,WP   ,50,JEGPA,JEGPA,true,59.83,240.05,9.35,N,N,Y,false,true,8182
T386,A,50,JEGPA,WP   ,60,WEXIK,WEXIK,true,16.69,196.89,15.6,N,N,Y,false,true,8183
T386,A,60,WEXIK,WP   ,,,,,,,,N,N,Y,true,false,8184
T388,A,10,WIXER,WP   ,20,ZOPAB,ZOPAB,true,49.06,229.42,30.19,N,N,Y,false,true,8185
T388,A,20,ZOPAB,WP   ,30,HEBMI,HEBMI,true,52.92,233.33,34.21,N,N,Y,false,true,8186
T388,A,30,HEBMI,WP   ,40,ZEMIR,ZEMIR,true,60.75,242.05,94.78,N,N,Y,false,true,8187
T388,A,40,ZEMIR,WP   ,50,JUDAX,JUDAX,true,71.7,252.23,22.31,N,N,Y,false,true,8188
T388,A,50,JUDAX,WP   ,60,BAILY,BAILY,true,71.7,252.23,14.08,N,N,N,false,true,8189
T388,A,60,BAILY,WP   ,,,,,,,,N,N,Y,true,false,8190
T390,A,10,WANKI,WP   ,20,RANND,RANND,true,140,320.33,13.9,N,N,Y,false,true,8191
T390,A,20,RANND,RP   ,30,LIJFY,LIJFY,true,140,320.33,32.64,N,N,N,false,true,8192
T390,A,30,LIJFY,RP   ,40,DIBWO,DIBWO,true,140,320.33,13.36,N,N,N,false,true,8193
T390,A,40,DIBWO,RP   ,50,ALEUT,ALEUT,true,136.58,317.46,155.57,N,N,Y,false,true,8194
T390,A,50,ALEUT,WP   ,60,ZEBUV,ZEBUV,true,71.51,251.75,21.46,N,N,Y,false,true,8195
T390,A,60,ZEBUV,RP   ,70,TESPE,TESPE,true,38.87,219.36,55.52,N,N,Y,false,true,8196
T390,A,70,TESPE,RP   ,80,AKN,AKN,true,37.72,221.18,348.97,N,N,Y,false,true,8197
T390,A,80,AKN,VORTAC,90,ZAMOM,ZAMOM,true,30.36,211.19,9.98,N,N,Y,false,true,8198
T390,A,90,ZAMOM,RP   ,100,OLAYA,OLAYA,true,30.36,211.19,5,N,N,N,false,true,8199
T390,A,100,OLAYA,RP   ,110,TOMMY,TOMMY,true,30.36,211.19,28.02,N,N,N,false,true,8200
T390,A,110,TOMMY,RP   ,120,BISAY,BISAY,true,30.36,211.19,21.93,N,N,N,false,true,8201
T390,A,120,BISAY,WP   ,130,NUTUW,NUTUW,true,30.36,211.19,2.91,N,N,N,false,true,8202
T390,A,130,NUTUW,RP   ,140,DUMZU,DUMZU,true,30.36,211.19,15.85,N,N,N,false,true,8203
T390,A,140,DUMZU,WP   ,,,,,,,,N,N,Y,true,false,8204
T391,C,10,HNK,VOR/DME,20,OXFOR,OXFOR,true,344.77,164.58,20.59,N,N,Y,false,true,8205
T391,C,20,OXFOR,WP   ,30,PITCH,PITCH,true,344.57,164.38,20.92,N,N,Y,false,true,8206
T391,C,30,PITCH,WP   ,40,GTOWN,GTOWN,true,344.4,164.31,7.6,N,N,Y,false,true,8207
T391,C,40,GTOWN,WP   ,50,POMPY,POMPY,true,335.35,155.22,10.54,N,N,Y,false,true,8208
T391,C,50,POMPY,WP   ,60,FATUP,FATUP,true,335.24,155.14,7.15,N,N,Y,false,true,8209
