metric,value
sourceAirwayPathCount,1519
sourcePointRowCount,19318
sourceExpectedAdjacentEdgeCount,17799
cleanOccurrenceCount,19318
cleanNextEdgeCount,17799
airwayStringExactMatchCount,1408
airwayStringMismatchCount,111
nextSegMatchCount,17799
nextSegMismatchCount,0
terminalPointCount,1519
terminalWithSegmentAttributesCount,874
airwayGapCount,191
signalGapCount,87
meaGapCount,341
gapWithCleanNextEdgeCount,458
sourceCleanPointMismatchPathCount,0
sourceCleanEdgeMismatchPathCount,0
