airwayId,airwayLocation,pointSeq,currentPoint,nextPoint,gapFlagActive,signalGapFlagActive,meaGapActive,doglegActive,isTerminalPoint,hasCurrentCleanNextEdge,gapPositionClass,sourceRowNumber
Q138,C,50,ROOHZ,PARZZ,false,false,false,true,false,true,dogleg_turn_point,3693
Q138,C,60,PARZZ,UROCO,false,false,false,true,false,true,dogleg_turn_point,3694
Q138,C,70,UROCO,RICCO,false,false,false,true,false,true,dogleg_turn_point,3695
Q138,C,80,RICCO,MOTLY,false,false,false,true,false,true,dogleg_turn_point,3696
Q138,C,90,MOTLY,DKOTA,false,false,false,true,false,true,dogleg_turn_point,3697
Q138,C,100,DKOTA,WELOK,false,false,false,true,false,true,dogleg_turn_point,3698
Q138,C,110,WELOK,CESNA,false,false,false,true,false,true,dogleg_turn_point,3699
Q138,C,120,CESNA,GUUME,false,false,false,true,false,true,dogleg_turn_point,3700
Q138,C,130,GUUME,SNARG,false,false,false,true,false,true,dogleg_turn_point,3701
Q138,C,140,SNARG,SSM,false,false,false,true,false,true,dogleg_turn_point,3702
Q138,C,150,SSM,,false,false,false,true,true,false,terminal_flag,3703
Q139,C,10,MGMRY,VLKNN,false,false,false,true,false,true,dogleg_turn_point,3704
Q139,C,20,VLKNN,SALMS,false,false,false,true,false,true,dogleg_turn_point,3705
Q139,C,30,SALMS,HITMN,false,false,false,true,false,true,dogleg_turn_point,3706
Q139,C,40,HITMN,IIU,false,false,false,true,false,true,dogleg_turn_point,3707
Q139,C,50,IIU,GBEES,false,false,false,true,false,true,dogleg_turn_point,3708
Q139,C,60,GBEES,HICKI,false,false,false,true,false,true,dogleg_turn_point,3709
Q139,C,70,HICKI,CREEP,false,false,false,true,false,true,dogleg_turn_point,3710
Q139,C,80,CREEP,RINTE,false,false,false,true,false,true,dogleg_turn_point,3711
Q139,C,90,RINTE,,false,false,false,true,true,false,terminal_flag,3712
Q14,A,10,ODK,WUXAN,false,false,false,true,false,true,dogleg_turn_point,3713
Q14,A,20,WUXAN,JOH,false,false,false,true,false,true,dogleg_turn_point,3714
Q14,A,30,JOH,,false,false,false,true,true,false,terminal_flag,3715
Q140,C,10,WOBED,GETNG,false,false,false,true,false,true,dogleg_turn_point,3716
Q140,C,60,LEWIT,SAYOR,false,false,false,true,false,true,dogleg_turn_point,3721
Q140,C,70,SAYOR,WILTN,false,false,false,true,false,true,dogleg_turn_point,3722
Q140,C,80,WILTN,TTAIL,false,false,false,true,false,true,dogleg_turn_point,3723
Q140,C,90,TTAIL,CESNA,false,false,false,true,false,true,dogleg_turn_point,3724
Q140,C,120,EEGEE,DAYYY,false,false,false,true,false,true,dogleg_turn_point,3727
Q140,C,130,DAYYY,RUBKI,false,false,false,true,false,true,dogleg_turn_point,3728
Q140,C,140,RUBKI,U.S. CANADIAN BORDER-1,true,false,false,true,false,true,airway_discontinuity,3729
Q140,C,150,U.S. CANADIAN BORDER-1,U.S. CANADIAN BORDER-2,false,false,true,false,false,true,mea_unusable,3730
Q140,C,170,RAGIX,MEDAV,false,false,false,true,false,true,dogleg_turn_point,3732
Q140,C,190,AHPAH,HANKK,false,false,false,true,false,true,dogleg_turn_point,3734
Q140,C,250,ARRKK,TOTHH,false,false,false,true,false,true,dogleg_turn_point,3740
Q140,C,260,TOTHH,YODAA,false,false,false,true,false,true,dogleg_turn_point,3741
Q140,C,270,YODAA,,false,false,false,true,true,false,terminal_flag,3742
Q141,C,10,HOUKY,STUTR,false,false,false,true,false,true,dogleg_turn_point,3743
Q141,C,30,TAPPA,HYTRA,false,false,false,true,false,true,dogleg_turn_point,3745
Q141,C,40,HYTRA,BLNTN,false,false,false,true,false,true,dogleg_turn_point,3746
Q141,C,50,BLNTN,NALES,false,false,false,true,false,true,dogleg_turn_point,3747
Q141,C,60,NALES,,false,false,false,true,true,false,terminal_flag,3748
Q142,C,10,METOW,MLP,false,false,false,true,false,true,dogleg_turn_point,3749
Q142,C,20,MLP,KEETA,false,false,false,true,false,true,dogleg_turn_point,3750
