airwayKey,airwayPathKey,anyGapActive,gapFlagRaw,signalGapFlagRaw,doglegRaw,sourceTable,rowCount,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
AIRWAY:J515,AIRWAY_PATH:J515:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,POINT:FIX:CFDJJ:PA,2082
AIRWAY:J516,AIRWAY_PATH:J516:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFNGJ:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2091
AIRWAY:J52,AIRWAY_PATH:J52:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:FIX:CFDDH:K1,2093
AIRWAY:J52,AIRWAY_PATH:J52:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:LAA:VOR/DME:US:CO:LAMAR,POINT:NAVAID:ADM:VORTAC:US:OK:ARDMORE,2106
AIRWAY:J523,AIRWAY_PATH:J523:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:CFTBX:PA,2124|2125
AIRWAY:J523,AIRWAY_PATH:J523:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFSKH:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2123
AIRWAY:J530,AIRWAY_PATH:J530:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:GGRBI:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2129
AIRWAY:J536,AIRWAY_PATH:J536:A,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFCLG:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2132
AIRWAY:J537,AIRWAY_PATH:J537:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:ONEAL:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2136
AIRWAY:J539,AIRWAY_PATH:J539:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFVWQ:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2142
AIRWAY:J540,AIRWAY_PATH:J540:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:STIGS:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,2156
AIRWAY:J549,AIRWAY_PATH:J549:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFGMH:K3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2177
AIRWAY:J554,AIRWAY_PATH:J554:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:CFJGT:K5,2183|2184
AIRWAY:J554,AIRWAY_PATH:J554:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFHFC:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2182
