fromPointKind,toPointKind,containsBoundaryPoint,anyGapActive,doglegActive,airwayPrefix,awyLocation,rowCount,airwayCount,airwayPathCount,sampleAirwayKeys,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
BOUNDARY_POINT,NAVAID,true,false,false,V,C,2,2,2,AIRWAY:V21|AIRWAY:V387,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1,POINT:NAVAID:YQL:VOR/DME:CA::LETHBRIDGE|POINT:NAVAID:REX:VOR/DME:MX::REYNOSA,12431|15100
FIX,BOUNDARY_POINT,true,false,false,J,A,2,2,2,AIRWAY:J167|AIRWAY:J536,POINT:FIX:POTAT:PA|POINT:FIX:CFCLG:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,1368|2132
FIX,BOUNDARY_POINT,true,false,false,J,C,17,17,17,AIRWAY:J126|AIRWAY:J13|AIRWAY:J141|AIRWAY:J177|AIRWAY:J478|AIRWAY:J5|AIRWAY:J503|AIRWAY:J505|AIRWAY:J516|AIRWAY:J530,POINT:FIX:CFGFX:K1|POINT:FIX:CFNGJ:K1|POINT:FIX:WIPPO:K4|POINT:FIX:KANNA:K4|POINT:FIX:CFCKK:K1|POINT:FIX:CFDCT:K1|POINT:FIX:CFKNF:K1|POINT:FIX:CFRCR:K1|POINT:FIX:CFNGJ:K1|POINT:FIX:GGRBI:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,1061|1100|1179|1405|1943|1986|2053|2059|2091|2129
FIX,BOUNDARY_POINT,true,false,false,Q,C,6,6,6,AIRWAY:Q824|AIRWAY:Q842|AIRWAY:Q844|AIRWAY:Q848|AIRWAY:Q905|AIRWAY:Q923,POINT:FIX:CFWBG:K5|POINT:FIX:CFXHJ:K1|POINT:FIX:VIBRU:K6|POINT:FIX:CFZJP:K5|POINT:FIX:CFJBZ:K5|POINT:FIX:CFNBB:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4899|4932|4935|4939|5060|5093
FIX,BOUNDARY_POINT,true,false,false,T,C,1,1,1,AIRWAY:T616,POINT:FIX:CFTCS:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,9365
FIX,BOUNDARY_POINT,true,false,false,V,A,1,1,1,AIRWAY:V444,POINT:FIX:OLARU:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,15936
FIX,BOUNDARY_POINT,true,false,false,V,C,6,6,6,AIRWAY:V133|AIRWAY:V300|AIRWAY:V367|AIRWAY:V39|AIRWAY:V393|AIRWAY:V395,POINT:FIX:JGKPL:K3|POINT:FIX:MRUCI:K5|POINT:FIX:JGRLN:K3|POINT:FIX:GRINS:K6|POINT:FIX:CFSMG:K2|POINT:FIX:CFWHS:K2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-6|POINT:BOUNDARY:U.S._CANADIAN_BORDER-8|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1|POINT:BOUNDARY:U.S._MEXICAN_BORDER-1,10426|14216|14896|15174|15207|15232
FIX,BOUNDARY_POINT,true,false,true,J,C,1,1,1,AIRWAY:J540,POINT:FIX:STIGS:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,2156
FIX,BOUNDARY_POINT,true,false,true,Q,A,1,1,1,AIRWAY:Q811,POINT:FIX:OYELI:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4830
FIX,BOUNDARY_POINT,true,false,true,Q,C,12,12,12,AIRWAY:Q1|AIRWAY:Q151|AIRWAY:Q29|AIRWAY:Q475|AIRWAY:Q806|AIRWAY:Q822|AIRWAY:Q864|AIRWAY:Q907|AIRWAY:Q924|AIRWAY:Q945,POINT:FIX:SQUIM:K1|POINT:FIX:EDGES:K1|POINT:FIX:DUNOM:K6|POINT:FIX:TUSKY:K|POINT:FIX:VIGDU:K6|POINT:FIX:ALLEX:K|POINT:FIX:TUGUB:K6|POINT:FIX:IMAMA:K6|POINT:FIX:BEKRR:K3|POINT:FIX:OSMEE:K3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,3367|3834|4175|4460|4805|4895|4962|5069|5103|5150
