fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
TEMPLATE:PFR:ACK:BWI:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,44
TEMPLATE:PFR:ACK:BWI:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,45
TEMPLATE:PFR:ACK:CON:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,46
TEMPLATE:PFR:ACK:DCA:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,47
TEMPLATE:PFR:ACK:DCA:H:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,48
TEMPLATE:PFR:ACK:DOV:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,49
TEMPLATE:PFR:ACK:DOV:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,50
TEMPLATE:PFR:ACK:DXR:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,51
TEMPLATE:PFR:ACK:DXR:TEC:3,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,52
TEMPLATE:PFR:ACK:DXR:TEC:4,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,53
TEMPLATE:PFR:ACK:EEN:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,54
TEMPLATE:PFR:ACK:ELM:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,55
TEMPLATE:PFR:ACK:ERI:L:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,56
TEMPLATE:PFR:ACK:ERI:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,57
TEMPLATE:PFR:ACK:EWR:L:3,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,58
TEMPLATE:PFR:ACK:EWR:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,59
TEMPLATE:PFR:ACK:EWR:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,60
TEMPLATE:PFR:ACK:FOK:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,61
TEMPLATE:PFR:ACK:FOK:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,62
TEMPLATE:PFR:ACK:FRG:H:3,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,63
TEMPLATE:PFR:ACK:FRG:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,64
TEMPLATE:PFR:ACK:FRG:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,65
TEMPLATE:PFR:ACK:GON:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,66
TEMPLATE:PFR:ACK:HFD:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,67
TEMPLATE:PFR:ACK:HPN:H:3,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,68
TEMPLATE:PFR:ACK:HPN:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,69
TEMPLATE:PFR:ACK:HPN:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,70
TEMPLATE:PFR:ACK:IAD:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,71
TEMPLATE:PFR:ACK:ISP:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,72
TEMPLATE:PFR:ACK:ISP:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,73
TEMPLATE:PFR:ACK:JFK:H:3,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,74
TEMPLATE:PFR:ACK:JFK:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,75
TEMPLATE:PFR:ACK:JFK:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,76
TEMPLATE:PFR:ACK:LEB:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,77
TEMPLATE:PFR:ACK:LGA:L:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,78
TEMPLATE:PFR:ACK:LGA:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,79
TEMPLATE:PFR:ACK:MDW:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,80
TEMPLATE:PFR:ACK:MHT:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,81
TEMPLATE:PFR:ACK:MMU:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,82
TEMPLATE:PFR:ACK:ORD:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,83
TEMPLATE:PFR:ACK:ORH:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,84
TEMPLATE:PFR:ACK:OWD:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,85
TEMPLATE:PFR:ACK:PBI:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,86
TEMPLATE:PFR:ACK:PBI:H:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,87
TEMPLATE:PFR:ACK:PHL:H:3,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,88
TEMPLATE:PFR:ACK:PHL:H:4,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,89
TEMPLATE:PFR:ACK:PHL:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,90
TEMPLATE:PFR:ACK:PHL:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,91
