airwayOccurrenceKey,airwayPathKey,awyId,awyLocation,pointSeq,rawFromPoint,rawFromPointType,rawToPoint,rawNextMeaPoint,resolvedPointKey,resolveStatus,occurrenceRole,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A222:C:50,AIRWAY_PATH:A222:C,A222,C,50,KRONK,WP,ADUFO,ADUFO,POINT:FIX:KRONK:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,26
AWY_OCC:A222:C:60,AIRWAY_PATH:A222:C,A222,C,60,ADUFO,RP,PNI,PNI,POINT:FIX:ADUFO:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,27
AWY_OCC:A222:C:70,AIRWAY_PATH:A222:C,A222,C,70,PNI,NDB/DME,AXTEN,AXTEN,POINT:NAVAID:PNI:NDB/DME:FM::POHNPEI_ISLAND,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,28
AWY_OCC:A222:C:80,AIRWAY_PATH:A222:C,A222,C,80,AXTEN,WP,UKS,UKS,POINT:FIX:AXTEN:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,29
AWY_OCC:A222:C:90,AIRWAY_PATH:A222:C,A222,C,90,UKS,NDB/DME,STEFF,STEFF,POINT:NAVAID:UKS:NDB/DME:FM::KOSRAE_ISLAND,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,30
AWY_OCC:A222:C:100,AIRWAY_PATH:A222:C,A222,C,100,STEFF,WP,RASON,RASON,POINT:FIX:STEFF:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,31
AWY_OCC:A222:C:110,AIRWAY_PATH:A222:C,A222,C,110,RASON,WP,,,POINT:FIX:RASON:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,32
AWY_OCC:A315:C:10,AIRWAY_PATH:A315:C,A315,C,10,ZBV,VOR/DME,SWIMM,SWIMM,POINT:NAVAID:ZBV:VOR/DME:BS::BIMINI,resolved_navaid,START,2026-05-14,AWY_SEG_ALT,33
AWY_OCC:A315:C:20,AIRWAY_PATH:A315:C,A315,C,20,SWIMM,RP,TINKY,TINKY,POINT:FIX:SWIMM:K7,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,34
AWY_OCC:A315:C:30,AIRWAY_PATH:A315:C,A315,C,30,TINKY,RP,PEKRE,PEKRE,POINT:FIX:TINKY:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,35
AWY_OCC:A315:C:40,AIRWAY_PATH:A315:C,A315,C,40,PEKRE,RP,JAYEE,JAYEE,POINT:FIX:PEKRE:MY,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,36
AWY_OCC:A315:C:50,AIRWAY_PATH:A315:C,A315,C,50,JAYEE,RP,HODGY,HODGY,POINT:FIX:JAYEE:MY,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,37
