fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
TEMPLATE:PFR:ACK:BDR:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BDR:TEC:2:MAIN,2026-05-14,PFR_BASE,36,resolved,high
TEMPLATE:PFR:ACK:BED:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BED:TEC:1:MAIN,2026-05-14,PFR_BASE,37,resolved,high
TEMPLATE:PFR:ACK:BGR:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BGR:TEC:1:MAIN,2026-05-14,PFR_BASE,38,resolved,high
TEMPLATE:PFR:ACK:BHB:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BHB:TEC:1:MAIN,2026-05-14,PFR_BASE,39,resolved,high
TEMPLATE:PFR:ACK:BOS:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BOS:TEC:1:MAIN,2026-05-14,PFR_BASE,40,resolved,high
TEMPLATE:PFR:ACK:BTV:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BTV:TEC:1:MAIN,2026-05-14,PFR_BASE,41,resolved,high
TEMPLATE:PFR:ACK:BUF:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BUF:TEC:1:MAIN,2026-05-14,PFR_BASE,42,resolved,high
TEMPLATE:PFR:ACK:BWI:H:3,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BWI:H:3:MAIN,2026-05-14,PFR_BASE,43,resolved,high
TEMPLATE:PFR:ACK:BWI:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BWI:TEC:1:MAIN,2026-05-14,PFR_BASE,44,resolved,high
TEMPLATE:PFR:ACK:BWI:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:BWI:TEC:2:MAIN,2026-05-14,PFR_BASE,45,resolved,high
TEMPLATE:PFR:ACK:CON:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:CON:TEC:1:MAIN,2026-05-14,PFR_BASE,46,resolved,high
TEMPLATE:PFR:ACK:DCA:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:DCA:H:1:MAIN,2026-05-14,PFR_BASE,47,resolved,high
TEMPLATE:PFR:ACK:DCA:H:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:DCA:H:2:MAIN,2026-05-14,PFR_BASE,48,resolved,high
TEMPLATE:PFR:ACK:DOV:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:DOV:TEC:1:MAIN,2026-05-14,PFR_BASE,49,resolved,high
TEMPLATE:PFR:ACK:DOV:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:DOV:TEC:2:MAIN,2026-05-14,PFR_BASE,50,resolved,high
TEMPLATE:PFR:ACK:DXR:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:DXR:TEC:2:MAIN,2026-05-14,PFR_BASE,51,resolved,high
TEMPLATE:PFR:ACK:DXR:TEC:3,TEMPLATE_PATH:TEMPLATE:PFR:ACK:DXR:TEC:3:MAIN,2026-05-14,PFR_BASE,52,resolved,high
TEMPLATE:PFR:ACK:DXR:TEC:4,TEMPLATE_PATH:TEMPLATE:PFR:ACK:DXR:TEC:4:MAIN,2026-05-14,PFR_BASE,53,resolved,high
TEMPLATE:PFR:ACK:EEN:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:EEN:TEC:1:MAIN,2026-05-14,PFR_BASE,54,resolved,high
TEMPLATE:PFR:ACK:ELM:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:ELM:TEC:1:MAIN,2026-05-14,PFR_BASE,55,resolved,high
TEMPLATE:PFR:ACK:ERI:L:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:ERI:L:2:MAIN,2026-05-14,PFR_BASE,56,resolved,high
TEMPLATE:PFR:ACK:ERI:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:ERI:TEC:1:MAIN,2026-05-14,PFR_BASE,57,resolved,high
TEMPLATE:PFR:ACK:EWR:L:3,TEMPLATE_PATH:TEMPLATE:PFR:ACK:EWR:L:3:MAIN,2026-05-14,PFR_BASE,58,resolved,high
TEMPLATE:PFR:ACK:EWR:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:EWR:TEC:1:MAIN,2026-05-14,PFR_BASE,59,resolved,high
TEMPLATE:PFR:ACK:EWR:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:EWR:TEC:2:MAIN,2026-05-14,PFR_BASE,60,resolved,high
TEMPLATE:PFR:ACK:FOK:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:FOK:TEC:1:MAIN,2026-05-14,PFR_BASE,61,resolved,high
TEMPLATE:PFR:ACK:FOK:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:FOK:TEC:2:MAIN,2026-05-14,PFR_BASE,62,resolved,high
TEMPLATE:PFR:ACK:FRG:H:3,TEMPLATE_PATH:TEMPLATE:PFR:ACK:FRG:H:3:MAIN,2026-05-14,PFR_BASE,63,resolved,high
